State,State of Emergency Declaration,Travel Restrictions,Mass Gathering Restrictions,Mask Mandates,Vaccine Mandate
Kentucky,"Kentucky has declared a State of Emergency due to the COVID-19 pandemic. In so doing, this order deploys the National Guard, and directs a number of executive agencies to re-direct their resources and manpower to fighting the COVID-19 pandemic. Kentucky's State of Emergency due to COVID-19 is effective until January 15, 2022.","As of May 22, 2020, there are no travel restrictions on residents of Kentucky or out-of-state residents.","Kentucky has no mass gatherings restrictions in place. Per a United States District Court's ruling, Kentucky's previous mass gatherings restrictions were unconstitutional. The constitutionality of Kentucky's gathering restrictions is currently on appeal in the Sixth Circuit Court of Appeals.",Kentucky does not currently have a statewide mask mandate in place.,Health care workers are required to be vaccinated by October 29.
Louisiana,"Louisiana is currently under a state of emergency order until January 19, 2022.",None,"Currently, crowd sizes shall be limited to no more than a maximum of 500 people in any single indoor space at the same time. Crowd sizes are limited to no more than 50% capacity as set by the State Fire Marshal any single outdoor space where individuals will be in close proximity to one another and unable to maintain strict social distancing of six feet apart from individuals who are not immediate household members. This crowd size limitation shall not apply to those businesses deemed essential as defined by the Cybersecurity and Infrastructure Security Agency, or religious services held by churches and other faith-based organizations. All fairs and festivals shall submit a plan for approval to the State Fire Marshal.","Starting October 27, Louisiana is no longer under a statewide mask mandate. All students in K-12 schools must continue to wear masks unless those schools have put in place proper isolation and quarantine for students and staff.",
Maine,"Governor Mills declared a state of emergency on March 15, 2020. It has been renewed multiple times and expired on June 30, 2021.","As of May 1, 2021, Maine moved to an ""all states exempt unless specified"" model. This means that travelers coming to or returning to Maine are not required to quarantine or show proof of a negative test unless coming from a non-exempt state.","Starting May 24, indoor and outdoor gatherings will be limited to 100 percent.",Maine does not currently have a statewide mask mandate in place.,
Maryland,"Currently, Maryland is under a State of Emergency due to COVID-19 until February 3, 2022.",The Maryland Department of Health currently has no travel restriction in place.,"There are currently no mandatory mass gathering restrictions in Maryland. However, the Maryland Department of Health recommends that all Marylanders should refrain from attending either public or private indoor gatherings of more than 10 individuals at one location and should practice physical distancing to the extent possible.",Maryland does not currently have a statewide mask mandate in place.,"Maryland requires nursing home staff and healthcare workers to get a COVID-19 vaccine or submit to weekly COVID-19 testing, beginning Sept. 1, 2021."
Massachusetts,"Currently, Massachusetts is not in a State of Emergency due to COVID-19.","Effective 11/28, every state but Hawaii is considered high risk for travel. Effective Saturday, 11/14, Massachusetts is requiring that people arriving in the state from New York and Washington State, as well as the nation's capitol, stay in quarantine. Under Massachusetts' travel order, these areas join all but four states across the nation considered to be a higher risk for travel. Effective Aug. 1 requiring all visitors and residents returning to the state from high-risk areas, including students, to quarantine for 14 days or produce a recent negative COVID-19 test result. The fine for violating the order is $500 a day. Beginning July 1, 2020 all travelers arriving to Massachusetts – including Massachusetts residents returning home – are instructed to self-quarantine for 14 days, except that, travelers from Rhode Island, Connecticut, Vermont, New Hampshire, Maine, New York, and New Jersey arriving in Massachusetts are exempt from this directive and need not self-quarantine for 14 days. In addition, workers designated by the federal government as essential critical infrastructure workers are exempt from the directive to self-quarantine for 14 days if traveling to Massachusetts for work purposes. All persons are instructed not to travel to Massachusetts if they are displaying symptoms of COVID-19.","Starting May 29, there are no capacity restrictions for indoor and outdoor gatherings.",Massachusetts does not currently have a statewide mask mandate in place.,"Requires executive state employees to be vaccinated by October 17, 2021. There has been no order requiring private sector employees to be vaccinated."
Michigan,"Currently, Michigan is not under a state of emergency. The declaration of state of emergency related to the COVID-19 pandemic (EO 2020-186) was rescinded by the Michigan Supreme Court on October 2, 2020.","NONE – previously a ban on intra-state travel to vacation residences, which has been lifted.","Currently, there are no longer any capacity limits for indoor and outdoor residential gatherings.",Michigan does not currently have a statewide mask mandate in place.,"Bans any state entity from requiring a person to get vaccinated as a condition for employment, this legislation, however, excludes hospitals, congregate care facility, or other medical facility or any hospital, congregate care facility, or other medical facility operated by a local subdivision that receives federal Medicare or Medicaid funding."
Minnesota,"On July 1, 2021, Minnesota ended its Peacetime Emergency.","EO 20-103 deletes the recommended 14 day quarantine provision, and replaces it by encouraging persons arriving in Minnesota from other states or countries, including returning Minnesota residents to follow the recommendations in MDH’s Quarantine Guidance.","On May 28, Minnesota lifted all Covid-19 restrictions in accordance with CDC guidance.",Minnesota does not currently have a statewide mask mandate in place.,"State employees must be fully vaccinated against Covid-19 by September 8, 2021, or undergo weekly testing."
Mississippi,"Mississippi ends its Covid-19 state of emergency on November 20, 2021.",All Travel May Resume on 06/01. CDC guidelines followed while minimizing non essential travel. Extends Safe Return Order until July 20.,Effective April 30 all mass gathering restrictions are lifted.,"Mississippi does not currently have a statewide mask mandate in place. However, the Mississippi Department of Health recommends all individuals wear masks indoors regardless of their vaccination status.","Mississippi does not currently have a vaccine mandate in place, however, the Mississippi Department of Health recommends that all eligible individuals get vaccinated against Covid-19."
Missouri,,"Currently, Missouri has no travel restrictions in place.","Currently, Missouri has no mass gathering restrictions in place.",Missouri does not currently have a statewide mask mandate in place.,"Missouri prohibits local, publicly funded entities from requiring a vaccine passport in order for residents to use public services. Political subdivisions of Missouri may only issue public health orders that directly or indirectly restrict access to businesses, churches, schools, or other places of assembly for 30 calendars days in a 180-day period when the governor has declared a state of emergency, or 21 days when the governor has not declared a state of emergency."
Montana,"As of June 30, Montana is no longer in a State of Emergency due to COVID-19.",Montana has no traveling restrictions in place.,"Montana has no mandatory restrictions in place for mass gatherings. However, Montana does recommend that ""public gatherings or events [be] managed in a way that accommodates CDC social distancing guidelines.""",Montana does not currently have a statewide mask mandate in place..,"Gov. Gianforte issued an executive order prohibiting the state-sponsored development and required use of vaccine passports, indicators of COVID-19 vaccination status to access various services and facilities (governmental or private)."
Nebraska,Nebraska is no longer in a State of Emergency due to COVID-19.,"Although there are no general Nebraska-wide prohibitions on travel for the general public, all executive branch state agencies are to suspend all out-of-state travel until the end of Nebraska's state of emergency. Department of Health and Human Services recommends self-quarantine of 14 days for those entering the state","Currently, in the Green phase, gatherings (any event that brings together more than 10 people) at outdoor or indoor events can resume at full capacity. Social distancing is recommended but not required.","Nebraska never issued a state-wide mask mandate. Masks are recommended, rather than required, for establishments such as childcare centers, salons, barber shops, massage therapists, and body art studios.","Currently, Nebraska still has a mandate in place prohibiting cabinet-level executive agencies from following federal guidance on vaccine mandates or from creating their own vaccine mandate. On March 1, a new law went into effect allowing for religious or medical COVID-19 vaccine exemptions in workplaces of one or more people."
Nevada,Governor Sisolak Declares State of Emergency in Response to COVID-19,Governor Sisolak adjusts travel advisory for Nevada as the State enters Phase 2,"On November 30, 2021, Governor Sisolak issued an order that requires all event attendees ages 12 and older to be fully vaccinated. Event attendees who are not fully vaccinated must continue to wear face coverings even if they are not required to do so in other settings.","On February 10, 2022, Governor Sisolak ended Nevada's mask mandate for all individuals regardless of vaccination status.","Beginning August 15, 2021, state employees must be fully vaccinated against Covid-19. State employees who are not fully vaccinated must undergo weekly Covid-19 tests and submit proof of a negative tests to their human resources officer or department supervisor."
New Hampshire,"Currently, New Hampshire is no longer under a State of Emergency. The last emergency declaration extension expired on June 11, 2021.","The two week self-quarantine has been lifted for those traveling to New Hampshire from surrounding New England States (Maine, Vermont, Massachusetts, Connecticut, Rhode Island). Those traveling to New Hampshire from non-New England states for an extended period of time are still asked to self-quarantine for a two-week period. All visitors and travelers need to fill out the travel guidance form. (In effect 11/15/20-1/15/21)","Since Emergency Order #16 expired on June 15, 2020, there has been no capacity limits for gatherings in New Hampshire.",New Hampshire does not currently have a statewide mask mandate in place.,Prohibits local governments from mandating vaccines for its employees.
New Jersey,"On March 4, Gov. Murphy repealed the public health emergency due to COVID-18 via Executive Order 292. This went into effect on March 7. New Jersey no longer has a public health emergency. Executive Order 292 does not repeal the state of emergency which began with Executive Order 103 and continued with Executive Order 280.","New Jersey, beginning May 18, 2021, has no pandemic-related travel restrictions nor does it have any pandemic-related quarantine requirements.","Currently, there is no capacity limit for indoor or outdoor gatherings.",New Jersey does not currently have a statewide mask mandate in place.,"New Jersey mandates that all public school teachers and all other state employees get vaccinated for COVID-19. Further, on August 23, 2021, Gov. Phil Murphy mandated that all state employees, and employees of public, private, parochial schools, in the state must be fully vaccinated by October 18, 2021 or be tested once or twice a week. Finally, on September 20, 2021, Gov. Murphy mandated that all childcare facility employees be fully vaccinated or submit to weekly COVID tests by November 1, 2021."
New Mexico,"New Mexico has extended its Covid-19 public health emergency through August 14, 2022.","Gov. Michelle Lujan Grisham on March 27 issued an executive order requiring air travelers to New Mexico to self-isolate for at least 14 days to help combat the spread of COVID-19. On 7/1 she issued Executive Order 20-54 directing all persons except for various workers including healthcare, emergency workers, military, and federal employees to self-quarantine for 14 days regardless of how they came into the state. On 9/16 She issued Executive Order 20-72 which got rid of the ability for people to have a negative COVID-19 test within 3 days of coming into the state instead of self-quarantining for 14 days.","On July 1, 2021, New Mexico ended its county-by-county color coded reopening plan and removed all Covid-19 restrictions.","On February 17, 2022, Governor Michelle Luan Grisham lifted the states indoor mask requirement.","New Mexico requires all workers in healthcare and congregate care facilities to be fully vaccinated against Covid-19. Additionally, all employees of the Office of the Governor must be fully vaccinated against Covid-19. Individuals can be exempted from the requirement to be fully vaccinated if they have a qualifying medical condition, disability, or a sincerely held religious belief. Individuals who are not vaccinated due to an exemption must be tested for Covid-19 on a weekly basis and wear a face covering indoors at all times."
New York,"New York declared a new statewide state of emergency, effective Dec. 3, 2021, ahead of potential COVID-19 spikes this winter due to the delta and omicron variants of coronavirus through Jan. 15, 2022. New York continued to declare new statewide emergencies until Gov. Kathy Hochul let the COVID-19 disaster emergency lapse on September 12, 2022.","In New York, domestic travelers are no longer required to quarantine or test out within 90 days of full vaccination. Generally, however, travelers must be tested for COVID-19 within three days prior to landing in New York, quarantine for at least three days upon arrival, and get a test on day four of arrival. If travelers receive a negative test on day four of quarantine they may exit quarantine when they receive negative result. States that are contiguous with New York continue to be exempted from quarantine protocol — essential workers also continue to be exempted. Travelers who were only out of state for less than 24 hours do not need to quarantine but must get a test on day four of arrival back in NY. All travelers covered by the advisory must continue to fill out traveler health form upon arrival into New York State","New York has lifted several restrictions on gatherings in many areas in New York State. Specifically, those areas no longer under so-called yellow zone restriction include portions of central and western New York and the southern border. Yellow zones remain in two areas of the Bronx, one in Queens, one in Manhattan’s Washington Heights and one in Newburgh on the Hudson River, Cuomo said. In those spots, nonresidential gatherings are restricted to 500 people, residential gatherings are limited to 50, houses of worship can operate at 50% capacity and indoor and outdoor dining are restricted.","On Feb. 10, 2022, New York no longer require masks to be worn in all indoor public places or for businesses to ask for proof of full vaccination.","New York requires all healthcare workers in New York State, including staff at hospitals and long-term care facilities (LTCF), including nursing homes, adult care, and other congregate care settings, to be vaccinated against COVID-19 by Monday, September 27."
North Carolina,"North Carolina is in a State of Emergency due to COVID-19, and it will be in such a state until otherwise ordered by the Governor.",People traveling to North Carolina from another state are not required to quarantine upon arrival.,"On May 14, Governor Cooper issued Executive Order 215 which lifted all occupancy and social distancing requirements.",North Carolina does not currently have a statewide mask mandate in place.,"Beginning September 1, 2021, all Cabinet Agency workers must be vaccinated against Covid-19 or undergo weekly testing."
North Dakota,North Dakota is not in a State of Emergency Due to COVID-19.,"North Dakota has no travel restrictions for residents, citizens of other U.S. states, or citizens of international origin. Previously, there was a 14-quarantine requirement for those persons traveling into North Dakota; however, that requirement was lifted in September 2020.","There is no blanket ban on mass gatherings in North Dakota. However, there are a number of restrictions on events in banquet halls, ballrooms, and other large event venues. Gatherings cannot exceed 50% of a venue's maximum occupancy and must also abide by new capacity restrictions that have been tiered according to the size of the facility. Further, many social distancing and hygiene-related guidelines apply.",North Dakota does not currently have a statewide mask mandate in place.,"In North Dakota, no government agency or business can require a customer to provide proof of vaccination. However, higher education facilities and airports are exempt from the bill. North Dakota prohibits state entities and local governments from installing a COVID-19 vaccine mandate. The bill allows for businesses to install COVID019 vaccine mandates for its employees, but it includes numerous exemptions. These include moral reasons, a doctor's note, proof of antibodies over the past six months, and undergoing weekly testing."
Ohio,"Ohio is current in a State of Emergency due to COVID-19, and it shall be in such a state until the Governor orders otherwise.",July 22: Gov. Mike DeWine issued a travel advisory for all individuals who come into Oho from states with a Covid-19 positivity rate of 15% or higher. The state is recommending that those individuals self-quarantine at a hotel or at home for 14 days.,"April 2021 consolidated order says ""individuals must avoid gathering in groups and attempt at all times to maintain social distancing. When gathered together, individuals should be in groups of no more than ten individuals that is separated from other groups by at least six feet.""",Ohio does not currently have a statewide mask mandate in place.,
Oklahoma,"Oklahoma ended its state of emergency declaration on May 4, 2021.",All people entering the state are directed to follow CDC travel guidelines.,"In March 2021, Gov. Stitt announced he is lifting all gathering restrictions in Oklahoma.",Oklahoma does not currently have a statewide mask mandate in place.,Oklahoma prohibits all state agencies from requiring vaccination against Covid-19 as a condition of admittance to any public building.
Oregon,"Latest executive order extends Executive Order 20-03 and COVID-19 State of Emergency until June 30, 2022.","Governor Kate Brown, California Governor Gavin Newsom, and Washington Governor Jay Inslee issued travel advisories today urging visitors entering their states or returning home from travel outside these states to self-quarantine to slow the spread of the virus.","Starting June 30, 2021, there are no longer any mass gathering restrictions. Under EO No. 21-15, the county-by-county metrics-based approach has also ended.","Effective March 12, 2022, Oregon is no longer under a statewide indoor mask mandate.","Governor Brown announced that all executive branch employees, teachers, educators, support staff, health care workers, and volunteers in K-12 schools will be required to be fully vaccinated on or before October 18, or six weeks after a COVID-19 vaccine receives full approval from the U.S. Food and Drug Administration, whichever is later."
Pennsylvania,"On March 6, Governor Wolf signed an emergency disaster declaration to provide increased support to state agencies involved in the response to the virus. On May 20, 2021, Governor Wolf renewed the disaster declaration for a fifth time. On June 10th, following the approval of two ballot measures in May, the Pennsylvania legislature passed a resolution to end the state's emergency declaration. However, the end of the emergency declaration does not limit the Health Secretary's authority to require masks.","Effective March 1, all travel restrictions have been lifted. Previously, anyone over the age of 11 who visits from another state to provide evidence of a negative COVID-19 test or place themselves in a travel quarantine for 10 days upon entering Pennsylvania.","The state ""advises against"" household gatherings when attendees include non-household members, but it is not prohibited.","Pennsylvania does not currently have a statewide mask mandate in place. However, beginning August 23, 2021, all state employees and contracted staff must wear face coverings indoors regardless of their vaccination status. Masks remain optional for visitors to state office buildings.","Beginning September 7, 2021, all state employees in state health care facilities and high-risk congregate care facilities must be fully vaccinated against Covid-19. Additionally, any new hires at state health care facilities or high-risk congregate care facilities must be vaccinated before beginning their employment."
Rhode Island,"Rhode Island is currently in a state of emergency due to COVID and will be in such a state until January 8, 2021.",Rhode Island now permits travel from a location within the United States (US) or US territories without first quarantining or COVID-19 testing upon an individual's arrival whether or not the individual traveling is vaccinated.,"In Rhode Island, there are no mass gathering restrictions.","As of December 20, 2022, Rhode Island reinstated its indoor statewide mask mandate regardless of vaccination status for venues with a capacity of 250 or more. Small indoor establishments must require face coverings for all individuals or have individuals present proof of vaccination.","On August 18, 2021, Gov. McKee mandated that all healthcare workers in Rhode Island must show proof of vaccination against COVID-19 or undergo COVID-19 testing twice per week (and wear a mask) starting October 1, 2021."
South Carolina,"South Carolina is NOT in a State of Emergency due to COVID-19; the State allowed all previous State of Emergency declarations expire on June 7, 2021.",All travel restrictions have been rescinded.,"EO 2021-12, of March 5, 2021, ""encourages"" venues to follow guidelines such as a 50% capacity limit. But this is not a requirement or mandate.","South Carolina no longer requires face coverings in restaurants or state-owned buildings; residents are encouraged, but not mandated to wear masks in public. Further, the Governor of South Carolina issued an executive order prohibiting local governments from using the South Carolina emergency declaration as a basis for local mask mandates.","South Carolina prohibits any agency, department, official, employee of South Carolina, or any political subdivision of South Carolina from requiring proof of vaccination against COVID-19 (otherwise known as a ""vaccine passport"")."
South Dakota,"South Dakota has declared a State of Emergency due to COVID-19, and will be in such a state until June 30, 2021.",South Dakota has never placed any COVID-related restrictions on travel to or from other states or within the state.,"Currently, gatherings of any size are permitted in South Dakota, as long as social distancing is practiced (a number of social distancing and hygiene-related recommendations for individual's in South Dakota's ""Back to Normal Plan"").",South Dakota never issued a state-wide mask mandate.,"South Dakota prohibits state agencies, state boards, state departments, all other executive branch entities, any other department of the state government, and any other political subdivision of South Dakota from requiring an individual from presenting proof of vaccination to enter government premises, do business with the government, or any other manner of transaction with the government. Further, those same prohibited entites may not require any business transacting with the government from requiring its employees to obtain vaccination against COVID-19. However, the above rules do not apply to nursing homes, assisted living facilities, or any long-term care facility."
Tennessee,"The Covid-19 state of emergency was last extended on November 5, 2021. Since November 19, Tennessee is not currently under a state of emergency. On August 6, 2021, Governor Bill Lee declared and recognized a continuing state of emergency to allow increased flexibility for out-of-state doctors, retired doctors, and practical nurse graduates to practice and to increase regulatory flexibility to allow other health care professionals to practice.",,"The Tennessee Pledge business guidelines issued at the start of COVID-19 have been officially retired as of Apr. 27, 2021.",Tennessee does not currently have a statewide mask mandate in place.,"Tennessee prohibits a state or local governmental official, entity, department, or agency from mandating a private business require proof of vaccination against COVID-19 as a condition of entering the premises of the business or utilizing services provided by the business."
Texas,"On May 22, Governor Abbott extended the state's Covid-19 disaster declaration.",Air travel restrictions were lifted on May 21.,"Effective March 10, 2021, all operating and occupancy restrictions are lifted.",Texas does not currently have a statewide mask mandate in place.,Texas prohibits any entity from requiring any individual to provide proof of vaccination against Covid-19.
Utah,"Currently, Utah is no longer under a State of Emergency due to COVID-19.",Establishing a Requirement for Individuals Entering Utah to Complete a Travel Declaration Form with Certain Exceptions,"After a previous order expired on Nov. 24, 2020, there are no limits on gathering sizes in Utah, but event organizers must abide by certain safety protocols.",Utah does not currently have a statewide mask mandate in place.,Utah requires businesses who have a vaccinate mandate to grant medical or religious exemptions to employees who request them.
