State,Download Script Ready?,Administration,Allocation,Distribution,Wastage,Age,Race,Ethnicity,Gender,Resident/Non-resident,County Level,Zip Code Level,Coverage in Vulnerable Communities,Manufacturer ,Provider,Data cumulative or not,Data Score,Method to download,Link,Info Type,Notes,Link to get vaccine,Hotline,age policy description (old),age policy description (new),eligible age for vaccine (Apr 15),eligible age for vaccine (Sep 8),Policy Change (timeline)
Iowa,Manually csv,1,1,0,0,1,1,1,1,0,1,0,0,1,0,Cumulative,8,"some data available in csv format, some only dashboard",https://tracking.idph.iowa.gov/Health/Immunization/covid-19-vaccine/data,"administration, allocation, manufacturer, demographics, ",says daily but last updated 9/1,https://vaccinate.iowa.gov/providers/,800-244-7431,"As of April 5, all Iowans age 16 and older are eligible to receive a vaccine. Those ages 16 and 17 can receive only the Pfizer vaccine. Iowans age 18 and older can have the Pfizer or Moderna vaccines.","Iowans age 12-17 can receive only the Pfizer vaccine. Families should contact their health care provider, local public health department or pharmacy to schedule an appointment. Use our provider locator tool to connect to providers in their community. Iowans age 18 and older can have the Pfizer, Moderna or Johnson & Johnson vaccines. Vaccines for children ages 2-11 are currently in development.",16+,12+,
Kansas,"Manually download, csv file avaliable",1,0,2,0,1,1,0,1,0,1,0,0,1,0,Not Cumulative,8,"csv file could be downloaded on website, but need combine manually",https://www.kansasvaccine.gov/158/Data,vaccine administration by date,"update daily, with different dose",https://www.vaccines.gov/,866-534-3463,All residents age 16 and over are eligible for a vaccine. Eligible residents can contact their local county health department or search for vaccine sites by ZIP Code on the CDC?? vaccine finder website.,"Kansas is currently in Phase 5 for vaccine distribution, meaning anyone age 12+ is eligible for a vaccine.",16+,12+,
Kentucky,"Data from state website formatted very poorly, only pdfs avaialble, not useful",1,0,2,0,1,1,0,1,0,1,0,0,1,0,Not Cumulative,8,"csv file could be downloaded on website, but need combine manually",https://dashboard.chfs.ky.gov/views/KYPublicFacingDashboard_16191000580170/KentuckyCOVID-19Vaccination?%3Aiid=1&%3AisGuestRedirectFromVizportal=y&%3Aembed=y,"vaccine administration by age group, county",update daily,https://govstatus.egov.com/ky-covid-vaccine,855-598-2246,"All residents age 16 and older are eligible for the vaccine. A website, vaccine.ky.gov, and hotline help people find a site in their region.",Kentuckianss age 12 and older can sign up for vaccine appointments.,16+,12+,
Louisiana,"Manually download, insufficient data",1,0,0,0,0,0,0,0,0,1,0,0,0,0,Not Cumulative,2,Insufficient data to analyze,https://ladhh.maps.arcgis.com/apps/opsdashboard/index.html#/e3d40ebd0b594202893c033fb4541ae9,overview,insufficient data for analyzing,https://ldh.la.gov/covidvaccine-locations/,855-453-0774,Everyone in Louisiana age 16 and over is eligible for the vaccine. Eligible patients must contact a vaccine location to make an appointment.,Everyone in Louisiana ages 12 and older is eligible to get vaccinated against COVID-19.,16+,12+,
Maine,Automatic download,1,0,2,0,1,1,1,1,0,0,1,0,1,0,Not Cumulative,9,csv file could be downloaded on website,https://www.maine.gov/covid19/vaccines/dashboard,people vaccined by age group and race; vaccine administration by date; county vaccine information,update daily,https://www.maine.gov/covid19/vaccines/vaccination-sites,888-445-4111,All Maine residents 16 years and older are now eligible for vaccination. Information about where to get a vaccine is here.,All people age 12 or older are eligible for COVID-19 vaccination.,16+,12+,
Maryland,Automatic download,1,0,0,0,1,1,1,1,0,1,0,0,0,0,Not Cumulative,6,need a script to scrape data,https://coronavirus.maryland.gov/#Vaccine,"overview, vaccine administration by date, people vaccined by age group",update daily,https://massvax.maryland.gov/,877-463-3464,"Eligibility opened up to 16 and older at all providers offering the vaccine on April 12. Individuals may preregister online to be notified when they can book an appointment.
 
 The state offers a clinic-finder, sortable by address, ZIP Code or location to schedule appointments. Some providers and county health departments are preregistering individuals.",All Marylanders 12 and older are eligible for vaccination.,16+,12+,
Massachusetts,pdf formats,1,0,2,0,1,1,1,0,0,1,0,0,1,0,Not Cumulative,8,weekly data avalible,https://www.mass.gov/info-details/massachusetts-covid-19-vaccination-data-and-updates#daily-covid-19-vaccine-report-,"does shipped, does administration","daily and weekly report, data will be expired after 7 weeks",https://www.mass.gov/info-details/covid-19-vaccination-locations,n/a,"In Massachusetts, individuals currently eligible for vaccination include those age 55 and older, those with one high-risk medical condition, educators and school staff, child-care workers, people with certain high-risk medical conditions, first responders, healthcare workers, and residents and staff of long-term-care facilities, congregate-care settings, and low-income and affordable senior housing.
 
 People age 16 and older can get a vaccine starting April 19.
 
 Residents can visit mass.gov/CovidVaccineMap to view locations, including mass vaccination sites, sign-up and eligibility information. Preregistration is offered. There are also specific websites for certain groups.","People ages 12+ who live, work or study here can get a COVID-19 vaccination",16+,12+,
Michigan,Automatic download,1,0,2,0,1,1,1,1,0,1,0,0,1,1,Not Cumulative,10,"csv file could be downloaded on website, but need combine manually",https://www.michigan.gov/coronavirus/resources/covid-19-vaccine/covid-19-dashboard,"vaccine delivered, administration data (very detailed)","update weekly, downloadable excel file","https://www.michigan.gov/coronavirus/0,9753,7-406-98178_103214---,00.html",888-535-6136,"The state opened vaccine eligibility for those age 16 and older on April 5.
 
 Michigan?? local health departments are scheduling vaccines, and more are coming online with this capability; those that are up and running have phone numbers listed on the state?? Covid-19 website.",Individuals 12 years and older may receive the Pfizer vaccine. Moderna and Johnson & Johnson COVID-19 vaccines are only recommended for those 18 years and older.,16+,12+,
Minnesota,Need to fix code,1,0,2,0,1,1,1,1,0,1,0,0,1,0,Cumulative (updated daily),9,"csv file could be downloaded on website, but need combine manually",https://mn.gov/covid19/vaccine/data/index.jsp,vaccine administration by date,"update daily, daily data avaliable only for past 7 days ",https://mn.gov/covid19/vaccine/find-vaccine/locations/index.jsp,800-657-3504,All Minnesotans 16 years and older are eligible to receive the vaccine. The state has launched an online vaccine connector tool that will notify people if they are eligible to receive a vaccine and provide information about how to make an appointment.,Every Minnesotan age 12 years and older can get vaccinated.,16+,12+,
Mississippi,"Manually download, pdf file avaliable",1,0,2,0,1,1,1,0,0,1,0,0,0,1,Not Cumulative,8,need a script to scrape data (data type is picture),"https://msdh.ms.gov/msdhsite/_static/14,23549,420,971.html",daily vaccine daministration report,update daily,"https://msdh.ms.gov/msdhsite/_static/14,0,420,976.html",877-978-6453,Mississippi residents who are age 16 and older are eligible for vaccines. Those who are 18 and older can be vaccinated at no cost at one of the state?? drive-through vaccination sites.,MSDH provides free vaccinations at county health departments and special community locations for anyone 12 years of age or older. (A parent or guardian must accompany minors to their vaccination.).,16+,12+,
Missouri,"Manually download, csv file avaliable",1,0,0,0,1,1,1,1,0,1,0,0,0,0,Not Cumulative,6,"csv file could be downloaded on website, but need combine manually",https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/data/data-download-vaccine.php,"total dose by date and county, people vaccined by age group, race, and sex ","downloadable data from 12/13/2020, update daily",https://covidvaccine.mo.gov/find/#events,877-435-8411,"All residents age 16 and older became eligible for the vaccine April 9.
 
 Eligible residents should contact a vaccinator on the website?? map to coordinate an appointment. The state is offering preregistration for residents. Once the form is filled out, residents are provided with information about how to get an appointment if they qualify or how to schedule an appointment at a later date.","Anyone, age 12 and up, is now eligible to receive a COVID-19 vaccine.",16+,12+,
Montana,"Manually download, dashboard, insufficient data",1,0,0,0,0,0,0,0,0,1,0,0,0,0,Cumulative,2,Insufficient data to analyze,https://montana.maps.arcgis.com/apps/MapSeries/index.html?appid=7c34f3412536439491adcc2103421d4b,"total dose, fully immunized data over county",insufficient data,https://dphhs.mt.gov/covid19vaccine/index,n/a,"All Montana residents age 16 and older are eligible to be vaccinated.
 
 Vaccination sites vary by county or jurisdiction; providers include local health departments, hospitals, community health centers, IHS and tribal health, and pharmacies. As the vaccine becomes more widely available, information will be posted online.",All Montanans aged 12 and older are eligible for vaccine,16+,12+,
Nebraska,"Manually download, insufficient data",1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cumulative,1,Insufficient data to analyze,https://data.news-leader.com/covid-19-vaccine-tracker/nebraska/31/,"cumulative vaccine information(allocation, administrations, fully and partially vaccined)","weekly update, only update cumulative data (expired weekly)",https://vaccinate.ne.gov/en-US/,833-998-2275,"All Nebraskans 16 and older are now eligible for vaccination as part of Phase 2B of the state?? distribution plan, but health districts and local health departments may be giving priority to other age groups, such as adults 50 and older.
 
 Residents can register for vaccination on the state?? website. People age 65 and older who previously registered with a local health department don?? need to register a second time. However, those who are 18 to 64 who have a high-risk medical condition are asked to register on the state site to ensure proper prioritization.",Anyone in Nebraska 12 and up can now be vaccinated. Family members and caregivers are encouraged to assist with vaccine sign-up if needed.,16+,12+,
Nevada,"Manually download, from power BI dashboard ",1,0,0,0,1,1,1,1,0,1,0,0,0,0,Not Cumulative,6,need a script to scrape data,https://nvhealthresponse.nv.gov/#covid-data-tracker,,no vaccine data,https://www.immunizenevada.org/covid-19-vaccine-locator,800-401-0946,"As of April 5, all Nevadans 16 and older are eligible for the vaccine.
 
 Each county has its own distribution plan. Eligible residents should contact their county officials for more information, and there is an interest form that allows residents to be alerted when they are eligible. The website has a county-by-county breakdown of information, detailing who is eligible. Some also have a scheduling link and a phone number.",All Nevada residents 12+ are currently eligible to receive the vaccine.,16+,12+,
New Hampshire,"Manually download, pdf file avaliable",1,0,2,0,1,1,1,1,0,1,0,0,1,1,Not Cumulative,10,csv file could be downloaded on website,https://www.covid19.nh.gov/dashboard,new case and vaccined population,update daily(start from 3/2/2020),https://www.vaccines.nh.gov/,211 (in state),"As of April 2, people in New Hampshire over the age of 16 are eligible for a vaccine. Eligible residents are able to get vaccines from some hospitals and state-run and regional vaccine clinics. The state has a registration website for eligible residents, and they will receive an email when appointments are available.","The COVID-19 vaccine is safe, effective, and widely available to anyone 12 and older. It is our best defense against COVID-19.",16+,12+,
New Jersey,"Manually download, dashboard",1,0,2,0,1,1,1,1,0,1,0,0,1,0,Not Cumulative,9,need a script to scrape data,https://njhealth.maps.arcgis.com/apps/MapSeries/index.html?appid=50c2c6af93364b4da9c0bf6327c04b45&folderid=e5d6362c0f1f4f9684dc650f00741b24,"total people vaccined, dose administered ","update daily, with different manufacturer",https://covidvaccine.nj.gov/en-US/,855-568-0545,"Starting April 19, all people age 16 and older will be eligible for the vaccine. New Jersey currently vaccinates individuals 55 and older and people ages 16 to 54 who have certain medical conditions or intellectual and developmental disabilities.
 
 Healthcare workers, essential workers, first-responders and others in public-facing roles, including child-care workers and clergy, are already eligible for the vaccine. Certain healthcare facilities are directly vaccinating workers, while other eligible residents can make an appointment directly through one of the designated vaccine sites.
 
 The state has a registration portal, and residents receive a confirmation email telling them which group they are in, but it doesn?? offer a timeline or the ability to make appointments.","Everyone 12 or older who lives, works, or studies in New Jersey is now eligible for the COVID-19 vaccine.",16+,12+,
New Mexico,"Manually download, text data type",1,0,0,0,1,1,1,0,1,1,0,0,0,0,Cumulative,6,need a script to scrape data,https://cvvaccine.nmhealth.org/public-dashboard.html,"overall data, administration data by race, age group, and county",update daily,https://vaccinenm.org/my-registration.html,855-600-3453,"The state currently vaccinates New Mexicans age 60 and older and anyone over the age of 16 at risk of Covid-19 complications. Other groups that are eligible include hospital personnel, residents and staff of long-term-care facilities, medical first responders, people providing direct medical care, home-based healthcare and hospice workers, and residents of congregate-care facilities. All K-12 educators, early childhood professionals and staff are also eligible to receive the Covid-19 vaccine.
 
 Residents can register to be notified when they are eligible for the vaccine.",All New Mexicans age 12 and older are eligible for COVID-19 vaccine.,16+,12+,
New York,Automatic download,1,0,0,0,1,1,1,1,0,1,1,0,0,0,Cumulative,7,need a script to scrape data,https://covid19vaccine.health.ny.gov/covid-19-vaccine-tracker,overall data,update daily,https://am-i-eligible.covid19vaccine.health.ny.gov/Public/prescreener,833-697-4829,"All New Yorkers age 16 and older are eligible to schedule vaccine appointments as of April 6. Residents can contact pharmacies, hospitals and local health departments. There also are state-run distribution sites, and residents can use this website to schedule an appointment.",All individuals 12 years of age and older that reside in the United States are eligible to receive the vaccine.,16+,12+,
North Carolina,Only Manual,1,0,0,0,1,1,1,1,0,1,1,0,0,0,Cumulative,7,csv download available,https://covid19.ncdhhs.gov/dashboard/vaccinations,,,https://covid19.ncdhhs.gov/vaccines,888-675-4567,"All North Carolina residents age 16 and up are eligible to receive the Covid-19 vaccine as of April 7.
 
 The state lists vaccine providers, mostly local health departments, pharmacies and hospitals that residents can contact to get more information or an appointment. There is no preregistration option listed.",COVID-19 vaccines are available to everyone 12 and older.,16+,12+,
North Dakota,Automatic download,1,0,0,0,1,1,1,1,0,1,0,0,1,1,Not cumulative,8,csv download available,https://www.health.nd.gov/covid19vaccine/dashboard,"overall, with demographic info",daily,https://www.health.nd.gov/covidvaccinelocator,866-207-2880,"North Dakota has opened eligibility to anyone over 16 years old as of March 29. The state has a vaccine locator, listing provider names by location and instructions on how to contact them. The appointment process is different for every provider.","As of May 12th, every North Dakotan 12 years of age and older is eligible to receive COVID-19 vaccine.",16+,12+,
Ohio,Automatic download,1,0,0,0,1,1,1,1,0,0,0,0,0,0,Not cumulative,5,summary csv download available,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/dashboards/covid-19-vaccine/covid-19-vaccination-dashboard,overall with adminstered rate/amount info,Updates daily,https://gettheshot.coronavirus.ohio.gov/screening,833-427-5634,All residents age 16 and older are eligible for the vaccine. Residents can find their eligibility and book an appointment via a state booking tool.,All residents age 12 and older are eligible for the vaccine.,16+,12+,
Oklahoma,Automatic download,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,1,vaccination by zip csv download available,https://oklahoma.gov/covid19.html,"limited data about vaccination, mainly focused on infected data",updates daily,https://vaccinate.oklahoma.gov/en-US/,405-425-4489,"Anyone age 16 and older is eligible for vaccine appointments. There is a vaccine scheduling tool for eligible residents, and the website also offers a list of vaccine centers.","Vaccine appointments are now available to anyone aged 12 and older, living in any state.",16+,12+,
Oregon,"Automatic download for county level vaccination, more can be done by manual (The link updates once in a while)",1,0,0,0,1,1,1,1,0,1,1,0,1,0,Not cumulative,8,csv download available,https://public.tableau.com/app/profile/oregon.health.authority.covid.19/viz/OregonCOVID-19VaccinationTrends/OregonStatewideVaccinationTrends,"Vaccination data about counties, different types of vaccines, #doses as well as demographics",updates daily,https://getvaccinated.oregon.gov/#/locator?lang=en,866-698-6155,"Oregon currently vaccinates residents age 65 and older, residents age 16 and older with underlying conditions and certain front-line workers in the agriculture and food-processing industry, healthcare workers, long-term-care residents and employees and educators. A federal judge ordered state officials to offer the vaccine to prison inmates.
 
 All Oregonians age 16 and older will be eligible to get vaccinated starting April 19.
 
 There is a county-by-county breakdown with relevant information such as website links and phone numbers. There is a Get Vaccinated Oregon eligibility tool, which allows residents to sign up for notifications and find a provider.",COVID-19 vaccines are now available to everyone 12 and older,16+,12+,
Pennsylvania,Automatic download,1,1,2,2,1,1,1,1,1,1,1,0,1,1,Both,15,csv download available,https://data.pa.gov/browse?q=covid%20vaccine&sortBy=relevance,"Very Comprehensive data, very detailed, 1st and 2nd doses allocation included","some daily, some weekly, some stopped in June",https://www.health.pa.gov/topics/disease/coronavirus/Vaccine/Pages/Vaccine.aspx,877-724-3258,"All people age 16 and older became eligible to schedule vaccination appointments in Pennsylvania on April 13. The state has an eligibility quiz and a map to find a location to contact directly to schedule an appointment at hospitals, urgent-care centers, doctor?? offices and pharmacies. There is no preregistration option.
 
 The state?? distribution plan doesn?? include Philadelphia, which has its own plan. Philadelphia has an online vaccine interest form that people can fill out to receive information about where and when to get vaccinated.",All Pennsylvanians age 12 and older are eligible to receive a COVID-19 vaccine.,16+,12+,
