Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
15toknow,250 Mall Blvd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,295,3466,POINT (-75.390941 40.090833)
Cornerstone Coordinated Health Care LLC,40 West Frack Street,Frackville,Pennsylvania,17931,Schuylkill,0,0,0,0,7,0,POINT (-76.232047 40.784801)
Drs Blum and Desai,545  N RIVER STREET,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,100,0,POINT (-75.868583 41.257462)
The Medicine Shoppe,100 Hazle Street,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,39,0,POINT (-75.891345 41.238396)
Lebanon Community Health Center,920 Church St,Lebanon,Pennsylvania,17046,Lebanon,0,0,0,0,4,0,POINT (-76.42776 40.344531)
Blueberry Pharmacy,1018 W View Park Dr,Pittsburgh,Pennsylvania,15229,Allegheny,0,0,0,0,31,0,POINT (-80.036184 40.516635)
WellSpan Occupational Health,2250 E Market Street,York,Pennsylvania,17402,York,0,0,0,0,5,0,POINT (-76.682678 39.973843)
Cornerstn Cre Prim Cre Ctr Mt Morris,120 Locust Ave Ext *,Mount Morris,Pennsylvania,15349,Greene,0,0,0,0,7,0,POINT (-80.060817 39.734055)
Anne Chen MD an Assoc McKees Rcks,6000 Steubenville Pike,Mc Kees Rocks,Pennsylvania,15136,Allegheny,0,0,0,0,10,0,POINT (-80.144354 40.445188)
SCI-Laurel Highlands,5706 Glades Pike Road,Somerset,Pennsylvania,15501,Somerset,0,0,0,32,57,0,POINT (-79.040912 40.002438)
Gerritys Pharmacy Hanover,2280 Sans Souci Parkway,Hanover Township,Pennsylvania,18706,Luzerne,0,0,0,12,9,0,POINT (-75.971341 41.209669)
PHN-Jacksonville Family Medical Center,29 Saltsburg Road,Clarksburg,Pennsylvania,15725,Indiana,0,0,0,9,0,0,POINT (-79.299222 40.540065)
Gerritys Pharmacy Keyser,1782 NORTH KEYSER AVE,Scranton,Pennsylvania,18508,Lackawanna,0,0,0,0,127,0,POINT (-75.667793 41.445253)
GoodHealth Medicine Shoppe 1549,1707 Wilmington Rd,New Castle,Pennsylvania,16105,Lawrence,0,0,0,0,0,1207,POINT (-80.354342 41.018631)
WAYNE MEMORIAL HOSPITAL,601 Park Street,Honesdale,Pennsylvania,18431,Wayne,1,0,0,514,1,227,POINT (-75.259796 41.576284)
Curative Medical Associates Inc,317 W Pike St,Canonsburg,Pennsylvania,15317,Washington,0,0,0,224,0,0,POINT (-80.195148 40.25802)
Temple Family Medicine-Fort Washington,515 Pennsylvania Avenue,Fort Washington,Pennsylvania,19034,Montgomery,0,0,0,0,23,0,POINT (-75.206327 40.134534)
Tower Health-Laureldale Fam Med,3212 Kutztown Road,Laureldale,Pennsylvania,19605,Berks,0,13,0,0,139,0,POINT (-75.920253 40.384945)
Advanced Lab Solutions LLC,3729 Easton Nazareth Hwy. LL2,Easton,Pennsylvania,18045,Northampton,0,0,0,0,875,1711,POINT (-75.281051 40.710904)
FPC Harisbrg commer St Fam Prac Ctr,2850 Commerce Drive,Harrisburg,Pennsylvania,17110,Dauphin,0,0,0,0,38,0,POINT (-76.836167 40.312139)
Plundo Medical Associates,518 Pellis Road,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,27,697,484,POINT (-79.522042 40.293931)
LGH Twin Rose Fam Med Wrightsville,6415 Lincoln Hwy,Wrightsville,Pennsylvania,17368,York,0,0,0,0,38,0,POINT (-76.544998 40.02244)
PHN-Lewistown Community Health Center,106 Derry Heights,Lewistown,Pennsylvania,17044,Mifflin,0,0,0,11,76,0,POINT (-77.577034 40.643141)
Centennial Pharmacy Services,1020 N Delaware Avenue,Philadelphia,Pennsylvania,19125,Philadelphia,0,0,0,0,80,58,POINT (-75.132334 39.965723)
Torrance State Hospital,121 Longview Drive,Torrance,Pennsylvania,15779,Westmoreland,0,0,0,78,2,95,POINT (-79.238368 40.415289)
UPMC Jameson,1211 Wilmington Avenue Pharmacy Dept,New Castle,Pennsylvania,16105,Lawrence,10,0,0,45,142,185,POINT (-80.350989 41.013236)
EMHS Physician Office,100 Hospital Drive,Montrose,Pennsylvania,18801,Susquehanna,0,0,0,2,8,0,POINT (-75.836978 41.83573)
Central Bucks Fam Pract PC Doylestown,252 W Swamp Rd,Doylestown,Pennsylvania,18901,Bucks,0,0,0,0,1,0,POINT (-75.137894 40.333244)
UPMC Passavant Cranberry,1 St Francis Way,Cranberry Twp,Pennsylvania,16066,Butler,1,1,0,116,45,304,
SLUHHN-Allentown,1736 HAMILTON BLVD Inpatient Pharmacy - 2nd Floor,Allentown,Pennsylvania,18104,Lehigh,0,100,0,197,5,0,
SLPG Community Hlth Fam Pract Bethleh,2830 Easton Avenue,Bethlehem (Part-Northampton),Pennsylvania,18017,Northampton,0,0,0,2,0,0,POINT (-75.342753 40.646673)
George Junior Republic in PA,233 George Junior Road,Grove City,Pennsylvania,16127,Mercer,0,0,0,0,1,0,POINT (-80.110636 41.171763)
Clarks Summit State Hospital,1451 Hillside Drive,Clarks Summit,Pennsylvania,18411,Lackawanna,0,0,0,18,219,0,POINT (-75.739461 41.481137)
Fresenius Kidney Care Uniontown,360 Walmart Drive,Uniontown,Pennsylvania,15401,Fayette,0,0,0,0,34,0,POINT (-79.757844 39.91536)
The Burke Center Inc.,70 Hollow Crest Rd,Tunkhannock,Pennsylvania,18657,Wyoming,0,0,0,0,2,0,POINT (-75.97541 41.579973)
CMU Student Health Services,1060 Morewood Avenue,Pittsburgh,Pennsylvania,15213,Allegheny,0,6,0,181,45,104,POINT (-79.942899 40.44489)
Pediatrics of Northeastern Pennsylvania,920 Viewmont Drive,Dickson City,Pennsylvania,18519,Lackawanna,0,0,0,0,57,0,POINT (-75.646449 41.454855)
Penn State Health Rehab Hospital,1135 Old West Chocolate Ave,Hershey,Pennsylvania,17033,Dauphin,1,0,0,0,0,0,POINT (-76.685233 40.272871)
THMG Vaccine Clinic-Muhlenberg,1000 Tuckerton Court,Reading,Pennsylvania,19605,Berks,0,0,0,0,2,0,POINT (-75.947992 40.400747)
Harrisburg Endoscopy Surgery Center,4760 Union Deposit Road,Harrisburg,Pennsylvania,17111,Dauphin,0,0,0,1,0,0,POINT (-76.803702 40.280227)
Christine Meyer MD and Associates,750 W. Lincoln Highway,Exton,Pennsylvania,19341,Chester,0,0,0,0,1036,0,POINT (-75.664397 40.021435)
Bushy Run Pharmacy Inc,2106 Route 130,Harrison City,Pennsylvania,15636,Westmoreland,0,0,0,0,8344,3744,POINT (-79.648525 40.353783)
Neighborhood HCLV-Bethlehem,1210 East 4th Street,Bethlehem (Part-Northampton),Pennsylvania,18015,Northampton,2,0,0,5,30,0,POINT (-75.359751 40.611208)
Fam First Hlth Gettysburg Ctr,Peebles Plaza 1275-17 York Road,Gettysburg,Pennsylvania,17325,Adams,0,0,0,369,34,0,
FPC -Mt Pleasant Mills Fam Practice Cntr,9627 Route 35,Mount Pleasant Mills,Pennsylvania,17853,Snyder,0,0,0,4,2,0,POINT (-77.022271 40.721775)
Monongahela Valley Hospital,1163 Country Club Road,Monongahela,Pennsylvania,15063,Washington,0,0,0,0,52,0,POINT (-79.916334 40.181842)
FPC-Selinsgrove 2 Family Practice Center,21 Susquehanna Valley Mall Drive,Selinsgrove,Pennsylvania,17870,Snyder,0,0,0,0,13,0,POINT (-76.850738 40.821767)
UPMC-RHMS Bayside Family Medicine,510 Cranberry Street,Erie,Pennsylvania,16507,Erie,0,0,0,60,29,0,POINT (-80.111521 42.120932)
GIANT PHARMACY-6321,859 NAZARETH PIKE,NAZARETH,PA,18064,Northampton,0,0,0,29,3070,131,POINT (-75.314175 40.730169)
Lincoln Pharmacy,232 North Avenue,Pittsburgh,Pennsylvania,15209,Allegheny,0,0,0,42,75,0,POINT (-79.974787 40.481161)
Keystone Community Health Services,111 Chambers Hill Drive,Chambersburg,Pennsylvania,17201,Franklin,1,1,0,152,599,45,
Clarion Osteopathic Hospital,1 Hospital Drive,Clarion,Pennsylvania,16214,Clarion,0,0,0,0,771,6680,POINT (-79.396861 41.191658)
Valley Medical-Wilkes Barre,75 South Wyoming Avenue,Edwardsville,Pennsylvania,18704,Luzerne,0,0,0,0,344,410,POINT (-75.902085 41.257703)
CHOP Care Network-Springfield,1001 Baltimore Pike,Springfield,Pennsylvania,19064,Delaware,0,0,0,6,2645,0,POINT (-75.341483 39.914651)
Wellspan Surgical and Rehab Hosp,55 Monument Rd,York,Pennsylvania,17403,York,0,0,0,12,270,0,POINT (-76.716773 39.923331)
AHN-AC FM PRIME MEDICAL GROUP-Rostraver,1645 Rostraver Road,Belle Vernon,Pennsylvania,15012,Fayette,0,0,0,11,296,32,POINT (-79.806154 40.175748)
AHOLD USA-GIANT PHARMACY-6277,7673 LAKE RAYSTOWN SHOPPING CENTER,HUNTINGDON,PA,16652,Huntingdon,0,0,0,0,1713,100,POINT (-78.013383 40.479429)
Adagio Health-Seneca,3292 State Route 257,Seneca,Pennsylvania,16346,Venango,0,0,0,1357,209,815,POINT (-79.703532 41.381847)
Allergy and Clinical Immunology Assoc,180 Fort Couch Rd,Pittsburgh,Pennsylvania,15241,Allegheny,0,0,0,0,7,0,POINT (-80.054138 40.34591)
DAVENSHIRE MEDICAL CENTER,3740 CARLISLE RD,Dover,Pennsylvania,17315,York,0,0,0,0,26,0,POINT (-76.837304 39.989381)
Wellspan Family Medicine-Terre Hill,770 Broad Street PO Box 130,East Earl,Pennsylvania,17519,Lancaster,0,4,2,671,143,50,POINT (-76.052649 40.164153)
CHOP Care Network-Paoli,2 Industrial Boulevard,Paoli,Pennsylvania,19301,Chester,10,0,0,822,274,474,POINT (-75.498307 40.042792)
Graham Medical Clinic,100 South High Street,Newville,Pennsylvania,17241,Cumberland,0,0,0,2,0,0,POINT (-77.397268 40.169962)
Holy Redeemer Hospital and Med Center,1648 Huntingdon Pike Attn: Pharmacy Dept,Meadowbrook,Pennsylvania,19046,Montgomery,6,1,5,34,8,0,POINT (-75.081101 40.108944)
Holy Redeemer Hosp and Med Cntr,1648 Huntingdon Pike Attn: Pharmacy Dept,Meadowbrook,Pennsylvania,19046,Montgomery,0,0,0,1018,420,1820,POINT (-75.081101 40.108944)
AHOLD USA-GIANT PHARMACY-6112,255 S SPRING GARDEN STREET,CARLISLE,PA,17013,Cumberland,0,0,0,41,1304,70,POINT (-77.181721 40.196578)
MARTINS PHARMACY-6288,221 GLIMCHER DRIVE,DUNCANSVILLE,PA,16635,Blair,0,0,0,75,2818,973,POINT (-78.410863 40.432065)
SLUHN-Northampton Community College,3835 Green Pond Road,Bethlehem (Part-Northampton),Pennsylvania,18020,Northampton,0,0,0,0,81,0,POINT (-75.32438 40.674823)
GIANT PHARMACY-6455,3560 ROUTE 611,BARTONSVILLE,PA,18321,Monroe,0,0,0,314,2621,836,POINT (-75.273235 41.002248)
UPMC Magee Womens Hospital,300 Halket Street,Pittsburgh,Pennsylvania,15213,Allegheny,0,0,0,4,1533,0,POINT (-79.95959 40.437113)
VDI-Wileys Pharmacy of Quarryville,112 TownsEdge Drive,Quarryville,Pennsylvania,17566,Lancaster,0,0,0,0,649,0,POINT (-76.17555 39.895359)
PharMerica WB,153 Stewart Rd,Wilkes Barre,Pennsylvania,18706,Luzerne,0,0,0,0,4,0,POINT (-75.921518 41.21495)
Lebanon Valley Family Medicine-Palmyra,1400 South Forge Road,Palmyra,Pennsylvania,17078,Lebanon,0,0,0,0,1,0,POINT (-76.576423 40.296115)
Exeter Township Health Center,2795 Sullivans Trail,Falls,Pennsylvania,18615,Wyoming,3,0,0,14,152,819,POINT (-75.857332 41.445318)
UPMC-SUPERIOR FAMILY MEDICINE,135 Allegheny Ave 2nd floor,Oakmont,Pennsylvania,15139,Allegheny,6,0,0,33,102,0,POINT (-79.843716 40.513038)
WellSpan Internal Medicine-Lebanon,720 Norman Dr,Lebanon,Pennsylvania,17042,Lebanon,0,0,0,3,30,0,POINT (-76.417969 40.313575)
Peter E McNeil MD,240 S. hickory Street,Mount Carmel,Pennsylvania,17851,Northumberland,0,0,0,0,32,10,POINT (-76.41092 40.794217)
FPC-Sunbury Family Practice Center,409 N 4th Street,Sunbury,Pennsylvania,17801,Northumberland,0,0,0,3,1,0,POINT (-76.788614 40.865865)
Wellspn Fam Med Hlth Campus Bldg 2,12 St. Paul Drive Building 2,Chambersburg,Pennsylvania,17201,Franklin,0,0,37,62,640,114,POINT (-77.634763 39.943292)
EINSTEIN MEDICAL CENTER MONTGOMERY,EMCM PHARMACY 559 W GERMANTOWN PIKE,East Norriton,Pennsylvania,19403,Montgomery,1,1,0,46,3,580,
ccmh-Charles Cole Memorial Hospital,1001 East Second Street,Coudersport,Pennsylvania,16915,Potter,2,9,0,19,522,155,POINT (-77.979711 41.77065)
Cornerstone Care-Prim Care Ctr-Mt Morris,120 Locust Ave Ext *,Mount Morris,Pennsylvania,15349,Greene,0,0,0,10,13,0,POINT (-80.060817 39.734055)
Wellspan Fam Medicine-Roosevelt Avenue,1401 Roosevelt Avenue,York,Pennsylvania,17404,York,0,0,0,0,1,0,POINT (-76.758734 39.97938)
Morris Drug,15 East Centre St,Mahanoy City,Pennsylvania,17948,Schuylkill,0,0,0,2706,0,1320,POINT (-76.141312 40.812802)
Crozer-Chester Medical Center,1 Medical Center Blvd Department of Pharmacy,Upland,Pennsylvania,19013,Delaware,5,0,0,89,105,8337,POINT (-75.369731 39.855635)
AHN-AC IM PC BRENTWOOD,3720 Brownsville Road 3rd FL,PITTSBURGH,PA,152273520,Allegheny,0,0,0,25,59,0,POINT (-79.975384 40.372201)
AFC Urgent Care Havertown,115 W. Eagle Rd,Havertown,Pennsylvania,19083,Delaware,0,0,0,249,679,1744,POINT (-75.314413 39.985529)
All About Children Ped Partners,655 Walnut Street,West Reading,Pennsylvania,19611,Berks,0,0,0,182,0,0,POINT (-75.948225 40.338118)
North Penn Pediatrics PC,2031 North Broad St,Lansdale,Pennsylvania,19446,Montgomery,0,0,0,0,60,0,POINT (-75.262824 40.260455)
Latino Connection LLC,4211 Elmerton Avenue,Harrisburg,Pennsylvania,17109,Dauphin,0,0,0,0,1127,660,POINT (-76.824195 40.299011)
LVPG Pediatrics-Easton,2401 Northampton Street,Easton,Pennsylvania,18045,Northampton,0,0,0,0,155,0,POINT (-75.249592 40.68752)
LGH-Family Medicine Buck,34 Fawn Drive,Quarryville,Pennsylvania,17566,Lancaster,0,0,0,68,7,0,POINT (-76.224377 39.871642)
AHN-AC IM Primary Care Northside,490 E. North Avenue Allegheny Professional Building,Pittsburgh,Pennsylvania,15212,Allegheny,0,0,0,0,563,18,POINT (-80.001733 40.456392)
UPMC-Charles Cole Memorial Hospital,1001 East Second Street,Coudersport,Pennsylvania,16915,Potter,0,5,0,10,624,152,POINT (-77.979711 41.77065)
Medical Arts Pharmacy,220 WILSON STE 100,Carlisle,Pennsylvania,17013,Cumberland,0,0,0,12,3604,0,POINT (-77.202904 40.198342)
Refresh Dental New Castle,2616 WILMINGTON RD,New Castle,Pennsylvania,16105,Lawrence,0,0,0,422,19,500,POINT (-80.355257 41.033912)
Baker Family Medical Associates,3237 Bristol Rd,Bensalem,Pennsylvania,19020,Bucks,0,0,0,10,899,0,POINT (-74.940323 40.135064)
Select Specialty Hospital-McKeesport,6 CRAWFORD VLG 1500 FIFTH AVENUE,Mc Keesport,Pennsylvania,15132,Allegheny,0,0,0,2,2,0,
Cumberland County SHC,431 East North Street,Carlisle,Pennsylvania,17013,Cumberland,0,0,0,7,140,0,POINT (-77.179324 40.203811)
Fresenius Kidney Care-Lansdale,120 Medical Campus Drive,Lansdale,Pennsylvania,19446,Montgomery,0,0,0,2,0,0,POINT (-75.271313 40.251075)
Pharmacy Innovations,2936 W 17th Street,Erie,Pennsylvania,16505,Erie,0,0,0,0,21,0,POINT (-80.144485 42.095266)
Hyndman Area Hth CtrJohnstwn,203 College Park Plaza,Johnstown,Pennsylvania,15904,Cambria,0,0,0,54,1470,777,POINT (-78.8488 40.276966)
Custom Care Pharmacy-Milton-Retail,57 S. Front St.,Milton,Pennsylvania,17847,Northumberland,0,0,0,377,1569,382,POINT (-76.855706 41.019034)
Majeed Health,416 W Tilghman Street,Allentown,Pennsylvania,18102,Lehigh,0,0,0,0,580,100,POINT (-75.470697 40.613381)
Giant Eagle Pharmacy-2424,1300 Country Club Road,Monongahela,Pennsylvania,15063,Washington,0,0,0,0,6,0,POINT (-79.916074 40.171721)
Elco Family Health Center,6 Perri Avenue,Myerstown,Pennsylvania,17067,Lebanon,0,0,0,0,129,0,POINT (-76.273564 40.329002)
Eden Park Pediatrics-Brownstown,4221 Oregon Pike,Ephrata,Pennsylvania,17522,Lancaster,0,0,0,57,876,0,POINT (-76.215299 40.132266)
Altoona Arthritis and Osteoporosis Cntr,175 Meadowbrook Lane,Duncansville,Pennsylvania,16635,Blair,0,0,0,0,49,0,POINT (-78.417164 40.435193)
PHN-Clarion Community Health Center,30 Pinnacle Drive,Clarion,Pennsylvania,16214,Clarion,0,0,0,34,317,0,
WellSpan Family Medicine- Waynesboro,601 East Main Street 1st Floor,Waynesboro,Pennsylvania,17268,Franklin,0,0,0,0,10,0,POINT (-77.56815 39.75089)
Willow Grve Hlth Cntr-Montgom Cnty,102 York Road,Willow Grove,Pennsylvania,19090,Montgomery,18,0,0,1544,57,3195,POINT (-75.114773 40.14315)
WellSpan Internal Medicine Ephrata,"446 N Reading Rd, Suite 301",Ephrata,Pennsylvania,17522,Lancaster,0,0,0,3,370,30,POINT (-76.171237 40.195418)
Genoa Healthcare 10940,"1610 North Main Street Extension, Suite 104",Butler,Pennsylvania,16001,Butler,0,0,0,0,142,0,POINT (-79.911441 40.900917)
SLPG Star Community Hlth Fam Pract Si,450 Chew Street,Allentown,Pennsylvania,18102,Lehigh,0,0,0,0,6,0,POINT (-75.469421 40.607597)
Smart Choice Pharmacy,1941 Street rd,Bensalem,Pennsylvania,19020,Bucks,0,0,0,0,771,0,POINT (-74.945732 40.096986)
FPC-Lewisberry Red Cedar Fam Prac Center,689 Yorktown Rd,Lewisberry,Pennsylvania,17339,York,0,0,0,0,6,0,POINT (-76.828775 40.164674)
PAM Specialty Hospital of Wilkes-Barre,575 North River Street 7th floor,Wilkes Barre,Pennsylvania,18764,Luzerne,0,0,0,10,0,0,POINT (-75.868165 41.258261)
Rx Xpress Pharmacy,111 Mill Street Grove City,Grove City,Pennsylvania,16127,Mercer,0,0,0,1617,1402,1530,POINT (-80.089092 41.161407)
Allegheny Cnty Hlth Dept-Immunization Cl,425 1st Avenue,Pittsburgh,Pennsylvania,15219,Allegheny,22,12,0,503,730,636,POINT (-79.9995 40.436835)
St. Lukes Uni  Hlth Network Lehigh,GNADEN HUETTEN HOSPITAL PHARMACY DEP 211 NORTH 12TH STREET,Lehighton,Pennsylvania,18235,Carbon,0,0,0,40,108,489,
WellSpan Internal Med V Twin Dr,40 V Twin Dr,Gettysburg,Pennsylvania,17325,Adams,0,0,0,0,643,0,POINT (-77.18277 39.84572)
SLPG-Pediatrics-Allentown,501 Cetronia Rd,Allentown,Pennsylvania,18104,Lehigh,6,0,0,146,539,288,POINT (-75.557662 40.586095)
PHN-Shenandoah Health Center,624 West Centre Street,Shenandoah,Pennsylvania,17976,Schuylkill,0,0,0,15,475,0,POINT (-76.208553 40.819365)
Tyrone Hospital,187 Hospital Drive,Tyrone,Pennsylvania,16686,Blair,0,0,0,30,1,10,POINT (-78.252302 40.674843)
LVPG Family Medicine Trexlertown,6900 Hamilton Blvd PO Box 127,Trexlertown,Pennsylvania,18087,Lehigh,0,0,0,3,0,0,POINT (-75.594111 40.551734)
Eagleville Hospital,100 EAGLEVILLE ROAD PO BOX 45,Eagleville,Pennsylvania,19408,Montgomery,0,0,0,156,1133,435,POINT (-75.412004 40.155719)
Advocare Broomall Ped Lawrence Prk,1991 Sproul Road Lawrence Park Center,Broomall,Pennsylvania,19008,Delaware,23,4,0,248,651,379,
Tower Health-Phoenixville Hospital,140 Nutt Road,Phoenixville,Pennsylvania,19460,Chester,0,0,0,0,36,0,POINT (-75.538076 40.133396)
FPC Middleburg Fam Prac Cntr,1 Dock Hill Road,Middleburg,Pennsylvania,17842,Snyder,0,0,0,3,0,0,POINT (-77.031795 40.789558)
West Reading Drug Store,538 PENN AVE,West Reading,Pennsylvania,19611,Berks,0,0,0,676,2413,312,POINT (-75.949059 40.335732)
Penn State  Milton S Hershey Med Ctr,500 University Drive,Hershey,Pennsylvania,17033,Dauphin,11,0,0,56,123,12,POINT (-76.674557 40.265932)
Irwin Prim Cre Assoc Murrysville,118 FOX PLAN ROAD,Monroeville,Pennsylvania,15146,Allegheny,0,0,0,10,441,0,POINT (-79.761147 40.435023)
Primary Care South,1000 Waterdam Plaza Dr,Mc Murray,Pennsylvania,15317,Washington,0,0,0,559,65,245,POINT (-80.134323 40.263338)
Chambersburg Hospital (Wellspan Summit),112 N. 7th Street,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,0,11,0,POINT (-77.647451 39.934915)
Nurses United Against Covid,463 W Sproul Road,Springfield,Pennsylvania,19064,Delaware,0,0,0,0,109,185,POINT (-75.350329 39.927806)
