"County","People with at least one vaccine dose","People with completed vaccine series","People up to date with vaccine doses","reportedDate","webDate"
"MCLEOD",21716,20785,7478,"8/7/2022",2022-08-09
"MEEKER",11915,11441,4101,"8/7/2022",2022-08-09
"MILLE LACS",13192,12372,4602,"8/7/2022",2022-08-09
"MORRISON",16693,15892,5786,"8/7/2022",2022-08-09
"MOWER",26266,24891,10749,"8/7/2022",2022-08-09
"MURRAY",4923,4733,1393,"8/7/2022",2022-08-09
"NICOLLET",23356,22362,9969,"8/7/2022",2022-08-09
"NOBLES",13942,13057,4119,"8/7/2022",2022-08-09
"NORMAN",3992,3815,1203,"8/7/2022",2022-08-09
"OLMSTED",130631,123867,67677,"8/7/2022",2022-08-09
"OTTER TAIL",34175,32357,11932,"8/7/2022",2022-08-09
"PENNINGTON",8380,8033,2825,"8/7/2022",2022-08-09
"PINE",14591,13826,5050,"8/7/2022",2022-08-09
"PIPESTONE",5116,4784,1294,"8/7/2022",2022-08-09
"POLK",17765,16694,5514,"8/7/2022",2022-08-09
"POPE",6551,6252,2543,"8/7/2022",2022-08-09
"RAMSEY",421142,394098,205671,"8/7/2022",2022-08-09
"RED LAKE",2345,2239,598,"8/7/2022",2022-08-09
"REDWOOD",8732,8395,2977,"8/7/2022",2022-08-09
"RENVILLE",8246,7898,2735,"8/7/2022",2022-08-09
"RICE",43776,41446,18976,"8/7/2022",2022-08-09
"ROCK",5057,4719,1595,"8/7/2022",2022-08-09
"ROSEAU",8204,7845,2320,"8/7/2022",2022-08-09
"SCOTT",108206,102616,44425,"8/7/2022",2022-08-09
"SHERBURNE",52308,49757,18958,"8/7/2022",2022-08-09
"SIBLEY",8267,7913,2634,"8/7/2022",2022-08-09
"ST. LOUIS",139299,131951,63509,"8/7/2022",2022-08-09
"STEARNS",91654,86465,35865,"8/7/2022",2022-08-09
"STEELE",23631,22530,10069,"8/7/2022",2022-08-09
"STEVENS",5834,5530,2276,"8/7/2022",2022-08-09
"SWIFT",5509,5309,2099,"8/7/2022",2022-08-09
"TODD",11558,11002,3652,"8/7/2022",2022-08-09
"TRAVERSE",2131,2041,775,"8/7/2022",2022-08-09
"UNKNOWN/MISSING",3802,2925,1037,"8/7/2022",2022-08-09
"WABASHA",14307,13731,5790,"8/7/2022",2022-08-09
"WADENA",6516,6197,2158,"8/7/2022",2022-08-09
"WASECA",11059,10596,4239,"8/7/2022",2022-08-09
"WASHINGTON",207097,197001,94454,"8/7/2022",2022-08-09
"WATONWAN",6829,6427,2245,"8/7/2022",2022-08-09
"WILKIN",3556,3334,1020,"8/7/2022",2022-08-09
"WINONA",32702,31292,14543,"8/7/2022",2022-08-09
"WRIGHT",81563,77457,29985,"8/7/2022",2022-08-09
"YELLOW MEDICINE",5424,5191,1878,"8/7/2022",2022-08-09
