"Age group","year","week","case_definition","White","Black/African American","American Indian","Asian/Pacific Islander","Multiracial","Hispanic","webDate"
"19-44",2022,27,"Completed vaccine series","62.5 %","63.3 %","56.6 %","78.8 %","43.5 %","66.8 %",2022-07-30
"12-18",2022,27,"Completed vaccine series","54.2 %","57.5 %","56.1 %","87.5 %","30.4 %","58.7 %",2022-07-30
"12+",2022,27,"Completed vaccine series","71.1 %","71 %","62.4 %","85.3 %","45.8 %","69.2 %",2022-07-30
"65+",2022,26,"At least one vaccine dose","100 %","100 %","88.1 %","100 %","100 %","94.8 %",2022-07-30
"5-11",2022,26,"At least one vaccine dose","37.3 %","30.2 %","36.2 %","66.6 %","25.3 %","32.3 %",2022-07-30
"5+",2022,26,"At least one vaccine dose","70.9 %","70.4 %","63.3 %","87.6 %","43.2 %","68.5 %",2022-07-30
"45-64",2022,26,"At least one vaccine dose","70 %","90.9 %","70.4 %","96.6 %","70.4 %","85.2 %",2022-07-30
"19-44",2022,26,"At least one vaccine dose","66 %","70.9 %","63.3 %","84.4 %","46.8 %","74.1 %",2022-07-30
"12-18",2022,26,"At least one vaccine dose","56.5 %","65.1 %","61.9 %","91.9 %","32.4 %","64.4 %",2022-07-30
"12+",2022,26,"At least one vaccine dose","73.9 %","77.8 %","67.8 %","90.4 %","48.6 %","75.6 %",2022-07-30
"65+",2022,26,"Completed vaccine series","98.4 %","100 %","85.6 %","100 %","96.1 %","87.9 %",2022-07-30
"5-11",2022,26,"Completed vaccine series","34.9 %","24.9 %","29.6 %","61.2 %","23 %","27.7 %",2022-07-30
"5+",2022,26,"Completed vaccine series","68.1 %","63.7 %","57.7 %","82.4 %","40.5 %","62.2 %",2022-07-30
"45-64",2022,26,"Completed vaccine series","68.2 %","85.8 %","66.3 %","92.3 %","68.1 %","80.1 %",2022-07-30
"19-44",2022,26,"Completed vaccine series","62.4 %","63.3 %","56.5 %","78.7 %","43.5 %","66.7 %",2022-07-30
"12-18",2022,26,"Completed vaccine series","54.2 %","57.3 %","56 %","87.4 %","30.4 %","58.6 %",2022-07-30
"12+",2022,26,"Completed vaccine series","71.1 %","70.9 %","62.4 %","85.3 %","45.8 %","69.1 %",2022-07-30
"65+",2022,25,"At least one vaccine dose","100 %","100 %","88.1 %","100 %","99.9 %","94.7 %",2022-07-30
"5-11",2022,25,"At least one vaccine dose","37.2 %","29.9 %","36 %","66.4 %","25.2 %","32.1 %",2022-07-30
"5+",2022,25,"At least one vaccine dose","70.9 %","70.2 %","63.2 %","87.5 %","43.1 %","68.4 %",2022-07-30
"45-64",2022,25,"At least one vaccine dose","70 %","90.9 %","70.4 %","96.6 %","70.4 %","85.1 %",2022-07-30
"19-44",2022,25,"At least one vaccine dose","66 %","70.8 %","63.2 %","84.3 %","46.8 %","74 %",2022-07-30
"12-18",2022,25,"At least one vaccine dose","56.5 %","64.9 %","61.8 %","91.8 %","32.3 %","64.3 %",2022-07-30
"12+",2022,25,"At least one vaccine dose","73.9 %","77.7 %","67.7 %","90.4 %","48.6 %","75.6 %",2022-07-30
"65+",2022,25,"Completed vaccine series","98.3 %","100 %","85.6 %","100 %","96 %","87.9 %",2022-07-30
"5-11",2022,25,"Completed vaccine series","34.8 %","24.8 %","29.4 %","61 %","22.9 %","27.6 %",2022-07-30
"5+",2022,25,"Completed vaccine series","68.1 %","63.6 %","57.6 %","82.3 %","40.5 %","62.2 %",2022-07-30
"45-64",2022,25,"Completed vaccine series","68.2 %","85.7 %","66.3 %","92.2 %","68.1 %","80.1 %",2022-07-30
"19-44",2022,25,"Completed vaccine series","62.4 %","63.2 %","56.4 %","78.7 %","43.5 %","66.7 %",2022-07-30
"12-18",2022,25,"Completed vaccine series","54.1 %","57.2 %","55.9 %","87.4 %","30.4 %","58.5 %",2022-07-30
"12+",2022,25,"Completed vaccine series","71.1 %","70.8 %","62.3 %","85.3 %","45.8 %","69.1 %",2022-07-30
"65+",2022,24,"At least one vaccine dose","100 %","100 %","88.1 %","100 %","99.9 %","94.6 %",2022-07-30
"5-11",2022,24,"At least one vaccine dose","37.2 %","29.7 %","35.9 %","66.1 %","25.1 %","32 %",2022-07-30
"5+",2022,24,"At least one vaccine dose","70.8 %","70.1 %","63.1 %","87.4 %","43.1 %","68.3 %",2022-07-30
"45-64",2022,24,"At least one vaccine dose","70 %","90.8 %","70.3 %","96.5 %","70.4 %","85.1 %",2022-07-30
"19-44",2022,24,"At least one vaccine dose","66 %","70.7 %","63 %","84.3 %","46.8 %","74 %",2022-07-30
"12-18",2022,24,"At least one vaccine dose","56.5 %","64.7 %","61.8 %","91.7 %","32.3 %","64.3 %",2022-07-30
"12+",2022,24,"At least one vaccine dose","73.9 %","77.6 %","67.6 %","90.3 %","48.6 %","75.5 %",2022-07-30
"65+",2022,24,"Completed vaccine series","98.3 %","100 %","85.5 %","100 %","95.9 %","87.8 %",2022-07-30
"5-11",2022,24,"Completed vaccine series","34.7 %","24.6 %","29.3 %","60.8 %","22.8 %","27.4 %",2022-07-30
"5+",2022,24,"Completed vaccine series","68.1 %","63.5 %","57.5 %","82.3 %","40.4 %","62.1 %",2022-07-30
"45-64",2022,24,"Completed vaccine series","68.2 %","85.6 %","66.2 %","92.2 %","68 %","80.1 %",2022-07-30
"19-44",2022,24,"Completed vaccine series","62.4 %","63.1 %","56.2 %","78.7 %","43.5 %","66.6 %",2022-07-30
"12-18",2022,24,"Completed vaccine series","54.1 %","57 %","55.8 %","87.3 %","30.3 %","58.5 %",2022-07-30
"12+",2022,24,"Completed vaccine series","71.1 %","70.7 %","62.2 %","85.2 %","45.7 %","69 %",2022-07-30
"65+",2022,23,"At least one vaccine dose","100 %","100 %","88 %","100 %","99.8 %","94.5 %",2022-07-30
"5-11",2022,23,"At least one vaccine dose","37.1 %","29.5 %","35.7 %","65.8 %","25 %","31.8 %",2022-07-30
"5+",2022,23,"At least one vaccine dose","70.8 %","70 %","63 %","87.4 %","43 %","68.2 %",2022-07-30
"45-64",2022,23,"At least one vaccine dose","70 %","90.7 %","70.3 %","96.5 %","70.3 %","85 %",2022-07-30
"19-44",2022,23,"At least one vaccine dose","66 %","70.6 %","62.9 %","84.3 %","46.7 %","73.9 %",2022-07-30
"12-18",2022,23,"At least one vaccine dose","56.4 %","64.5 %","61.7 %","91.7 %","32.3 %","64.1 %",2022-07-30
"12+",2022,23,"At least one vaccine dose","73.8 %","77.5 %","67.6 %","90.3 %","48.5 %","75.5 %",2022-07-30
"65+",2022,23,"Completed vaccine series","98.3 %","100 %","85.5 %","100 %","95.9 %","87.8 %",2022-07-30
"5-11",2022,23,"Completed vaccine series","34.6 %","24.5 %","29.1 %","60.5 %","22.8 %","27.3 %",2022-07-30
"5+",2022,23,"Completed vaccine series","68 %","63.4 %","57.4 %","82.2 %","40.4 %","62.1 %",2022-07-30
"45-64",2022,23,"Completed vaccine series","68.1 %","85.6 %","66.2 %","92.2 %","68 %","80 %",2022-07-30
"19-44",2022,23,"Completed vaccine series","62.4 %","62.9 %","56.2 %","78.7 %","43.5 %","66.6 %",2022-07-30
"12-18",2022,23,"Completed vaccine series","54.1 %","56.9 %","55.7 %","87.2 %","30.3 %","58.4 %",2022-07-30
"12+",2022,23,"Completed vaccine series","71 %","70.6 %","62.1 %","85.2 %","45.7 %","69 %",2022-07-30
"65+",2022,22,"At least one vaccine dose","100 %","100 %","88 %","100 %","99.8 %","94.4 %",2022-07-30
"5-11",2022,22,"At least one vaccine dose","37 %","29.3 %","35.6 %","65.6 %","24.9 %","31.7 %",2022-07-30
"5+",2022,22,"At least one vaccine dose","70.8 %","69.8 %","63 %","87.3 %","43 %","68.1 %",2022-07-30
"45-64",2022,22,"At least one vaccine dose","70 %","90.7 %","70.3 %","96.4 %","70.3 %","85 %",2022-07-30
"19-44",2022,22,"At least one vaccine dose","65.9 %","70.5 %","62.8 %","84.2 %","46.7 %","73.8 %",2022-07-30
"12-18",2022,22,"At least one vaccine dose","56.4 %","64.3 %","61.6 %","91.6 %","32.3 %","64.1 %",2022-07-30
"12+",2022,22,"At least one vaccine dose","73.8 %","77.4 %","67.5 %","90.3 %","48.5 %","75.4 %",2022-07-30
"65+",2022,22,"Completed vaccine series","98.2 %","100 %","85.4 %","100 %","95.8 %","87.7 %",2022-07-30
"5-11",2022,22,"Completed vaccine series","34.6 %","24.3 %","28.9 %","60.3 %","22.7 %","27.2 %",2022-07-30
"5+",2022,22,"Completed vaccine series","68 %","63.3 %","57.3 %","82.2 %","40.3 %","62 %",2022-07-30
"45-64",2022,22,"Completed vaccine series","68.1 %","85.5 %","66.1 %","92.1 %","68 %","80 %",2022-07-30
"19-44",2022,22,"Completed vaccine series","62.4 %","62.8 %","56.1 %","78.6 %","43.4 %","66.5 %",2022-07-30
"12-18",2022,22,"Completed vaccine series","54 %","56.7 %","55.6 %","87.2 %","30.3 %","58.3 %",2022-07-30
"12+",2022,22,"Completed vaccine series","71 %","70.5 %","62 %","85.1 %","45.7 %","68.9 %",2022-07-30
"65+",2022,21,"At least one vaccine dose","100 %","100 %","88 %","100 %","99.8 %","94.3 %",2022-07-30
"5-11",2022,21,"At least one vaccine dose","36.9 %","29.2 %","35.5 %","65.4 %","24.9 %","31.6 %",2022-07-30
"5+",2022,21,"At least one vaccine dose","70.8 %","69.7 %","62.9 %","87.2 %","43 %","68.1 %",2022-07-30
"45-64",2022,21,"At least one vaccine dose","70 %","90.6 %","70.2 %","96.4 %","70.3 %","84.9 %",2022-07-30
"19-44",2022,21,"At least one vaccine dose","65.9 %","70.4 %","62.7 %","84.2 %","46.7 %","73.8 %",2022-07-30
"12-18",2022,21,"At least one vaccine dose","56.4 %","64.1 %","61.5 %","91.5 %","32.2 %","64 %",2022-07-30
"12+",2022,21,"At least one vaccine dose","73.8 %","77.3 %","67.4 %","90.2 %","48.5 %","75.3 %",2022-07-30
"65+",2022,21,"Completed vaccine series","98.2 %","100 %","85.4 %","100 %","95.7 %","87.7 %",2022-07-30
"5-11",2022,21,"Completed vaccine series","34.5 %","24.1 %","28.7 %","60.1 %","22.7 %","27.1 %",2022-07-30
"5+",2022,21,"Completed vaccine series","68 %","63.1 %","57.2 %","82.1 %","40.3 %","62 %",2022-07-30
"45-64",2022,21,"Completed vaccine series","68.1 %","85.4 %","66.1 %","92.1 %","68 %","80 %",2022-07-30
"19-44",2022,21,"Completed vaccine series","62.3 %","62.7 %","56 %","78.6 %","43.4 %","66.5 %",2022-07-30
"12-18",2022,21,"Completed vaccine series","54 %","56.6 %","55.5 %","87.1 %","30.2 %","58.3 %",2022-07-30
"12+",2022,21,"Completed vaccine series","71 %","70.4 %","62 %","85.1 %","45.7 %","68.9 %",2022-07-30
"65+",2022,20,"At least one vaccine dose","100 %","100 %","87.9 %","100 %","99.7 %","94.1 %",2022-07-30
"5-11",2022,20,"At least one vaccine dose","36.8 %","29 %","35.2 %","65.2 %","24.8 %","31.5 %",2022-07-30
"5+",2022,20,"At least one vaccine dose","70.7 %","69.6 %","62.7 %","87.2 %","42.9 %","68 %",2022-07-30
"45-64",2022,20,"At least one vaccine dose","69.9 %","90.5 %","70.1 %","96.3 %","70.3 %","84.9 %",2022-07-30
"19-44",2022,20,"At least one vaccine dose","65.9 %","70.2 %","62.5 %","84.1 %","46.7 %","73.7 %",2022-07-30
"12-18",2022,20,"At least one vaccine dose","56.3 %","63.9 %","61.4 %","91.5 %","32.2 %","63.9 %",2022-07-30
"12+",2022,20,"At least one vaccine dose","73.8 %","77.1 %","67.3 %","90.1 %","48.4 %","75.3 %",2022-07-30
"65+",2022,20,"Completed vaccine series","98.1 %","100 %","85.3 %","100 %","95.6 %","87.6 %",2022-07-30
"5-11",2022,20,"Completed vaccine series","34.4 %","23.9 %","28.6 %","59.9 %","22.5 %","27 %",2022-07-30
"5+",2022,20,"Completed vaccine series","67.9 %","63 %","57.1 %","82.1 %","40.2 %","61.9 %",2022-07-30
"45-64",2022,20,"Completed vaccine series","68.1 %","85.3 %","66 %","92.1 %","67.9 %","79.9 %",2022-07-30
"19-44",2022,20,"Completed vaccine series","62.3 %","62.6 %","55.8 %","78.6 %","43.4 %","66.4 %",2022-07-30
"12-18",2022,20,"Completed vaccine series","53.9 %","56.4 %","55.3 %","87 %","30.2 %","58.2 %",2022-07-30
"12+",2022,20,"Completed vaccine series","70.9 %","70.3 %","61.8 %","85.1 %","45.6 %","68.8 %",2022-07-30
"65+",2022,19,"At least one vaccine dose","100 %","100 %","87.8 %","100 %","99.7 %","94 %",2022-07-30
"5-11",2022,19,"At least one vaccine dose","36.8 %","28.7 %","35 %","65 %","24.8 %","31.3 %",2022-07-30
"5+",2022,19,"At least one vaccine dose","70.7 %","69.4 %","62.6 %","87.1 %","42.9 %","67.9 %",2022-07-30
"45-64",2022,19,"At least one vaccine dose","69.9 %","90.4 %","70.1 %","96.3 %","70.2 %","84.8 %",2022-07-30
"19-44",2022,19,"At least one vaccine dose","65.9 %","70.1 %","62.4 %","84.1 %","46.6 %","73.6 %",2022-07-30
"12-18",2022,19,"At least one vaccine dose","56.3 %","63.7 %","61.4 %","91.4 %","32.1 %","63.8 %",2022-07-30
"12+",2022,19,"At least one vaccine dose","73.7 %","77 %","67.2 %","90.1 %","48.4 %","75.2 %",2022-07-30
"65+",2022,19,"Completed vaccine series","98 %","100 %","85.2 %","100 %","95.4 %","87.5 %",2022-07-30
"5-11",2022,19,"Completed vaccine series","34.3 %","23.7 %","28.5 %","59.7 %","22.5 %","26.9 %",2022-07-30
"5+",2022,19,"Completed vaccine series","67.9 %","62.9 %","57 %","82 %","40.2 %","61.8 %",2022-07-30
"45-64",2022,19,"Completed vaccine series","68.1 %","85.2 %","65.9 %","92 %","67.9 %","79.9 %",2022-07-30
"19-44",2022,19,"Completed vaccine series","62.3 %","62.5 %","55.6 %","78.5 %","43.3 %","66.4 %",2022-07-30
"12-18",2022,19,"Completed vaccine series","53.9 %","56.3 %","55.2 %","86.9 %","30.2 %","58.1 %",2022-07-30
"12+",2022,19,"Completed vaccine series","70.9 %","70.2 %","61.7 %","85 %","45.6 %","68.8 %",2022-07-30
"65+",2022,18,"At least one vaccine dose","100 %","100 %","87.8 %","100 %","99.6 %","93.8 %",2022-07-30
"5-11",2022,18,"At least one vaccine dose","36.7 %","28.5 %","34.9 %","64.8 %","24.7 %","31.2 %",2022-07-30
"5+",2022,18,"At least one vaccine dose","70.6 %","69.3 %","62.5 %","87 %","42.9 %","67.8 %",2022-07-30
"45-64",2022,18,"At least one vaccine dose","69.9 %","90.3 %","70 %","96.2 %","70.2 %","84.8 %",2022-07-30
"19-44",2022,18,"At least one vaccine dose","65.8 %","70 %","62.3 %","84 %","46.6 %","73.6 %",2022-07-30
"12-18",2022,18,"At least one vaccine dose","56.2 %","63.5 %","61.3 %","91.3 %","32.1 %","63.7 %",2022-07-30
"12+",2022,18,"At least one vaccine dose","73.7 %","76.9 %","67.1 %","90 %","48.4 %","75.1 %",2022-07-30
"65+",2022,18,"Completed vaccine series","97.9 %","100 %","85.2 %","100 %","95.3 %","87.4 %",2022-07-30
"5-11",2022,18,"Completed vaccine series","34.2 %","23.5 %","28.4 %","59.5 %","22.4 %","26.8 %",2022-07-30
"5+",2022,18,"Completed vaccine series","67.8 %","62.8 %","56.9 %","81.9 %","40.2 %","61.8 %",2022-07-30
"45-64",2022,18,"Completed vaccine series","68 %","85.1 %","65.8 %","92 %","67.9 %","79.8 %",2022-07-30
"19-44",2022,18,"Completed vaccine series","62.3 %","62.4 %","55.5 %","78.5 %","43.3 %","66.3 %",2022-07-30
"12-18",2022,18,"Completed vaccine series","53.8 %","56.2 %","55.1 %","86.8 %","30.1 %","58.1 %",2022-07-30
"12+",2022,18,"Completed vaccine series","70.9 %","70.1 %","61.6 %","85 %","45.5 %","68.7 %",2022-07-30
"65+",2022,17,"At least one vaccine dose","100 %","100 %","87.7 %","100 %","99.6 %","93.7 %",2022-07-30
"5-11",2022,17,"At least one vaccine dose","36.6 %","28.3 %","34.8 %","64.6 %","24.6 %","31.1 %",2022-07-30
"5+",2022,17,"At least one vaccine dose","70.6 %","69.2 %","62.4 %","86.9 %","42.8 %","67.7 %",2022-07-30
"45-64",2022,17,"At least one vaccine dose","69.9 %","90.3 %","69.9 %","96.2 %","70.2 %","84.7 %",2022-07-30
"19-44",2022,17,"At least one vaccine dose","65.8 %","69.9 %","62.2 %","84 %","46.6 %","73.5 %",2022-07-30
"12-18",2022,17,"At least one vaccine dose","56.2 %","63.4 %","61.2 %","91.3 %","32.1 %","63.6 %",2022-07-30
"12+",2022,17,"At least one vaccine dose","73.7 %","76.8 %","67 %","90 %","48.3 %","75 %",2022-07-30
"65+",2022,17,"Completed vaccine series","97.8 %","100 %","85.2 %","100 %","95.2 %","87.3 %",2022-07-30
"5-11",2022,17,"Completed vaccine series","34.2 %","23.4 %","28.2 %","59.3 %","22.3 %","26.7 %",2022-07-30
"5+",2022,17,"Completed vaccine series","67.8 %","62.7 %","56.8 %","81.8 %","40.1 %","61.7 %",2022-07-30
"45-64",2022,17,"Completed vaccine series","68 %","85.1 %","65.7 %","91.9 %","67.8 %","79.8 %",2022-07-30
"19-44",2022,17,"Completed vaccine series","62.2 %","62.3 %","55.4 %","78.5 %","43.3 %","66.3 %",2022-07-30
"12-18",2022,17,"Completed vaccine series","53.8 %","56 %","55 %","86.7 %","30.1 %","58 %",2022-07-30
"12+",2022,17,"Completed vaccine series","70.8 %","70 %","61.5 %","84.9 %","45.5 %","68.6 %",2022-07-30
"65+",2022,16,"At least one vaccine dose","100 %","100 %","87.7 %","100 %","99.5 %","93.6 %",2022-07-30
"5-11",2022,16,"At least one vaccine dose","36.5 %","28.1 %","34.6 %","64.4 %","24.5 %","31 %",2022-07-30
"5+",2022,16,"At least one vaccine dose","70.6 %","69 %","62.3 %","86.8 %","42.8 %","67.6 %",2022-07-30
"45-64",2022,16,"At least one vaccine dose","69.9 %","90.2 %","69.9 %","96.1 %","70.1 %","84.7 %",2022-07-30
"19-44",2022,16,"At least one vaccine dose","65.8 %","69.7 %","62 %","83.9 %","46.5 %","73.4 %",2022-07-30
"12-18",2022,16,"At least one vaccine dose","56.2 %","63.2 %","61 %","91.2 %","32 %","63.5 %",2022-07-30
"12+",2022,16,"At least one vaccine dose","73.6 %","76.7 %","66.9 %","89.9 %","48.3 %","74.9 %",2022-07-30
"65+",2022,16,"Completed vaccine series","97.7 %","100 %","85.1 %","100 %","95.1 %","87.2 %",2022-07-30
"5-11",2022,16,"Completed vaccine series","34.1 %","23.1 %","28 %","59 %","22.3 %","26.5 %",2022-07-30
"5+",2022,16,"Completed vaccine series","67.8 %","62.5 %","56.6 %","81.8 %","40.1 %","61.6 %",2022-07-30
"45-64",2022,16,"Completed vaccine series","68 %","85 %","65.6 %","91.9 %","67.8 %","79.8 %",2022-07-30
"19-44",2022,16,"Completed vaccine series","62.2 %","62.1 %","55.3 %","78.4 %","43.2 %","66.2 %",2022-07-30
"12-18",2022,16,"Completed vaccine series","53.8 %","55.9 %","54.8 %","86.6 %","30.1 %","57.9 %",2022-07-30
"12+",2022,16,"Completed vaccine series","70.8 %","69.9 %","61.4 %","84.8 %","45.5 %","68.6 %",2022-07-30
"65+",2022,15,"At least one vaccine dose","100 %","100 %","87.6 %","100 %","99.5 %","93.5 %",2022-07-30
"5-11",2022,15,"At least one vaccine dose","36.5 %","27.9 %","34.4 %","64.2 %","24.4 %","30.8 %",2022-07-30
"5+",2022,15,"At least one vaccine dose","70.5 %","68.9 %","62.1 %","86.7 %","42.7 %","67.6 %",2022-07-30
"45-64",2022,15,"At least one vaccine dose","69.8 %","90.1 %","69.8 %","96.1 %","70.1 %","84.6 %",2022-07-30
"19-44",2022,15,"At least one vaccine dose","65.7 %","69.6 %","61.8 %","83.8 %","46.5 %","73.3 %",2022-07-30
"12-18",2022,15,"At least one vaccine dose","56.1 %","63.1 %","61 %","91.1 %","32 %","63.5 %",2022-07-30
"12+",2022,15,"At least one vaccine dose","73.6 %","76.5 %","66.8 %","89.8 %","48.2 %","74.9 %",2022-07-30
"65+",2022,15,"Completed vaccine series","97.6 %","100 %","85.1 %","100 %","94.9 %","87.1 %",2022-07-30
"5-11",2022,15,"Completed vaccine series","34 %","22.9 %","27.7 %","58.7 %","22.2 %","26.4 %",2022-07-30
"5+",2022,15,"Completed vaccine series","67.7 %","62.4 %","56.5 %","81.7 %","40 %","61.5 %",2022-07-30
"45-64",2022,15,"Completed vaccine series","68 %","84.9 %","65.6 %","91.8 %","67.8 %","79.7 %",2022-07-30
"19-44",2022,15,"Completed vaccine series","62.2 %","62 %","55.2 %","78.4 %","43.2 %","66.1 %",2022-07-30
"12-18",2022,15,"Completed vaccine series","53.7 %","55.7 %","54.7 %","86.6 %","30 %","57.8 %",2022-07-30
"12+",2022,15,"Completed vaccine series","70.7 %","69.7 %","61.3 %","84.8 %","45.4 %","68.5 %",2022-07-30
"65+",2022,14,"At least one vaccine dose","100 %","100 %","87.6 %","100 %","99.4 %","93.4 %",2022-07-30
"5-11",2022,14,"At least one vaccine dose","36.4 %","27.7 %","34.3 %","63.9 %","24.3 %","30.6 %",2022-07-30
"5+",2022,14,"At least one vaccine dose","70.5 %","68.8 %","62 %","86.6 %","42.6 %","67.5 %",2022-07-30
"45-64",2022,14,"At least one vaccine dose","69.8 %","90 %","69.7 %","96 %","70 %","84.5 %",2022-07-30
"19-44",2022,14,"At least one vaccine dose","65.7 %","69.5 %","61.7 %","83.8 %","46.5 %","73.2 %",2022-07-30
"12-18",2022,14,"At least one vaccine dose","56.1 %","63 %","60.8 %","91 %","32 %","63.4 %",2022-07-30
"12+",2022,14,"At least one vaccine dose","73.6 %","76.4 %","66.7 %","89.7 %","48.2 %","74.8 %",2022-07-30
"65+",2022,14,"Completed vaccine series","97.4 %","100 %","84.9 %","100 %","94.7 %","87 %",2022-07-30
"5-11",2022,14,"Completed vaccine series","33.9 %","22.7 %","27.6 %","58.3 %","22.2 %","26.2 %",2022-07-30
"5+",2022,14,"Completed vaccine series","67.7 %","62.3 %","56.4 %","81.6 %","40 %","61.4 %",2022-07-30
