"County","Percent with at least one dose by gender group","Percent with completed vaccine series by gender group","Percent up to date with vaccine doses by gender group","Gender","reportedDate","webDate"
"STEARNS","62.2 %","59.2 %","25.9 %","Female","8/7/2022",2022-08-09
"STEARNS","53 %","49.5 %","19.3 %","Male","8/7/2022",2022-08-09
"STEELE","67.9 %","65.2 %","30.9 %","Female","8/7/2022",2022-08-09
"STEELE","60.7 %","57.4 %","23.9 %","Male","8/7/2022",2022-08-09
"STEVENS","60.8 %","58 %","25.9 %","Female","8/7/2022",2022-08-09
"STEVENS","58.1 %","54.8 %","20.7 %","Male","8/7/2022",2022-08-09
"SWIFT","61.3 %","59.2 %","25.4 %","Female","8/7/2022",2022-08-09
"SWIFT","54.5 %","52.4 %","18.8 %","Male","8/7/2022",2022-08-09
"TODD","50.9 %","48.8 %","17.3 %","Female","8/7/2022",2022-08-09
"TODD","43.4 %","41 %","12.6 %","Male","8/7/2022",2022-08-09
"TRAVERSE","65.3 %","63.2 %","26.3 %","Female","8/7/2022",2022-08-09
"TRAVERSE","62.2 %","59 %","20.4 %","Male","8/7/2022",2022-08-09
"WABASHA","72 %","69.6 %","31.1 %","Female","8/7/2022",2022-08-09
"WABASHA","60.7 %","57.9 %","22.7 %","Male","8/7/2022",2022-08-09
"WADENA","51.3 %","49.4 %","18.5 %","Female","8/7/2022",2022-08-09
"WADENA","43.9 %","41.1 %","13.1 %","Male","8/7/2022",2022-08-09
"WASECA","60.1 %","58.1 %","24.4 %","Female","8/7/2022",2022-08-09
"WASECA","57.7 %","54.8 %","20.7 %","Male","8/7/2022",2022-08-09
"WASHINGTON","84.1 %","80.4 %","40.4 %","Female","8/7/2022",2022-08-09
"WASHINGTON","76.9 %","72.9 %","33.3 %","Male","8/7/2022",2022-08-09
"WATONWAN","65.8 %","62.5 %","23.9 %","Female","8/7/2022",2022-08-09
"WATONWAN","58.1 %","54.2 %","17 %","Male","8/7/2022",2022-08-09
"WILKIN","61.6 %","58.1 %","19.6 %","Female","8/7/2022",2022-08-09
"WILKIN","49.7 %","46.3 %","12.9 %","Male","8/7/2022",2022-08-09
"WINONA","67.2 %","64.7 %","31.8 %","Female","8/7/2022",2022-08-09
"WINONA","61.6 %","58.5 %","25.5 %","Male","8/7/2022",2022-08-09
"WRIGHT","64.7 %","61.9 %","25.4 %","Female","8/7/2022",2022-08-09
"WRIGHT","56.4 %","53.1 %","19.3 %","Male","8/7/2022",2022-08-09
"YELLOW MEDICINE","58.6 %","56.3 %","21.6 %","Female","8/7/2022",2022-08-09
"YELLOW MEDICINE","51.4 %","49 %","16.7 %","Male","8/7/2022",2022-08-09
