"County","Percent with at least one dose","Percent with completed vaccine series","Percent up to date with vaccine doses","Age group","reportedDate","webDate"
"HOUSTON","98 %","96.2 %","62.2 %","65+","9/26/2022",2022-09-28
"MORRISON","86.5 %","83.5 %","43.8 %","65+","9/26/2022",2022-09-28
"HUBBARD","85 %","81.5 %","43.5 %","65+","9/26/2022",2022-09-28
"OTTER TAIL","89.3 %","85.7 %","45.7 %","65+","9/26/2022",2022-09-28
"ISANTI","88.8 %","85.6 %","47.6 %","65+","9/26/2022",2022-09-28
"ITASCA","89.7 %","87.6 %","52.1 %","65+","9/26/2022",2022-09-28
"JACKSON","85.1 %","83.9 %","40.5 %","65+","9/26/2022",2022-09-28
"KANDIYOHI","90.5 %","88.5 %","57.8 %","65+","9/26/2022",2022-09-28
"MARTIN","84.4 %","82.2 %","45.2 %","65+","9/26/2022",2022-09-28
"KITTSON","87 %","84.7 %","46.6 %","65+","9/26/2022",2022-09-28
"KOOCHICHING","84 %","82 %","42.7 %","65+","9/26/2022",2022-09-28
"LAC QUI PARLE","79.2 %","77.8 %","43.9 %","65+","9/26/2022",2022-09-28
"LAKE","93 %","90.6 %","64.1 %","65+","9/26/2022",2022-09-28
"LAKE OF THE WOODS","93.1 %","90.6 %","35.9 %","65+","9/26/2022",2022-09-28
"SHERBURNE","96.1 %","92.6 %","58.1 %","65+","9/26/2022",2022-09-28
"LE SUEUR","92.4 %","90 %","58.8 %","65+","9/26/2022",2022-09-28
"LINCOLN","84.3 %","82 %","36.1 %","65+","9/26/2022",2022-09-28
"PIPESTONE","88.2 %","85.1 %","33.8 %","65+","9/26/2022",2022-09-28
"MILLE LACS","85.7 %","82.3 %","45.2 %","65+","9/26/2022",2022-09-28
"MARSHALL","78.3 %","76.3 %","28.8 %","65+","9/26/2022",2022-09-28
"MEEKER","83.6 %","80.9 %","47.2 %","65+","9/26/2022",2022-09-28
"WABASHA","91.1 %","89.3 %","56 %","65+","9/26/2022",2022-09-28
"MOWER","86.6 %","85 %","59.8 %","65+","9/26/2022",2022-09-28
"WINONA","97.5 %","95.8 %","70.1 %","65+","9/26/2022",2022-09-28
"MURRAY","86.4 %","84.9 %","34 %","65+","9/26/2022",2022-09-28
"RED LAKE","88.3 %","84.5 %","30.9 %","65+","9/26/2022",2022-09-28
"SWIFT","81.3 %","79.9 %","48 %","65+","9/26/2022",2022-09-28
"NORMAN","84.2 %","82.2 %","37.4 %","65+","9/26/2022",2022-09-28
"STEVENS","86.1 %","84.5 %","42.8 %","65+","9/26/2022",2022-09-28
"WASECA","92.5 %","90.8 %","53.6 %","65+","9/26/2022",2022-09-28
"PENNINGTON","85.1 %","82.7 %","41.3 %","65+","9/26/2022",2022-09-28
"RICE","96.3 %","94.3 %","70.6 %","65+","9/26/2022",2022-09-28
"PINE","81.5 %","78.8 %","44.2 %","65+","9/26/2022",2022-09-28
"POLK","86.4 %","83.1 %","38.8 %","65+","9/26/2022",2022-09-28
"WADENA","82.3 %","79.7 %","40.9 %","65+","9/26/2022",2022-09-28
"STEELE","93.3 %","91.6 %","63.5 %","65+","9/26/2022",2022-09-28
"ROSEAU","89.6 %","86.3 %","38.7 %","65+","9/26/2022",2022-09-28
"SIBLEY","84.2 %","82.1 %","38.2 %","65+","9/26/2022",2022-09-28
"TODD","76.1 %","74 %","34.1 %","65+","9/26/2022",2022-09-28
"TRAVERSE","90.9 %","88.9 %","50.7 %","65+","9/26/2022",2022-09-28
"WATONWAN","83.7 %","82 %","45 %","65+","9/26/2022",2022-09-28
"AITKIN","72.1 %","69.8 %","16.7 %","50-64","9/26/2022",2022-09-28
"WASHINGTON","90.2 %","87.8 %","31 %","50-64","9/26/2022",2022-09-28
"ANOKA","80.9 %","78.6 %","23.8 %","50-64","9/26/2022",2022-09-28
"MCLEOD","77 %","75.2 %","15.5 %","50-64","9/26/2022",2022-09-28
"BECKER","71.3 %","68.8 %","15 %","50-64","9/26/2022",2022-09-28
"LYON","73.8 %","71.7 %","14.5 %","50-64","9/26/2022",2022-09-28
"BELTRAMI","75.6 %","72.6 %","25.3 %","50-64","9/26/2022",2022-09-28
"BENTON","68.7 %","66.7 %","17.2 %","50-64","9/26/2022",2022-09-28
"GRANT","65.5 %","62.7 %","13.2 %","50-64","9/26/2022",2022-09-28
"BIG STONE","69.5 %","68.1 %","16.7 %","50-64","9/26/2022",2022-09-28
"CHISAGO","75.3 %","73.4 %","21.1 %","50-64","9/26/2022",2022-09-28
"BLUE EARTH","79.6 %","77.3 %","22.4 %","50-64","9/26/2022",2022-09-28
"STEARNS","74.6 %","72.4 %","20.2 %","50-64","9/26/2022",2022-09-28
"BROWN","78.8 %","77.3 %","18.8 %","50-64","9/26/2022",2022-09-28
"POLK","68.2 %","65.4 %","13.3 %","50-64","9/26/2022",2022-09-28
"CARLTON","82.2 %","79.7 %","25 %","50-64","9/26/2022",2022-09-28
"CLEARWATER","53.7 %","51.1 %","11.1 %","50-64","9/26/2022",2022-09-28
"CARVER","90.1 %","87.4 %","29.6 %","50-64","9/26/2022",2022-09-28
"CHIPPEWA","69 %","67.3 %","14.9 %","50-64","9/26/2022",2022-09-28
"CASS","72.4 %","69.4 %","18 %","50-64","9/26/2022",2022-09-28
"FILLMORE","75.5 %","73.8 %","19.7 %","50-64","9/26/2022",2022-09-28
"MEEKER","67.4 %","65.4 %","14.2 %","50-64","9/26/2022",2022-09-28
"HENNEPIN","86.9 %","83.9 %","37.5 %","50-64","9/26/2022",2022-09-28
"CLAY","80.1 %","76.7 %","19.8 %","50-64","9/26/2022",2022-09-28
"RAMSEY","84.4 %","81.4 %","36.3 %","50-64","9/26/2022",2022-09-28
"CROW WING","70.9 %","68.4 %","17 %","50-64","9/26/2022",2022-09-28
"COOK","85 %","82.4 %","33.9 %","50-64","9/26/2022",2022-09-28
"COTTONWOOD","68.9 %","67.6 %","14.4 %","50-64","9/26/2022",2022-09-28
"STEVENS","69.3 %","66.8 %","18.2 %","50-64","9/26/2022",2022-09-28
"ROSEAU","69.2 %","67.4 %","12.8 %","50-64","9/26/2022",2022-09-28
"DAKOTA","88.3 %","85.7 %","31.5 %","50-64","9/26/2022",2022-09-28
"ST. LOUIS","76.5 %","73.9 %","25.6 %","50-64","9/26/2022",2022-09-28
"DODGE","78.1 %","76.6 %","22.3 %","50-64","9/26/2022",2022-09-28
"MILLE LACS","67.8 %","65.3 %","14.4 %","50-64","9/26/2022",2022-09-28
"DOUGLAS","71.3 %","69.4 %","18.9 %","50-64","9/26/2022",2022-09-28
"GOODHUE","77.3 %","75.4 %","24.2 %","50-64","9/26/2022",2022-09-28
"FARIBAULT","66.8 %","64.7 %","14.9 %","50-64","9/26/2022",2022-09-28
"FREEBORN","73.2 %","71.1 %","20.7 %","50-64","9/26/2022",2022-09-28
"SCOTT","91.8 %","89.3 %","26.9 %","50-64","9/26/2022",2022-09-28
"TODD","57.9 %","56.1 %","11.8 %","50-64","9/26/2022",2022-09-28
"KANDIYOHI","70.1 %","68.1 %","19.8 %","50-64","9/26/2022",2022-09-28
"HOUSTON","74.6 %","72.6 %","22.5 %","50-64","9/26/2022",2022-09-28
"HUBBARD","64.2 %","61.4 %","13.7 %","50-64","9/26/2022",2022-09-28
"YELLOW MEDICINE","71 %","69 %","17.8 %","50-64","9/26/2022",2022-09-28
"ISANTI","65.2 %","63.1 %","14.5 %","50-64","9/26/2022",2022-09-28
"ITASCA","67.7 %","65.7 %","18.1 %","50-64","9/26/2022",2022-09-28
"JACKSON","66.4 %","64.9 %","13.3 %","50-64","9/26/2022",2022-09-28
"KANABEC","58.9 %","57.1 %","13.4 %","50-64","9/26/2022",2022-09-28
"WRIGHT","76.5 %","74.1 %","18.9 %","50-64","9/26/2022",2022-09-28
"KITTSON","67 %","65.1 %","15.6 %","50-64","9/26/2022",2022-09-28
"MORRISON","63.8 %","61.4 %","14.8 %","50-64","9/26/2022",2022-09-28
"KOOCHICHING","66.5 %","64.8 %","14.2 %","50-64","9/26/2022",2022-09-28
"LAC QUI PARLE","68.1 %","66.5 %","15.6 %","50-64","9/26/2022",2022-09-28
"MOWER","78 %","75.8 %","21.1 %","50-64","9/26/2022",2022-09-28
"LAKE","75 %","72.5 %","20.1 %","50-64","9/26/2022",2022-09-28
"RICE","82.3 %","80.1 %","27.9 %","50-64","9/26/2022",2022-09-28
"LAKE OF THE WOODS","62.8 %","59.9 %","10.1 %","50-64","9/26/2022",2022-09-28
"ROCK","61.5 %","57.3 %","12.6 %","50-64","9/26/2022",2022-09-28
"LE SUEUR","78.2 %","76 %","17.9 %","50-64","9/26/2022",2022-09-28
"LINCOLN","70.5 %","69.5 %","16.6 %","50-64","9/26/2022",2022-09-28
"MAHNOMEN","76.8 %","73.2 %","13 %","50-64","9/26/2022",2022-09-28
"STEELE","77.1 %","75.1 %","21.1 %","50-64","9/26/2022",2022-09-28
"MARSHALL","63.7 %","61.5 %","10.2 %","50-64","9/26/2022",2022-09-28
"PENNINGTON","71.7 %","69.9 %","16.2 %","50-64","9/26/2022",2022-09-28
"MARTIN","65.7 %","64 %","14.6 %","50-64","9/26/2022",2022-09-28
"NICOLLET","79.4 %","77.8 %","22.8 %","50-64","9/26/2022",2022-09-28
"WABASHA","79.7 %","77.7 %","21 %","50-64","9/26/2022",2022-09-28
"OTTER TAIL","68.6 %","66.1 %","16.4 %","50-64","9/26/2022",2022-09-28
"WINONA","77.5 %","75.6 %","25.2 %","50-64","9/26/2022",2022-09-28
"MURRAY","70.8 %","68.1 %","12.8 %","50-64","9/26/2022",2022-09-28
"NOBLES","75.6 %","73.4 %","15.1 %","50-64","9/26/2022",2022-09-28
"SHERBURNE","72.9 %","71 %","18.3 %","50-64","9/26/2022",2022-09-28
"NORMAN","75.4 %","73.1 %","12.7 %","50-64","9/26/2022",2022-09-28
"OLMSTED","90.5 %","88.1 %","37.4 %","50-64","9/26/2022",2022-09-28
"PINE","63.7 %","61.2 %","14.6 %","50-64","9/26/2022",2022-09-28
"PIPESTONE","69 %","66 %","10.5 %","50-64","9/26/2022",2022-09-28
"POPE","68.7 %","66.6 %","18.5 %","50-64","9/26/2022",2022-09-28
"WASECA","73.7 %","71.5 %","18 %","50-64","9/26/2022",2022-09-28
"RED LAKE","68.3 %","66.7 %","8.7 %","50-64","9/26/2022",2022-09-28
"REDWOOD","68.8 %","66.6 %","15.1 %","50-64","9/26/2022",2022-09-28
"RENVILLE","67.8 %","66.3 %","15.2 %","50-64","9/26/2022",2022-09-28
"SWIFT","70.6 %","68.8 %","17.2 %","50-64","9/26/2022",2022-09-28
"SIBLEY","70.7 %","68.5 %","13.6 %","50-64","9/26/2022",2022-09-28
"WILKIN","68.6 %","66 %","11.3 %","50-64","9/26/2022",2022-09-28
"TRAVERSE","70.8 %","68.6 %","18.6 %","50-64","9/26/2022",2022-09-28
"WATONWAN","70.2 %","68.7 %","14.3 %","50-64","9/26/2022",2022-09-28
"WADENA","60.5 %","58.9 %","14.7 %","50-64","9/26/2022",2022-09-28
"AITKIN","67.9 %","65.4 %","26.7 %","16+","9/26/2022",2022-09-28
"BROWN","75 %","72.5 %","32 %","16+","9/26/2022",2022-09-28
"ANOKA","79.9 %","75.9 %","36.7 %","16+","9/26/2022",2022-09-28
"WASHINGTON","90.6 %","86.1 %","47.8 %","16+","9/26/2022",2022-09-28
"BECKER","68.1 %","64.9 %","26.1 %","16+","9/26/2022",2022-09-28
"MCLEOD","71 %","68.1 %","27.3 %","16+","9/26/2022",2022-09-28
"BELTRAMI","71.6 %","67.6 %","34.1 %","16+","9/26/2022",2022-09-28
"WASECA","68.1 %","65.4 %","28.7 %","16+","9/26/2022",2022-09-28
"BENTON","63.4 %","60.3 %","26.6 %","16+","9/26/2022",2022-09-28
"RAMSEY","86.8 %","81.3 %","48.5 %","16+","9/26/2022",2022-09-28
"BIG STONE","72.1 %","70.3 %","29.5 %","16+","9/26/2022",2022-09-28
"REDWOOD","66.8 %","64.3 %","25.3 %","16+","9/26/2022",2022-09-28
"BLUE EARTH","72.3 %","68.5 %","33.9 %","16+","9/26/2022",2022-09-28
"MORRISON","59.5 %","56.7 %","23.4 %","16+","9/26/2022",2022-09-28
"LYON","69.2 %","65.9 %","24.8 %","16+","9/26/2022",2022-09-28
"CARLTON","80.4 %","76.4 %","38.1 %","16+","9/26/2022",2022-09-28
"CARVER","88.9 %","84.6 %","45.2 %","16+","9/26/2022",2022-09-28
"GRANT","65.1 %","62.2 %","24.6 %","16+","9/26/2022",2022-09-28
"CASS","69.6 %","65.8 %","28.7 %","16+","9/26/2022",2022-09-28
"RICE","74.7 %","70.9 %","37.1 %","16+","9/26/2022",2022-09-28
"CHIPPEWA","69.4 %","66.3 %","28.1 %","16+","9/26/2022",2022-09-28
"CLAY","71.7 %","66.2 %","30.3 %","16+","9/26/2022",2022-09-28
"CHISAGO","68 %","65.2 %","30.2 %","16+","9/26/2022",2022-09-28
"RENVILLE","66 %","63.3 %","25.2 %","16+","9/26/2022",2022-09-28
"CLEARWATER","50.7 %","48 %","17.6 %","16+","9/26/2022",2022-09-28
"WILKIN","65.1 %","61.2 %","21.2 %","16+","9/26/2022",2022-09-28
"COOK","94.2 %","89.4 %","53.7 %","16+","9/26/2022",2022-09-28
"STEARNS","66.3 %","62.7 %","29.3 %","16+","9/26/2022",2022-09-28
"COTTONWOOD","70.1 %","67.7 %","24.7 %","16+","9/26/2022",2022-09-28
"WRIGHT","72.6 %","69 %","30.5 %","16+","9/26/2022",2022-09-28
"CROW WING","68.6 %","65.5 %","29.7 %","16+","9/26/2022",2022-09-28
"DODGE","75.6 %","72.8 %","35.4 %","16+","9/26/2022",2022-09-28
"DAKOTA","89.8 %","85 %","46.9 %","16+","9/26/2022",2022-09-28
"KANABEC","57.5 %","54.8 %","23 %","16+","9/26/2022",2022-09-28
"DOUGLAS","69.5 %","66.6 %","31.9 %","16+","9/26/2022",2022-09-28
"POLK","65.7 %","61.8 %","23.2 %","16+","9/26/2022",2022-09-28
"FARIBAULT","66.4 %","63.9 %","27.2 %","16+","9/26/2022",2022-09-28
"FILLMORE","75.1 %","72.9 %","33.2 %","16+","9/26/2022",2022-09-28
"FREEBORN","71.4 %","68.5 %","32.2 %","16+","9/26/2022",2022-09-28
"HENNEPIN","90.7 %","84.8 %","51.7 %","16+","9/26/2022",2022-09-28
"GOODHUE","77.9 %","74.8 %","39.2 %","16+","9/26/2022",2022-09-28
"HOUSTON","77.4 %","74.3 %","36.6 %","16+","9/26/2022",2022-09-28
"HUBBARD","64.2 %","60.7 %","25 %","16+","9/26/2022",2022-09-28
"SCOTT","86.6 %","82.2 %","40 %","16+","9/26/2022",2022-09-28
"ISANTI","60.5 %","57.7 %","22.9 %","16+","9/26/2022",2022-09-28
"ITASCA","68.1 %","65.4 %","29.6 %","16+","9/26/2022",2022-09-28
"JACKSON","63.8 %","61.6 %","22.6 %","16+","9/26/2022",2022-09-28
"MEEKER","61 %","58.6 %","24.4 %","16+","9/26/2022",2022-09-28
"KANDIYOHI","69.5 %","66.1 %","31.5 %","16+","9/26/2022",2022-09-28
"ST. LOUIS","76.9 %","72.9 %","40.3 %","16+","9/26/2022",2022-09-28
"KITTSON","67.9 %","65.7 %","30.6 %","16+","9/26/2022",2022-09-28
"KOOCHICHING","65.2 %","63 %","25.5 %","16+","9/26/2022",2022-09-28
"ROCK","64.1 %","59.9 %","23.6 %","16+","9/26/2022",2022-09-28
"LAC QUI PARLE","69.9 %","67.3 %","29.5 %","16+","9/26/2022",2022-09-28
"NOBLES","77.6 %","72.9 %","26.1 %","16+","9/26/2022",2022-09-28
"LAKE","79.1 %","75.6 %","38.7 %","16+","9/26/2022",2022-09-28
"LAKE OF THE WOODS","68.9 %","65.8 %","21.4 %","16+","9/26/2022",2022-09-28
"STEVENS","66.6 %","63.2 %","28.5 %","16+","9/26/2022",2022-09-28
"LE SUEUR","72.6 %","69.6 %","31.3 %","16+","9/26/2022",2022-09-28
"LINCOLN","66.6 %","64.1 %","23.2 %","16+","9/26/2022",2022-09-28
"ROSEAU","64.1 %","61.4 %","19.8 %","16+","9/26/2022",2022-09-28
"MAHNOMEN","70.3 %","66.7 %","22.1 %","16+","9/26/2022",2022-09-28
"OLMSTED","96 %","91 %","55.6 %","16+","9/26/2022",2022-09-28
"MARSHALL","61.2 %","58.8 %","19 %","16+","9/26/2022",2022-09-28
"YELLOW MEDICINE","65.1 %","62.6 %","25.6 %","16+","9/26/2022",2022-09-28
"MARTIN","65.7 %","63.1 %","26.7 %","16+","9/26/2022",2022-09-28
"MILLE LACS","60.1 %","56.7 %","23.1 %","16+","9/26/2022",2022-09-28
"POPE","67.2 %","64.5 %","31.5 %","16+","9/26/2022",2022-09-28
"SHERBURNE","65.7 %","62.6 %","27 %","16+","9/26/2022",2022-09-28
"MOWER","76.3 %","72.6 %","35.2 %","16+","9/26/2022",2022-09-28
"MURRAY","68.9 %","66.3 %","22.2 %","16+","9/26/2022",2022-09-28
"WADENA","57.9 %","55 %","22.7 %","16+","9/26/2022",2022-09-28
"NICOLLET","76.3 %","73.2 %","37.5 %","16+","9/26/2022",2022-09-28
"TODD","56.4 %","53.9 %","20.3 %","16+","9/26/2022",2022-09-28
"NORMAN","70.8 %","67.9 %","23.9 %","16+","9/26/2022",2022-09-28
"OTTER TAIL","68 %","64.6 %","27.2 %","16+","9/26/2022",2022-09-28
"PENNINGTON","68.8 %","66 %","26.4 %","16+","9/26/2022",2022-09-28
"PINE","56.9 %","54 %","22.5 %","16+","9/26/2022",2022-09-28
"PIPESTONE","67.1 %","63.1 %","19.8 %","16+","9/26/2022",2022-09-28
"SIBLEY","64.9 %","62.3 %","22.9 %","16+","9/26/2022",2022-09-28
"RED LAKE","68.2 %","65.4 %","19.6 %","16+","9/26/2022",2022-09-28
"WINONA","69.7 %","66.7 %","35.8 %","16+","9/26/2022",2022-09-28
"WABASHA","75.7 %","72.9 %","33.9 %","16+","9/26/2022",2022-09-28
"STEELE","75 %","71.7 %","35.6 %","16+","9/26/2022",2022-09-28
"SWIFT","67.7 %","65.2 %","30.1 %","16+","9/26/2022",2022-09-28
"TRAVERSE","72.6 %","69.5 %","30.3 %","16+","9/26/2022",2022-09-28
"WATONWAN","72.1 %","68.2 %","27.2 %","16+","9/26/2022",2022-09-28
"AITKIN","60.8 %","58.4 %","23.2 %","Total population","9/26/2022",2022-09-28
"BROWN","65.9 %","63.5 %","27.1 %","Total population","9/26/2022",2022-09-28
"ANOKA","70.8 %","67 %","31 %","Total population","9/26/2022",2022-09-28
"BECKER","57.5 %","54.6 %","21.3 %","Total population","9/26/2022",2022-09-28
"WASHINGTON","81.5 %","77.4 %","40.7 %","Total population","9/26/2022",2022-09-28
"BELTRAMI","63.1 %","59.1 %","29 %","Total population","9/26/2022",2022-09-28
"BENTON","54.3 %","51.6 %","22 %","Total population","9/26/2022",2022-09-28
"MCLEOD","60.7 %","58.1 %","22.5 %","Total population","9/26/2022",2022-09-28
"BIG STONE","63 %","61.1 %","24.9 %","Total population","9/26/2022",2022-09-28
"BLUE EARTH","65.4 %","61.9 %","29.4 %","Total population","9/26/2022",2022-09-28
"WASECA","59.1 %","56.6 %","24.2 %","Total population","9/26/2022",2022-09-28
"CARLTON","71.6 %","67.9 %","32.5 %","Total population","9/26/2022",2022-09-28
"RAMSEY","77.9 %","72.8 %","41.5 %","Total population","9/26/2022",2022-09-28
"CARVER","78.4 %","74.6 %","37.5 %","Total population","9/26/2022",2022-09-28
"CASS","60.5 %","56.9 %","24.1 %","Total population","9/26/2022",2022-09-28
"REDWOOD","57.3 %","55 %","20.8 %","Total population","9/26/2022",2022-09-28
"CHIPPEWA","58.8 %","55.9 %","23.1 %","Total population","9/26/2022",2022-09-28
"CHISAGO","59.1 %","56.6 %","25.2 %","Total population","9/26/2022",2022-09-28
"MORRISON","50.7 %","48.2 %","19.5 %","Total population","9/26/2022",2022-09-28
"CLAY","64.2 %","59.1 %","26 %","Total population","9/26/2022",2022-09-28
"CLEARWATER","41.8 %","39.4 %","14.1 %","Total population","9/26/2022",2022-09-28
"LYON","58.3 %","55.3 %","20 %","Total population","9/26/2022",2022-09-28
"COOK","87.9 %","83.5 %","48.8 %","Total population","9/26/2022",2022-09-28
"COTTONWOOD","59.3 %","57 %","20.1 %","Total population","9/26/2022",2022-09-28
"GRANT","55.6 %","53.1 %","20.1 %","Total population","9/26/2022",2022-09-28
"CROW WING","59.3 %","56.5 %","24.8 %","Total population","9/26/2022",2022-09-28
"DAKOTA","79.7 %","75.4 %","39.5 %","Total population","9/26/2022",2022-09-28
"RICE","66.4 %","62.8 %","31.7 %","Total population","9/26/2022",2022-09-28
"DODGE","65.6 %","63 %","29.7 %","Total population","9/26/2022",2022-09-28
"DOUGLAS","60.5 %","57.8 %","26.9 %","Total population","9/26/2022",2022-09-28
"FARIBAULT","57.4 %","55.2 %","22.8 %","Total population","9/26/2022",2022-09-28
"FILLMORE","64.3 %","62.3 %","27.4 %","Total population","9/26/2022",2022-09-28
"FREEBORN","62.3 %","59.5 %","27.1 %","Total population","9/26/2022",2022-09-28
"RENVILLE","56.2 %","53.8 %","20.7 %","Total population","9/26/2022",2022-09-28
"GOODHUE","68.7 %","65.8 %","33.3 %","Total population","9/26/2022",2022-09-28
"WILKIN","56.9 %","53.2 %","18.1 %","Total population","9/26/2022",2022-09-28
"HENNEPIN","81.9 %","76.4 %","44.6 %","Total population","9/26/2022",2022-09-28
"STEARNS","58.3 %","54.9 %","24.9 %","Total population","9/26/2022",2022-09-28
"HOUSTON","68.1 %","65.3 %","31.5 %","Total population","9/26/2022",2022-09-28
"HUBBARD","55.5 %","52.4 %","21.1 %","Total population","9/26/2022",2022-09-28
"WRIGHT","61.1 %","58 %","24.5 %","Total population","9/26/2022",2022-09-28
"ISANTI","51.6 %","49 %","19 %","Total population","9/26/2022",2022-09-28
"ITASCA","59.6 %","57.1 %","25 %","Total population","9/26/2022",2022-09-28
"JACKSON","55.2 %","53.1 %","18.9 %","Total population","9/26/2022",2022-09-28
"KANABEC","49.9 %","47.6 %","19.3 %","Total population","9/26/2022",2022-09-28
"KANDIYOHI","58.8 %","55.7 %","25.8 %","Total population","9/26/2022",2022-09-28
"KITTSON","59.4 %","57.5 %","25.8 %","Total population","9/26/2022",2022-09-28
"KOOCHICHING","57.7 %","55.7 %","22.2 %","Total population","9/26/2022",2022-09-28
"POLK","56.5 %","53 %","19.1 %","Total population","9/26/2022",2022-09-28
"LAC QUI PARLE","62.7 %","60.3 %","26.1 %","Total population","9/26/2022",2022-09-28
"LAKE","72.4 %","69.2 %","34.2 %","Total population","9/26/2022",2022-09-28
"LAKE OF THE WOODS","59.2 %","56.6 %","18.2 %","Total population","9/26/2022",2022-09-28
"LE SUEUR","62.8 %","60 %","25.9 %","Total population","9/26/2022",2022-09-28
"LINCOLN","56.9 %","54.7 %","18.8 %","Total population","9/26/2022",2022-09-28
"ST. LOUIS","70.1 %","66.3 %","35.5 %","Total population","9/26/2022",2022-09-28
"MAHNOMEN","55.6 %","52.3 %","16.8 %","Total population","9/26/2022",2022-09-28
"MARSHALL","52.5 %","50.3 %","15.7 %","Total population","9/26/2022",2022-09-28
"MARTIN","56.2 %","53.8 %","22 %","Total population","9/26/2022",2022-09-28
"SCOTT","74.8 %","70.9 %","32.7 %","Total population","9/26/2022",2022-09-28
"MEEKER","51.7 %","49.6 %","20 %","Total population","9/26/2022",2022-09-28
"MILLE LACS","51.2 %","48.1 %","19 %","Total population","9/26/2022",2022-09-28
"MOWER","66.3 %","62.7 %","29.2 %","Total population","9/26/2022",2022-09-28
"MURRAY","59.6 %","57.3 %","18.5 %","Total population","9/26/2022",2022-09-28
"PIPESTONE","56.1 %","52.3 %","15.8 %","Total population","9/26/2022",2022-09-28
"NICOLLET","69 %","66.1 %","32.4 %","Total population","9/26/2022",2022-09-28
