Age group,year,week,case_definition,White,Black/African American,American Indian,Asian/Pacific Islander,Multiracial,Hispanic,webDate
65+,2022,35,Completed vaccine series,96.60%,100%,83.40%,100%,80.80%,88.80%,9/16/2022
11-May,2022,35,Completed vaccine series,35%,26.20%,30.70%,62.40%,20.70%,29.20%,9/16/2022
5+,2022,35,Completed vaccine series,67.30%,63.70%,57.50%,82%,34%,63.40%,9/16/2022
45-64,2022,35,Completed vaccine series,67.60%,85.20%,65%,92.10%,55%,81.20%,9/16/2022
19-44,2022,35,Completed vaccine series,61.60%,63%,56.80%,77.70%,36.20%,67.60%,9/16/2022
18-Dec,2022,35,Completed vaccine series,53.90%,58.20%,56.30%,87.60%,26%,60.60%,9/16/2022
12+,2022,35,Completed vaccine series,70.20%,70.70%,62%,84.60%,38.10%,70.30%,9/16/2022
65+,2022,34,At least one vaccine dose,99.60%,100%,85.90%,100%,83.90%,96.40%,9/16/2022
11-May,2022,34,At least one vaccine dose,37.30%,32%,37.30%,67.70%,22.70%,34%,9/16/2022
5+,2022,34,At least one vaccine dose,70%,70.40%,63%,87.20%,36.30%,69.90%,9/16/2022
45-64,2022,34,At least one vaccine dose,69.40%,90.30%,69.10%,96.50%,56.80%,86.50%,9/16/2022
19-44,2022,34,At least one vaccine dose,65.20%,70.60%,63.50%,83.40%,39.10%,75.20%,9/16/2022
18-Dec,2022,34,At least one vaccine dose,56.20%,65.80%,62.10%,92.10%,27.70%,66.50%,9/16/2022
12+,2022,34,At least one vaccine dose,73%,77.50%,67.30%,89.90%,40.50%,77%,9/16/2022
65+,2022,34,Completed vaccine series,96.60%,100%,83.30%,100%,80.80%,88.80%,9/16/2022
11-May,2022,34,Completed vaccine series,34.90%,25.90%,30.50%,62.10%,20.50%,29%,9/16/2022
5+,2022,34,Completed vaccine series,67.30%,63.60%,57.40%,81.90%,34%,63.40%,9/16/2022
45-64,2022,34,Completed vaccine series,67.60%,85.10%,65%,92.10%,55%,81.20%,9/16/2022
19-44,2022,34,Completed vaccine series,61.60%,63%,56.70%,77.70%,36.20%,67.60%,9/16/2022
18-Dec,2022,34,Completed vaccine series,53.80%,58%,56.20%,87.50%,26%,60.50%,9/16/2022
12+,2022,34,Completed vaccine series,70.20%,70.60%,61.90%,84.60%,38.10%,70.20%,9/16/2022
65+,2022,33,At least one vaccine dose,99.60%,100%,85.90%,100%,83.90%,96.30%,9/16/2022
11-May,2022,33,At least one vaccine dose,37.20%,31.60%,37%,67.30%,22.60%,33.80%,9/16/2022
5+,2022,33,At least one vaccine dose,70%,70.20%,62.90%,87.10%,36.30%,69.80%,9/16/2022
45-64,2022,33,At least one vaccine dose,69.40%,90.30%,69%,96.40%,56.80%,86.40%,9/16/2022
19-44,2022,33,At least one vaccine dose,65.20%,70.60%,63.40%,83.40%,39.10%,75.10%,9/16/2022
18-Dec,2022,33,At least one vaccine dose,56.10%,65.60%,61.90%,92%,27.60%,66.30%,9/16/2022
12+,2022,33,At least one vaccine dose,72.90%,77.40%,67.20%,89.80%,40.50%,76.90%,9/16/2022
65+,2022,33,Completed vaccine series,96.60%,100%,83.30%,100%,80.70%,88.80%,9/16/2022
11-May,2022,33,Completed vaccine series,34.80%,25.70%,30.30%,61.70%,20.50%,28.80%,9/16/2022
5+,2022,33,Completed vaccine series,67.30%,63.50%,57.40%,81.80%,34%,63.30%,9/16/2022
45-64,2022,33,Completed vaccine series,67.60%,85.10%,65%,92%,55%,81.20%,9/16/2022
19-44,2022,33,Completed vaccine series,61.60%,62.90%,56.70%,77.70%,36.20%,67.50%,9/16/2022
18-Dec,2022,33,Completed vaccine series,53.80%,57.90%,56.10%,87.40%,26%,60.40%,9/16/2022
12+,2022,33,Completed vaccine series,70.20%,70.50%,61.90%,84.60%,38.10%,70.20%,9/16/2022
65+,2022,32,At least one vaccine dose,99.60%,100%,85.90%,100%,83.90%,96.30%,9/16/2022
11-May,2022,32,At least one vaccine dose,37.10%,31.20%,36.80%,67%,22.50%,33.60%,9/16/2022
5+,2022,32,At least one vaccine dose,70%,70.10%,62.90%,87.10%,36.30%,69.70%,9/16/2022
45-64,2022,32,At least one vaccine dose,69.40%,90.20%,69%,96.40%,56.80%,86.40%,9/16/2022
19-44,2022,32,At least one vaccine dose,65.20%,70.50%,63.40%,83.30%,39.10%,75.10%,9/16/2022
18-Dec,2022,32,At least one vaccine dose,56.10%,65.40%,61.80%,91.90%,27.60%,66.30%,9/16/2022
12+,2022,32,At least one vaccine dose,72.90%,77.30%,67.20%,89.80%,40.40%,76.90%,9/16/2022
65+,2022,32,Completed vaccine series,96.60%,100%,83.30%,100%,80.70%,88.80%,9/16/2022
11-May,2022,32,Completed vaccine series,34.70%,25.50%,30.10%,61.40%,20.40%,28.70%,9/16/2022
5+,2022,32,Completed vaccine series,67.20%,63.40%,57.30%,81.80%,33.90%,63.30%,9/16/2022
45-64,2022,32,Completed vaccine series,67.50%,85%,64.90%,92%,55%,81.20%,9/16/2022
19-44,2022,32,Completed vaccine series,61.60%,62.80%,56.60%,77.70%,36.10%,67.50%,9/16/2022
18-Dec,2022,32,Completed vaccine series,53.80%,57.70%,56%,87.30%,26%,60.30%,9/16/2022
12+,2022,32,Completed vaccine series,70.20%,70.40%,61.80%,84.50%,38%,70.10%,9/16/2022
65+,2022,31,At least one vaccine dose,99.60%,100%,85.90%,100%,83.80%,96.20%,9/16/2022
11-May,2022,31,At least one vaccine dose,37%,30.90%,36.50%,66.70%,22.40%,33.50%,9/16/2022
5+,2022,31,At least one vaccine dose,70%,69.90%,62.80%,87%,36.20%,69.60%,9/16/2022
45-64,2022,31,At least one vaccine dose,69.40%,90.20%,69%,96.40%,56.80%,86.30%,9/16/2022
19-44,2022,31,At least one vaccine dose,65.10%,70.40%,63.30%,83.30%,39%,75%,9/16/2022
18-Dec,2022,31,At least one vaccine dose,56.10%,65.20%,61.70%,91.80%,27.60%,66.20%,9/16/2022
12+,2022,31,At least one vaccine dose,72.90%,77.20%,67.10%,89.70%,40.40%,76.80%,9/16/2022
65+,2022,31,Completed vaccine series,96.60%,100%,83.30%,100%,80.70%,88.70%,9/16/2022
11-May,2022,31,Completed vaccine series,34.60%,25.30%,29.80%,61.20%,20.30%,28.60%,9/16/2022
5+,2022,31,Completed vaccine series,67.20%,63.30%,57.20%,81.70%,33.90%,63.20%,9/16/2022
45-64,2022,31,Completed vaccine series,67.50%,85%,64.90%,92%,55%,81.10%,9/16/2022
19-44,2022,31,Completed vaccine series,61.60%,62.70%,56.60%,77.70%,36.10%,67.40%,9/16/2022
18-Dec,2022,31,Completed vaccine series,53.70%,57.50%,55.90%,87.20%,25.90%,60.20%,9/16/2022
12+,2022,31,Completed vaccine series,70.20%,70.30%,61.70%,84.50%,38%,70.10%,9/16/2022
65+,2022,30,At least one vaccine dose,99.60%,100%,85.80%,100%,83.70%,96.10%,9/16/2022
11-May,2022,30,At least one vaccine dose,36.90%,30.60%,36.30%,66.30%,22.30%,33.30%,9/16/2022
5+,2022,30,At least one vaccine dose,69.90%,69.80%,62.70%,86.90%,36.20%,69.50%,9/16/2022
45-64,2022,30,At least one vaccine dose,69.30%,90.10%,69%,96.30%,56.80%,86.30%,9/16/2022
19-44,2022,30,At least one vaccine dose,65.10%,70.30%,63.20%,83.30%,39%,74.90%,9/16/2022
18-Dec,2022,30,At least one vaccine dose,56%,65%,61.60%,91.70%,27.50%,66.10%,9/16/2022
12+,2022,30,At least one vaccine dose,72.90%,77.10%,67.10%,89.70%,40.40%,76.80%,9/16/2022
65+,2022,30,Completed vaccine series,96.60%,100%,83.30%,100%,80.70%,88.70%,9/16/2022
11-May,2022,30,Completed vaccine series,34.50%,25.20%,29.70%,60.90%,20.20%,28.40%,9/16/2022
5+,2022,30,Completed vaccine series,67.20%,63.20%,57.10%,81.70%,33.90%,63.10%,9/16/2022
45-64,2022,30,Completed vaccine series,67.50%,84.90%,64.90%,91.90%,54.90%,81.10%,9/16/2022
19-44,2022,30,Completed vaccine series,61.60%,62.60%,56.50%,77.60%,36.10%,67.40%,9/16/2022
18-Dec,2022,30,Completed vaccine series,53.70%,57.40%,55.80%,87.20%,25.90%,60.20%,9/16/2022
12+,2022,30,Completed vaccine series,70.10%,70.20%,61.70%,84.50%,38%,70%,9/16/2022
65+,2022,29,At least one vaccine dose,99.60%,100%,85.80%,100%,83.70%,96%,9/16/2022
11-May,2022,29,At least one vaccine dose,36.80%,30.40%,36%,66.10%,22.20%,33.10%,9/16/2022
5+,2022,29,At least one vaccine dose,69.90%,69.70%,62.60%,86.80%,36.10%,69.50%,9/16/2022
45-64,2022,29,At least one vaccine dose,69.30%,90.10%,68.90%,96.30%,56.70%,86.20%,9/16/2022
19-44,2022,29,At least one vaccine dose,65.10%,70.20%,63.10%,83.20%,39%,74.90%,9/16/2022
18-Dec,2022,29,At least one vaccine dose,56%,64.80%,61.60%,91.60%,27.50%,66%,9/16/2022
12+,2022,29,At least one vaccine dose,72.90%,77%,67%,89.60%,40.40%,76.70%,9/16/2022
65+,2022,29,Completed vaccine series,96.50%,100%,83.20%,100%,80.70%,88.70%,9/16/2022
11-May,2022,29,Completed vaccine series,34.40%,25%,29.50%,60.60%,20.10%,28.30%,9/16/2022
5+,2022,29,Completed vaccine series,67.20%,63.10%,57%,81.60%,33.80%,63.10%,9/16/2022
45-64,2022,29,Completed vaccine series,67.50%,84.90%,64.80%,91.90%,54.90%,81%,9/16/2022
19-44,2022,29,Completed vaccine series,61.50%,62.50%,56.40%,77.60%,36.10%,67.40%,9/16/2022
18-Dec,2022,29,Completed vaccine series,53.70%,57.20%,55.70%,87.10%,25.90%,60.10%,9/16/2022
12+,2022,29,Completed vaccine series,70.10%,70.20%,61.60%,84.40%,38%,70%,9/16/2022
65+,2022,28,At least one vaccine dose,99.50%,100%,85.80%,100%,83.60%,95.90%,9/16/2022
11-May,2022,28,At least one vaccine dose,36.70%,30.10%,35.80%,65.80%,22.10%,33%,9/16/2022
5+,2022,28,At least one vaccine dose,69.90%,69.60%,62.50%,86.70%,36.10%,69.40%,9/16/2022
45-64,2022,28,At least one vaccine dose,69.30%,90%,68.90%,96.20%,56.70%,86.20%,9/16/2022
19-44,2022,28,At least one vaccine dose,65.10%,70.10%,63%,83.20%,39%,74.80%,9/16/2022
18-Dec,2022,28,At least one vaccine dose,56%,64.70%,61.50%,91.50%,27.50%,65.90%,9/16/2022
12+,2022,28,At least one vaccine dose,72.90%,76.90%,67%,89.60%,40.30%,76.60%,9/16/2022
65+,2022,28,Completed vaccine series,96.50%,100%,83.20%,100%,80.60%,88.60%,9/16/2022
11-May,2022,28,Completed vaccine series,34.30%,24.80%,29.30%,60.40%,20%,28.20%,9/16/2022
5+,2022,28,Completed vaccine series,67.10%,63%,56.90%,81.50%,33.80%,63%,9/16/2022
45-64,2022,28,Completed vaccine series,67.50%,84.80%,64.80%,91.90%,54.90%,81%,9/16/2022
19-44,2022,28,Completed vaccine series,61.50%,62.50%,56.30%,77.60%,36.10%,67.30%,9/16/2022
18-Dec,2022,28,Completed vaccine series,53.60%,57.10%,55.70%,87.10%,25.90%,60%,9/16/2022
12+,2022,28,Completed vaccine series,70.10%,70.10%,61.50%,84.40%,38%,69.90%,9/16/2022
65+,2022,27,At least one vaccine dose,99.50%,100%,85.70%,100%,83.60%,95.80%,9/16/2022
11-May,2022,27,At least one vaccine dose,36.60%,29.90%,35.70%,65.50%,22%,32.80%,9/16/2022
5+,2022,27,At least one vaccine dose,69.80%,69.50%,62.50%,86.60%,36.10%,69.30%,9/16/2022
45-64,2022,27,At least one vaccine dose,69.30%,90%,68.80%,96.20%,56.70%,86.10%,9/16/2022
19-44,2022,27,At least one vaccine dose,65.10%,70%,63%,83.10%,38.90%,74.80%,9/16/2022
18-Dec,2022,27,At least one vaccine dose,55.90%,64.50%,61.50%,91.40%,27.40%,65.80%,9/16/2022
12+,2022,27,At least one vaccine dose,72.80%,76.80%,66.90%,89.50%,40.30%,76.50%,9/16/2022
65+,2022,27,Completed vaccine series,96.40%,100%,83.10%,100%,80.60%,88.60%,9/16/2022
11-May,2022,27,Completed vaccine series,34.20%,24.70%,29.20%,60.10%,20%,28.10%,9/16/2022
5+,2022,27,Completed vaccine series,67.10%,62.90%,56.90%,81.50%,33.80%,63%,9/16/2022
45-64,2022,27,Completed vaccine series,67.50%,84.80%,64.70%,91.80%,54.90%,81%,9/16/2022
19-44,2022,27,Completed vaccine series,61.50%,62.40%,56.20%,77.60%,36%,67.30%,9/16/2022
18-Dec,2022,27,Completed vaccine series,53.60%,56.90%,55.60%,87%,25.90%,60%,9/16/2022
12+,2022,27,Completed vaccine series,70.10%,70%,61.50%,84.40%,37.90%,69.90%,9/16/2022
65+,2022,26,At least one vaccine dose,99.50%,100%,85.70%,100%,83.60%,95.70%,9/16/2022
11-May,2022,26,At least one vaccine dose,36.50%,29.70%,35.50%,65.30%,21.90%,32.70%,9/16/2022
5+,2022,26,At least one vaccine dose,69.80%,69.40%,62.40%,86.60%,36%,69.20%,9/16/2022
45-64,2022,26,At least one vaccine dose,69.30%,89.90%,68.80%,96.10%,56.70%,86.10%,9/16/2022
19-44,2022,26,At least one vaccine dose,65%,69.90%,62.90%,83.10%,38.90%,74.70%,9/16/2022
18-Dec,2022,26,At least one vaccine dose,55.90%,64.40%,61.40%,91.40%,27.40%,65.80%,9/16/2022
12+,2022,26,At least one vaccine dose,72.80%,76.80%,66.90%,89.50%,40.30%,76.50%,9/16/2022
65+,2022,26,Completed vaccine series,96.40%,100%,83.10%,100%,80.50%,88.60%,9/16/2022
11-May,2022,26,Completed vaccine series,34.10%,24.50%,29.10%,59.90%,19.90%,28%,9/16/2022
5+,2022,26,Completed vaccine series,67.10%,62.80%,56.80%,81.40%,33.70%,62.90%,9/16/2022
45-64,2022,26,Completed vaccine series,67.50%,84.70%,64.70%,91.80%,54.90%,81%,9/16/2022
19-44,2022,26,Completed vaccine series,61.50%,62.30%,56.10%,77.50%,36%,67.30%,9/16/2022
18-Dec,2022,26,Completed vaccine series,53.60%,56.80%,55.50%,86.90%,25.80%,59.90%,9/16/2022
12+,2022,26,Completed vaccine series,70.10%,69.90%,61.40%,84.30%,37.90%,69.90%,9/16/2022
65+,2022,25,At least one vaccine dose,99.50%,100%,85.70%,100%,83.50%,95.60%,9/16/2022
11-May,2022,25,At least one vaccine dose,36.40%,29.50%,35.40%,65.10%,21.80%,32.60%,9/16/2022
5+,2022,25,At least one vaccine dose,69.80%,69.30%,62.30%,86.50%,36%,69.20%,9/16/2022
45-64,2022,25,At least one vaccine dose,69.30%,89.90%,68.80%,96.10%,56.70%,86%,9/16/2022
19-44,2022,25,At least one vaccine dose,65%,69.80%,62.80%,83.10%,38.90%,74.60%,9/16/2022
18-Dec,2022,25,At least one vaccine dose,55.90%,64.20%,61.30%,91.30%,27.40%,65.70%,9/16/2022
12+,2022,25,At least one vaccine dose,72.80%,76.70%,66.80%,89.40%,40.30%,76.40%,9/16/2022
65+,2022,25,Completed vaccine series,96.40%,100%,83.10%,100%,80.40%,88.50%,9/16/2022
11-May,2022,25,Completed vaccine series,34.10%,24.40%,28.90%,59.70%,19.90%,27.90%,9/16/2022
5+,2022,25,Completed vaccine series,67.10%,62.70%,56.70%,81.40%,33.70%,62.90%,9/16/2022
45-64,2022,25,Completed vaccine series,67.50%,84.70%,64.70%,91.80%,54.90%,80.90%,9/16/2022
19-44,2022,25,Completed vaccine series,61.50%,62.20%,56%,77.50%,36%,67.20%,9/16/2022
18-Dec,2022,25,Completed vaccine series,53.50%,56.60%,55.40%,86.80%,25.80%,59.80%,9/16/2022
12+,2022,25,Completed vaccine series,70%,69.80%,61.30%,84.30%,37.90%,69.80%,9/16/2022
65+,2022,24,At least one vaccine dose,99.40%,100%,85.60%,100%,83.50%,95.50%,9/16/2022
11-May,2022,24,At least one vaccine dose,36.30%,29.30%,35.20%,64.80%,21.70%,32.40%,9/16/2022
5+,2022,24,At least one vaccine dose,69.80%,69.10%,62.20%,86.40%,35.90%,69.10%,9/16/2022
45-64,2022,24,At least one vaccine dose,69.30%,89.80%,68.70%,96%,56.70%,86%,9/16/2022
19-44,2022,24,At least one vaccine dose,65%,69.70%,62.60%,83%,38.90%,74.60%,9/16/2022
18-Dec,2022,24,At least one vaccine dose,55.80%,63.90%,61.30%,91.20%,27.40%,65.60%,9/16/2022
12+,2022,24,At least one vaccine dose,72.80%,76.50%,66.70%,89.40%,40.30%,76.40%,9/16/2022
65+,2022,24,Completed vaccine series,96.40%,100%,83.10%,100%,80.30%,88.50%,9/16/2022
11-May,2022,24,Completed vaccine series,34%,24.20%,28.80%,59.50%,19.80%,27.80%,9/16/2022
5+,2022,24,Completed vaccine series,67%,62.60%,56.60%,81.30%,33.70%,62.80%,9/16/2022
45-64,2022,24,Completed vaccine series,67.40%,84.60%,64.60%,91.70%,54.80%,80.90%,9/16/2022
19-44,2022,24,Completed vaccine series,61.40%,62.10%,55.90%,77.50%,36%,67.20%,9/16/2022
18-Dec,2022,24,Completed vaccine series,53.50%,56.50%,55.30%,86.80%,25.80%,59.80%,9/16/2022
12+,2022,24,Completed vaccine series,70%,69.70%,61.20%,84.30%,37.90%,69.80%,9/16/2022
65+,2022,23,At least one vaccine dose,99.40%,100%,85.60%,100%,83.30%,95.40%,9/16/2022
11-May,2022,23,At least one vaccine dose,36.30%,29.10%,35.10%,64.50%,21.70%,32.30%,9/16/2022
5+,2022,23,At least one vaccine dose,69.70%,69%,62.10%,86.40%,35.90%,69%,9/16/2022
45-64,2022,23,At least one vaccine dose,69.20%,89.70%,68.70%,96%,56.70%,85.90%,9/16/2022
19-44,2022,23,At least one vaccine dose,65%,69.60%,62.50%,83%,38.90%,74.50%,9/16/2022
18-Dec,2022,23,At least one vaccine dose,55.80%,63.70%,61.20%,91.10%,27.30%,65.50%,9/16/2022
12+,2022,23,At least one vaccine dose,72.70%,76.40%,66.60%,89.30%,40.20%,76.30%,9/16/2022
65+,2022,23,Completed vaccine series,96.30%,100%,83%,100%,80.30%,88.40%,9/16/2022
11-May,2022,23,Completed vaccine series,33.90%,24.10%,28.60%,59.20%,19.70%,27.70%,9/16/2022
5+,2022,23,Completed vaccine series,67%,62.50%,56.50%,81.20%,33.60%,62.80%,9/16/2022
45-64,2022,23,Completed vaccine series,67.40%,84.50%,64.50%,91.70%,54.80%,80.90%,9/16/2022
19-44,2022,23,Completed vaccine series,61.40%,62%,55.80%,77.50%,35.90%,67.10%,9/16/2022
18-Dec,2022,23,Completed vaccine series,53.50%,56.30%,55.20%,86.70%,25.80%,59.70%,9/16/2022
12+,2022,23,Completed vaccine series,70%,69.60%,61.20%,84.20%,37.80%,69.70%,9/16/2022
65+,2022,22,At least one vaccine dose,99.40%,100%,85.60%,100%,83.30%,95.20%,9/16/2022
11-May,2022,22,At least one vaccine dose,36.20%,28.90%,35%,64.30%,21.60%,32.10%,9/16/2022
5+,2022,22,At least one vaccine dose,69.70%,68.90%,62%,86.30%,35.90%,68.90%,9/16/2022
45-64,2022,22,At least one vaccine dose,69.20%,89.70%,68.60%,95.90%,56.60%,85.90%,9/16/2022
19-44,2022,22,At least one vaccine dose,64.90%,69.50%,62.40%,83%,38.80%,74.40%,9/16/2022
18-Dec,2022,22,At least one vaccine dose,55.80%,63.60%,61.20%,91.10%,27.30%,65.40%,9/16/2022
12+,2022,22,At least one vaccine dose,72.70%,76.30%,66.50%,89.30%,40.20%,76.20%,9/16/2022
65+,2022,22,Completed vaccine series,96.30%,100%,83%,100%,80.20%,88.30%,9/16/2022
11-May,2022,22,Completed vaccine series,33.80%,23.90%,28.40%,59%,19.70%,27.50%,9/16/2022
5+,2022,22,Completed vaccine series,67%,62.40%,56.40%,81.20%,33.60%,62.70%,9/16/2022
45-64,2022,22,Completed vaccine series,67.40%,84.50%,64.50%,91.70%,54.80%,80.90%,9/16/2022
19-44,2022,22,Completed vaccine series,61.40%,61.90%,55.70%,77.40%,35.90%,67.10%,9/16/2022
18-Dec,2022,22,Completed vaccine series,53.40%,56.10%,55.10%,86.70%,25.70%,59.60%,9/16/2022
12+,2022,22,Completed vaccine series,70%,69.50%,61.10%,84.20%,37.80%,69.70%,9/16/2022
65+,2022,21,At least one vaccine dose,99.30%,100%,85.50%,100%,83.30%,95.10%,9/16/2022
11-May,2022,21,At least one vaccine dose,36.10%,28.70%,34.80%,64.10%,21.50%,32%,9/16/2022
5+,2022,21,At least one vaccine dose,69.70%,68.80%,61.90%,86.20%,35.80%,68.80%,9/16/2022
45-64,2022,21,At least one vaccine dose,69.20%,89.60%,68.60%,95.90%,56.60%,85.90%,9/16/2022
19-44,2022,21,At least one vaccine dose,64.90%,69.30%,62.30%,82.90%,38.80%,74.40%,9/16/2022
18-Dec,2022,21,At least one vaccine dose,55.70%,63.40%,61%,91%,27.30%,65.40%,9/16/2022
12+,2022,21,At least one vaccine dose,72.70%,76.20%,66.40%,89.20%,40.20%,76.20%,9/16/2022
65+,2022,21,Completed vaccine series,96.20%,100%,82.90%,100%,80.20%,88.30%,9/16/2022
11-May,2022,21,Completed vaccine series,33.70%,23.70%,28.30%,58.90%,19.60%,27.40%,9/16/2022
5+,2022,21,Completed vaccine series,66.90%,62.20%,56.30%,81.10%,33.60%,62.60%,9/16/2022
45-64,2022,21,Completed vaccine series,67.40%,84.40%,64.40%,91.60%,54.80%,80.80%,9/16/2022
19-44,2022,21,Completed vaccine series,61.40%,61.80%,55.60%,77.40%,35.90%,67%,9/16/2022
18-Dec,2022,21,Completed vaccine series,53.40%,56%,55%,86.60%,25.70%,59.60%,9/16/2022
12+,2022,21,Completed vaccine series,69.90%,69.40%,61%,84.20%,37.80%,69.60%,9/16/2022
65+,2022,20,At least one vaccine dose,99.30%,100%,85.50%,100%,83.20%,95%,9/16/2022
11-May,2022,20,At least one vaccine dose,36%,28.50%,34.60%,63.90%,21.50%,31.90%,9/16/2022
5+,2022,20,At least one vaccine dose,69.70%,68.60%,61.80%,86.10%,35.80%,68.80%,9/16/2022
45-64,2022,20,At least one vaccine dose,69.20%,89.50%,68.50%,95.80%,56.60%,85.80%,9/16/2022
19-44,2022,20,At least one vaccine dose,64.90%,69.20%,62.10%,82.90%,38.80%,74.30%,9/16/2022
18-Dec,2022,20,At least one vaccine dose,55.70%,63.20%,61%,91%,27.30%,65.30%,9/16/2022
12+,2022,20,At least one vaccine dose,72.70%,76.10%,66.30%,89.20%,40.10%,76.10%,9/16/2022
65+,2022,20,Completed vaccine series,96.10%,100%,82.80%,100%,80%,88.20%,9/16/2022
11-May,2022,20,Completed vaccine series,33.60%,23.50%,28.10%,58.60%,19.50%,27.30%,9/16/2022
5+,2022,20,Completed vaccine series,66.90%,62.10%,56.20%,81.10%,33.50%,62.60%,9/16/2022
45-64,2022,20,Completed vaccine series,67.40%,84.30%,64.30%,91.60%,54.80%,80.80%,9/16/2022
19-44,2022,20,Completed vaccine series,61.40%,61.70%,55.40%,77.40%,35.90%,67%,9/16/2022
18-Dec,2022,20,Completed vaccine series,53.40%,55.80%,54.80%,86.50%,25.60%,59.50%,9/16/2022
12+,2022,20,Completed vaccine series,69.90%,69.30%,60.80%,84.10%,37.70%,69.60%,9/16/2022
65+,2022,19,At least one vaccine dose,99.20%,100%,85.40%,100%,83.10%,94.80%,9/16/2022
11-May,2022,19,At least one vaccine dose,35.90%,28.30%,34.40%,63.60%,21.40%,31.80%,9/16/2022
5+,2022,19,At least one vaccine dose,69.60%,68.50%,61.70%,86.10%,35.70%,68.70%,9/16/2022
45-64,2022,19,At least one vaccine dose,69.20%,89.40%,68.40%,95.80%,56.60%,85.70%,9/16/2022
19-44,2022,19,At least one vaccine dose,64.90%,69.10%,62%,82.80%,38.70%,74.20%,9/16/2022
18-Dec,2022,19,At least one vaccine dose,55.70%,63%,60.90%,90.90%,27.20%,65.20%,9/16/2022
12+,2022,19,At least one vaccine dose,72.60%,75.90%,66.20%,89.10%,40.10%,76%,9/16/2022
65+,2022,19,Completed vaccine series,96.10%,100%,82.70%,100%,79.90%,88.10%,9/16/2022
11-May,2022,19,Completed vaccine series,33.60%,23.30%,28%,58.50%,19.50%,27.20%,9/16/2022
5+,2022,19,Completed vaccine series,66.90%,62%,56.10%,81%,33.50%,62.50%,9/16/2022
45-64,2022,19,Completed vaccine series,67.30%,84.20%,64.30%,91.60%,54.70%,80.70%,9/16/2022
19-44,2022,19,Completed vaccine series,61.30%,61.60%,55.20%,77.30%,35.80%,66.90%,9/16/2022
18-Dec,2022,19,Completed vaccine series,53.30%,55.70%,54.70%,86.40%,25.60%,59.40%,9/16/2022
12+,2022,19,Completed vaccine series,69.90%,69.20%,60.70%,84.10%,37.70%,69.50%,9/16/2022
