"County","People with at least one vaccine dose","People with completed vaccine series","People up to date with vaccine doses","reportedDate","webDate"
"TODD",11605,11034,4083,"9/26/2022",2022-09-28
"TRAVERSE",2133,2040,864,"9/26/2022",2022-09-28
"UNKNOWN/MISSING",3995,3156,1314,"9/26/2022",2022-09-28
"WABASHA",14345,13757,6204,"9/26/2022",2022-09-28
"WADENA",6531,6204,2491,"9/26/2022",2022-09-28
"WASECA",11071,10602,4527,"9/26/2022",2022-09-28
"WASHINGTON",208510,198040,104064,"9/26/2022",2022-09-28
"WATONWAN",6868,6452,2467,"9/26/2022",2022-09-28
"WILKIN",3581,3348,1136,"9/26/2022",2022-09-28
"WINONA",32783,31323,16184,"9/26/2022",2022-09-28
"WRIGHT",82179,77981,32997,"9/26/2022",2022-09-28
"YELLOW MEDICINE",5431,5202,2074,"9/26/2022",2022-09-28
