,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
51,North Penn Comprehensive Health Services,7 Water St,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,0,50,0,POINT (-77.301143 41.749471)
52,PHN-Shamokin Community Health Center,531 North Franklin Street,Shamokin,Pennsylvania,17872,Northumberland,0,0,0,0,79,0,POINT (-76.550305 40.791462)
53,PSH Cmty Vax Site-Cumberland,890 Poplar Church Road,Camp Hill,Pennsylvania,17011,Cumberland,0,0,0,0,912,1028,POINT (-76.9237 40.255046)
54,UPMC-FALK PHARMACY MTM,3601 Fifth Avenue Suite 211,Pittsburgh,Pennsylvania,15213,Allegheny,16,0,0,469,215,0,POINT (-79.959098 40.441328)
55,Public Drug,6925 Ludlow Street,Upper Darby,Pennsylvania,19082,Delaware,0,0,0,162,316,83,POINT (-75.260184 39.961256)
56,Medi-Rx Pharmacy Inc,6401 Olde Stone Crossing,Poland,Ohio,44514,Mahoning,0,0,0,0,2,0,POINT (-80.588191 41.024818)
57,VDI-Thompson Pharmacy Altoona,602 E CHESTNUT AVE,ALTOONA,PA,16601,Blair,0,0,0,221,1164,96,POINT (-78.387468 40.53123)
58,LVPG Family Medicine-Schuylkill Med Plz,200 Schuylkill Medical Plaza,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,1,2,0,POINT (-76.188817 40.68179)
59,FPC-Lewisburg Family Practice Center,131 JPM Road Suite A,Lewisburg,Pennsylvania,17837,Union,0,0,0,0,15,0,POINT (-76.891814 40.976035)
60,Tri-State Community Health Center,525 Fulton Drive,Mc Connellsburg,Pennsylvania,17233,Fulton,0,0,0,1,2,0,POINT (-77.99936 39.924409)
61,Primemed-Dr. Patrick Connors,2232 Pittston Ave,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,46,33,0,POINT (-75.681141 41.384922)
62,PHN-Tri-County Community Health Center,1555 Shawna Road,Cherry Tree,Pennsylvania,15724,Cambria,0,0,0,12,3,0,POINT (-78.799345 40.716831)
63,Wright Ctr for Com Hlth Scranton Prac,501 S Washington Avenue,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,0,9,0,POINT (-75.67015 41.402072)
64,VIP Pharmacy,7737 New Falls Rd,Levittown,Pennsylvania,19055,Bucks,0,0,0,0,885,385,POINT (-74.847816 40.160519)
65,Genoa Healthcare 00135,378 W CHESTNUT ST,Washington,Pennsylvania,15301,Washington,0,0,0,0,312,0,POINT (-80.253994 40.171389)
66,Geisinger Community Medical Center,1822 Mulberry Street,Scranton,Pennsylvania,18510,Lackawanna,0,0,0,0,211,40,POINT (-75.645774 41.400642)
67,HILL HOUSE HEALTH CENTER,1835 CENTRE AVE,Pittsburgh,Pennsylvania,15219,Allegheny,0,0,0,0,5,0,POINT (-79.981409 40.442978)
68,GVH Primary Care Harleysville,176 Main Street,Harleysville,Pennsylvania,19438,Montgomery,0,0,0,1,37,100,POINT (-75.368751 40.262499)
69,Hometown Healthcare of NEPA,921 Drinker Turnpike,Moscow,Pennsylvania,18444,Lackawanna,0,0,0,0,0,628,POINT (-75.514251 41.310339)
70,Holly Pharmacy,31 N. Baltimore Avenue,Mount Holly Springs,Pennsylvania,17065,Cumberland,0,0,0,0,0,400,POINT (-77.189178 40.115324)
71,Morris Drug,15 East Centre St,Mahanoy City,Pennsylvania,17948,Schuylkill,0,0,0,2052,0,525,POINT (-76.141312 40.812802)
72,FCCC-East Norriton,2701 Dekalb Pike Fox Chase Cancer Center,Norristown,Pennsylvania,19401,Montgomery,0,0,0,6,2,140,
73,PSH Cmty Vax Site-Cumberland,431 N 21st Street,Camp Hill,Pennsylvania,17011,Cumberland,0,0,0,0,912,1028,POINT (-76.923521 40.251468)
74,Highlnds Hlth Laurel Highlnds Free Cha,"315 Locust St, 2nd Floor",Johnstown,Pennsylvania,15901,Cambria,0,0,0,0,464,0,POINT (-78.920587 40.327188)
75,Jaisohn Medical Center,51 Medical Campus Drive,Lansdale,Pennsylvania,19446,Montgomery,0,0,0,3,333,186,POINT (-75.268366 40.250467)
76,UPMC-East,2775 Mosside Blvd.,Monroeville,Pennsylvania,15146,Allegheny,0,0,0,8,622,160,POINT (-79.75864 40.437122)
77,FPC-Southside Family Medicine,699 Hastings Street,South Williamsport,Pennsylvania,17702,Lycoming,0,0,0,0,228,0,POINT (-76.990216 41.228739)
78,PHN-Sheakleyville Health Center,3339 Perry Highway,Sheakleyville,Pennsylvania,16151,Mercer,0,0,0,7,81,10,POINT (-80.205535 41.450213)
79,VDI-First National Pharmacy,143 N First Street,Lehighton,Pennsylvania,18235,Carbon,0,0,3,0,0,120,POINT (-75.708869 40.835262)
80,15toknow,250 Mall Blvd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,295,3466,POINT (-75.390941 40.090833)
81,VDI-Skippack Pharmacy,4118 W Skippack Pike,Schwenksville,Pennsylvania,19473,Montgomery,0,0,0,1656,925,0,POINT (-75.405269 40.228146)
82,VHP Center For Womens Medicine,1627 Chew Street  # 1 Lehigh Valley Hospital,Allentown,Pennsylvania,18105,Lehigh,0,0,0,2,13,40,
83,Cornerstone Coordinated Health Care LLC,40 West Frack Street,Frackville,Pennsylvania,17931,Schuylkill,0,0,0,0,7,0,POINT (-76.232047 40.784801)
84,Ped Specialists of Franklin Cnty,27 Vista Dr,Waynesboro,Pennsylvania,17268,Franklin,0,0,0,0,984,0,POINT (-77.566626 39.752702)
85,Lepri Ruane Inc DBA The Md Shopp 0874,2239 Pittston Ave.,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,0,94,0,POINT (-75.681293 41.384806)
86,The Medicine Shoppe,100 Hazle Street,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,39,0,POINT (-75.891345 41.238396)
87,Lebanon Community Health Center,920 Church St,Lebanon,Pennsylvania,17046,Lebanon,0,0,0,0,4,0,POINT (-76.42776 40.344531)
88,Genesis Medical Associates Inc,8150 Perry Highway,Pittsburgh,Pennsylvania,15237,Allegheny,0,0,0,8,950,0,POINT (-80.038875 40.555375)
89,AHN St Vincent Fam Medic Ctr,311 West 24th Street,Erie,Pennsylvania,16502,Erie,0,0,0,0,2,0,POINT (-80.0814 42.111191)
90,Giant (Martins) Pharmacy-6547,1661 EASTON RD,Warrington,Pennsylvania,18976,Bucks,0,1,0,19,1267,1309,POINT (-75.130148 40.268065)
91,Keystone Agric Wkr Prgm Getty,3375 Carlisle Road,Gardners,Pennsylvania,17324,Adams,0,0,0,83,206,0,POINT (-77.20317 40.010113)
92,LCH Oxford Community HealthCenter,14 S Third Street,Oxford,Pennsylvania,19363,Chester,0,0,0,0,54,0,POINT (-75.979058 39.784717)
93,AHN Pedi Ped Alliance Chartiers,1370 Washington Pike,Bridgeville,Pennsylvania,15017,Allegheny,0,0,0,30,608,0,POINT (-80.096149 40.379169)
94,UPMC CCP BW Squirrel Hill,5608 Wilkins Avenue,Pittsburgh,Pennsylvania,15217,Allegheny,0,0,0,3,672,535,POINT (-79.927286 40.444045)
95,We Care Pediatrics,404 Middletown Blvd Penns Square,Langhorne,Pennsylvania,19047,Bucks,0,0,0,0,1154,1386,
96,WellSpan Occupational Health,2250 E Market Street,York,Pennsylvania,17402,York,0,0,0,0,5,0,POINT (-76.682678 39.973843)
97,Cornerstn Cre Prim Cre Ctr Mt Morris,120 Locust Ave Ext *,Mount Morris,Pennsylvania,15349,Greene,0,0,0,0,7,0,POINT (-80.060817 39.734055)
98,SCI-Laurel Highlands,5706 Glades Pike Road,Somerset,Pennsylvania,15501,Somerset,0,0,0,32,57,0,POINT (-79.040912 40.002438)
99,Lehigh Fam and Geriatric Assoc,428 South 7th Street,Lehighton,Pennsylvania,18235,Carbon,0,0,0,0,363,110,POINT (-75.717793 40.826767)
100,Gerritys Pharmacy Hanover,2280 Sans Souci Parkway,Hanover Township,Pennsylvania,18706,Luzerne,0,0,0,12,9,0,POINT (-75.971341 41.209669)
101,PPCP-McMurray,3928 Washington Road,Mc Murray,Pennsylvania,15317,Washington,0,0,0,0,116,0,POINT (-80.128098 40.270982)
102,PHN-Jacksonville Family Medical Center,29 Saltsburg Road,Clarksburg,Pennsylvania,15725,Indiana,0,0,0,9,0,0,POINT (-79.299222 40.540065)
103,Redstone Pharmacy,322 3rd St,California,Pennsylvania,15419,Washington,0,0,0,213,13,98,POINT (-79.890793 40.066566)
104,Dr Douglas C Shoenberger PC,101 S Main Street,Coopersburg,Pennsylvania,18036,Lehigh,0,0,0,74,0,104,POINT (-75.391607 40.510158)
105,Gerritys Pharmacy Keyser,1782 NORTH KEYSER AVE,Scranton,Pennsylvania,18508,Lackawanna,0,0,0,0,127,0,POINT (-75.667793 41.445253)
106,HAZELWOOD FAMILY HEALTH CENTER,4918 2ND AVE,Pittsburgh,Pennsylvania,15207,Allegheny,0,0,0,0,93,0,POINT (-79.943915 40.409345)
107,Advanced Surgery Ctr of Lanc LLC,160 North Pointe Blvd,Lancaster,Pennsylvania,17601,Lancaster,0,0,0,411,15,0,POINT (-76.301718 40.072012)
108,WAYNE MEMORIAL HOSPITAL,601 Park Street,Honesdale,Pennsylvania,18431,Wayne,1,0,0,514,1,227,POINT (-75.259796 41.576284)
109,AHN Ped Ped Ally Chartiers McMurray,3001 Waterdam Plaza Drive,Mc Murray,Pennsylvania,15317,Washington,0,0,0,4,384,0,POINT (-80.135651 40.264143)
110,Genoa Healthcare 20118 (parent),1350 West 26th Street,Erie,Pennsylvania,16508,Erie,0,0,0,116,0,90,POINT (-80.103018 42.101065)
111,Einstein Medical Center Montgomery,EMCM PHARMACY 559 W GERMANTOWN PIKE,East Norriton,Pennsylvania,19403,Montgomery,0,0,0,20,0,1469,
112,Wellspan Surgical and Rehab Hosp,55 Monument Rd,York,Pennsylvania,17403,York,0,0,0,12,200,0,POINT (-76.716773 39.923331)
113,Robert T Henry Pharmacy,54 East King St,Shippensburg,Pennsylvania,17257,Cumberland,0,0,0,10,1420,1253,POINT (-77.519141 40.051126)
114,Curative Medical Associates Inc,317 W Pike St,Canonsburg,Pennsylvania,15317,Washington,0,0,0,224,0,0,POINT (-80.195148 40.25802)
115,Montgomery County Department of Public Safety,EOC-50 Eagleville Road,Norristown,Pennsylvania,19403,Montgomery,0,0,0,189,42,0,POINT (-75.418787 40.158189)
116,Blueberry Pharmacy,1018 W View Park Dr,Pittsburgh,Pennsylvania,15229,Allegheny,0,0,0,0,31,0,POINT (-80.036184 40.516635)
117,Lawrenceville Laurel Health Center,32 East Lawrence Road,Lawrenceville,Pennsylvania,16929,Tioga,0,0,0,0,157,0,POINT (-77.035276 41.990534)
118,MHEDS-PEACH ST,2928 Peach Street,Erie,Pennsylvania,16508,Erie,0,0,0,81,36,0,POINT (-80.076407 42.107191)
119,Temple Family Medicine-Fort Washington,515 Pennsylvania Avenue,Fort Washington,Pennsylvania,19034,Montgomery,0,0,0,0,23,0,POINT (-75.206327 40.134534)
120,FPC Harisbrg commer St Fam Prac Ctr,2850 Commerce Drive,Harrisburg,Pennsylvania,17110,Dauphin,0,0,0,0,38,0,POINT (-76.836167 40.312139)
121,Tower Hlth Med Group Ped Wyomissing,2101 State Hill Road,Wyomissing,Pennsylvania,19610,Berks,0,0,0,0,294,0,POINT (-75.978159 40.339247)
122,Tower Health-Laureldale Fam Med,3212 Kutztown Road,Laureldale,Pennsylvania,19605,Berks,0,13,0,0,139,0,POINT (-75.920253 40.384945)
123,Saltsburg Pharmacy,237 WASHINGTON ST,Saltsburg,Pennsylvania,15681,Indiana,0,0,0,83,0,0,POINT (-79.451388 40.486376)
124,Allentown Health Bureau,245 North 6th Street Alliance Hall,Allentown,Pennsylvania,18102,Lehigh,4,0,0,367,4861,431,
125,OAKSIDE CARE PHARMACY,440 LEHIGH ST,Reading,Pennsylvania,19601,Berks,0,0,0,720,31,1503,POINT (-75.948219 40.354269)
126,PHN-Sharon Medical Group Pediatrics,63 Pitt Street,Sharon,Pennsylvania,16146,Mercer,0,0,0,27,374,0,POINT (-80.507917 41.23373)
127,Everest Urgent Care-City of Chester,2600 W 9th St Unit E1,Chester,Pennsylvania,19013,Delaware,0,0,0,0,781,1899,POINT (-75.393423 39.837076)
128,Hyndman Area Hth CtrJohnstwn,203 College Park Plaza,Johnstown,Pennsylvania,15904,Cambria,0,0,0,43,1165,443,POINT (-78.8488 40.276966)
129,LGH Twin Rose Fam Med Wrightsville,6415 Lincoln Hwy,Wrightsville,Pennsylvania,17368,York,0,0,0,0,38,0,POINT (-76.544998 40.02244)
130,UPMC Wellsboro,32-36 Central Ave UMC Wellsboro Pharmacy,Wellsboro,Pennsylvania,16901,Tioga,9,6,0,247,1,163,POINT (-77.299641 41.745656)
131,AHN FORBES HOSPITAL,PHARMACY 2570 HAYMAKER ROAD,MONROEVILLE,PENNSYLVANIA,15146,Allegheny,16,8,0,164,61,112,
132,UPMC Horizon Tran Cre Shenango,2200 Memorial Drive,Farrell,Pennsylvania,16121,Mercer,0,0,0,9,337,9,POINT (-80.469262 41.209438)
133,Lebanon County SHC,9 North 9th Street,Lebanon,Pennsylvania,17046,Lebanon,0,0,0,18,0,0,POINT (-76.42629 40.339479)
134,GIANT PHARMACY-6443,925 NORLAND AVENUE,CHAMBERSBURG,PA,17201,Franklin,0,1,0,13,575,0,POINT (-77.6307 39.940982)
135,VaxCare-Lycoming Internal Med Inc,1 Outlet Lane,Lock Haven,Pennsylvania,17745,Clinton,0,0,0,36,479,1123,POINT (-77.356405 41.152833)
136,Duquesne Uni-Ctr for Pharm Care,1000 Fifth Avenue Muldoon Building,Pittsburgh,Pennsylvania,15282,Allegheny,0,0,0,159,912,82,POINT (-79.990785 40.438802)
137,PHN-Lewistown Community Health Center,106 Derry Heights,Lewistown,Pennsylvania,17044,Mifflin,0,0,0,11,76,0,POINT (-77.577034 40.643141)
138,CENTERVILLE CLINICS-FAIRCHANCE,93 N Morgantown Road,Fairchance,Pennsylvania,15436,Fayette,0,0,0,12,323,0,POINT (-79.753382 39.826272)
139,Tower Health-Int Med Wyomissing THMG,950A N. Wyomissing Boulevard,Wyomissing,Pennsylvania,19610,Berks,0,0,0,0,76,30,POINT (-75.964382 40.339133)
140,PHN-Oil City Health Center,811 Grandview Road,Oil City,Pennsylvania,16301,Venango,0,0,0,17,164,50,POINT (-79.6883 41.441352)
141,Wellspan Fam Med West Cornwall,101 Fairview Circle,Lebanon,Pennsylvania,17042,Lebanon,0,0,0,1,415,0,POINT (-76.43445 40.281302)
142,Millcreek Community Hospital,5515 Peach street,Erie,Pennsylvania,16509,Erie,0,1,0,14,118,1372,POINT (-80.093739 42.074173)
143,EMHS Physician Office,100 Hospital Drive,Montrose,Pennsylvania,18801,Susquehanna,0,0,0,2,8,0,POINT (-75.836978 41.83573)
144,The Medicine Shoppe-Wilkes Barre,100 Hazle Street,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,448,0,POINT (-75.891346 41.238396)
145,Central Bucks Fam Pract PC Doylestown,252 W Swamp Rd,Doylestown,Pennsylvania,18901,Bucks,0,0,0,0,1,0,POINT (-75.137894 40.333244)
146,UPMC Pinnacle Harrisburg,RX DEPT 111 S FRONT ST,Harrisburg,Pennsylvania,17101,Dauphin,0,0,0,1499,2994,94,
147,GIANT PHARMACY-6105,350 SCARLET ROAD,KENNETT SQUARE,PA,19348,Chester,0,0,0,185,1678,987,POINT (-75.730009 39.840279)
148,Majeed Health,416 W Tilghman Street,Allentown,Pennsylvania,18102,Lehigh,0,0,0,0,580,0,POINT (-75.470697 40.613381)
149,SLPG Community Hlth Fam Pract Bethleh,2830 Easton Avenue,Bethlehem (Part-Northampton),Pennsylvania,18017,Northampton,0,0,0,2,0,0,POINT (-75.342753 40.646673)
150,SCI-Somerset,1590 WALTERS MILL ROAD,Somerset,Pennsylvania,15510,Somerset,0,0,0,0,197,145,POINT (-79.036074 39.961922)
151,George Junior Republic in PA,233 George Junior Road,Grove City,Pennsylvania,16127,Mercer,0,0,0,0,1,0,POINT (-80.110636 41.171763)
152,GIANT PHARMACY-6453,330 MARKETPLACE BOULEVARD,SELINSGROVE,PA,17870,Snyder,0,0,0,0,1888,0,POINT (-76.834846 40.841273)
153,Ped Med Assocs of NTN ABG PC,160 W.Germantown Pike,East Norriton,Pennsylvania,19401,Montgomery,0,0,0,123,0,150,POINT (-75.322881 40.146203)
154,Waltmire Pharmacy,1435 Spring Garden Ave,Pittsburgh,Pennsylvania,15212,Allegheny,0,0,0,289,1621,1683,POINT (-79.986848 40.462781)
155,Wyoming Valley AIDS Council,330 Bowman Street,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,373,60,POINT (-75.859123 41.250216)
156,Neshaminy Pharmacy LLC,5417 Neshaminy Blvd,Bensalem,Pennsylvania,19020,Bucks,0,0,0,33,68,0,POINT (-74.934709 40.145232)
157,Fresenius Kidney Care Uniontown,360 Walmart Drive,Uniontown,Pennsylvania,15401,Fayette,0,0,0,0,34,0,POINT (-79.757844 39.91536)
158,The Medicine Center,2209 Macdade Blvd,Holmes,Pennsylvania,19043,Delaware,0,0,0,590,126,368,POINT (-75.309608 39.897936)
159,KeystoneCare Health LLC,8765 Stenton Ave.,Wyndmoor,Pennsylvania,19038,Montgomery,24,5,0,145,315,0,POINT (-75.205311 40.082381)
160,Centerville Clin Repub Med  Dental,1006 Main Street,Republic,Pennsylvania,15475,Fayette,0,0,0,0,142,0,POINT (-79.878024 39.962899)
161,Plundo Medical Associates,518 Pellis Road,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,27,697,484,POINT (-79.522042 40.293931)
162,Anderson Pharmacy,334 Main Street,Denver,Pennsylvania,17517,Lancaster,0,0,0,0,1587,500,POINT (-76.136135 40.232114)
163,The Burke Center Inc.,70 Hollow Crest Rd,Tunkhannock,Pennsylvania,18657,Wyoming,0,0,0,0,2,0,POINT (-75.97541 41.579973)
164,Wind Gap Community Pharmacy Inc,31 W 1ST ST,Wind Gap,Pennsylvania,18091,Northampton,0,0,0,0,0,643,POINT (-75.296611 40.840151)
165,Pediatrics of Northeastern Pennsylvania,920 Viewmont Drive,Dickson City,Pennsylvania,18519,Lackawanna,0,0,0,0,57,0,POINT (-75.646449 41.454855)
166,Guthrie Clinic Wellsboro,110 Plaza Lane,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,9,1033,24,POINT (-77.28173 41.744144)
167,Mercy Catholic Medical Center,1500 Lansdowne Ave.,Darby,Pennsylvania,19023,Delaware,0,0,0,128,786,0,POINT (-75.26788 39.926288)
168,Penn State Health Rehab Hospital,1135 Old West Chocolate Ave,Hershey,Pennsylvania,17033,Dauphin,1,0,0,0,0,0,POINT (-76.685233 40.272871)
169,THMG Vaccine Clinic-Muhlenberg,1000 Tuckerton Court,Reading,Pennsylvania,19605,Berks,0,0,0,0,2,0,POINT (-75.947992 40.400747)
170,Harrisburg Endoscopy Surgery Center,4760 Union Deposit Road,Harrisburg,Pennsylvania,17111,Dauphin,0,0,0,1,0,0,POINT (-76.803702 40.280227)
171,Quik Stop Pharm of Barley Statn Inc,3506 E Lincoln Highway,Thorndale,Pennsylvania,19372,Chester,0,0,0,12,1823,0,POINT (-75.7524 39.994947)
172,UPMC-INT MED ASSOC CRNBRY,20130 PERRY HIGHWAY,CRANBERRY TWP,PA,160665119,Butler,0,0,0,0,174,59,
173,AHN-AC IM Wexford Medical Practice,Two Landmark North 20397 Route 19,Cranberry Twp,Pennsylvania,16066,Butler,0,0,0,0,30,0,
174,Neighborhood HCLV-Bethlehem,1210 East 4th Street,Bethlehem (Part-Northampton),Pennsylvania,18015,Northampton,2,0,0,5,30,0,POINT (-75.359751 40.611208)
