Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
HILL HOUSE HEALTH CENTER,1835 CENTRE AVE,Pittsburgh,Pennsylvania,15219,Allegheny,0,0,0,0,5,0,POINT (-79.981409 40.442978)
VDI-ACORx Pharmacy,520 E Main Street,Carnegie,Pennsylvania,15106,Allegheny,0,0,0,8,85,937,POINT (-80.080816 40.41123)
Family First Health-Hannah Penn Center,415 East Boundary Avenue,York,Pennsylvania,17403,York,0,6,0,0,0,0,POINT (-76.715296 39.957204)
North Penn Comprehensive Health Services,7 Water St,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,0,50,0,POINT (-77.301143 41.749471)
PHN-Shamokin Community Health Center,531 North Franklin Street,Shamokin,Pennsylvania,17872,Northumberland,0,0,0,0,79,0,POINT (-76.550305 40.791462)
Medi-Rx Pharmacy Inc,6401 Olde Stone Crossing,Poland,Ohio,44514,Mahoning,0,0,0,0,2,0,POINT (-80.588191 41.024818)
LVPG Family Medicine-Schuylkill Med Plz,200 Schuylkill Medical Plaza,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,1,2,0,POINT (-76.188817 40.68179)
FPC-Lewisburg Family Practice Center,131 JPM Road Suite A,Lewisburg,Pennsylvania,17837,Union,0,0,0,0,15,0,POINT (-76.891814 40.976035)
Primemed-Dr. Patrick Connors,2232 Pittston Ave,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,46,33,0,POINT (-75.681141 41.384922)
PHN-Tri-County Community Health Center,1555 Shawna Road,Cherry Tree,Pennsylvania,15724,Cambria,0,0,0,12,3,0,POINT (-78.799345 40.716831)
WellSpan OB/GYN-Stonebridge,13515 WOLFE RD,New Freedom,Pennsylvania,17349,York,0,0,0,0,84,24,POINT (-76.662764 39.774247)
Wright Ctr for Com Hlth Scranton Prac,501 S Washington Avenue,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,0,9,0,POINT (-75.67015 41.402072)
FCCC-East Norriton,2701 Dekalb Pike Fox Chase Cancer Center,Norristown,Pennsylvania,19401,Montgomery,0,0,0,6,2,140,
Holly Pharmacy,31 N. Baltimore Avenue,Mount Holly Springs,Pennsylvania,17065,Cumberland,0,0,0,0,0,400,POINT (-77.189178 40.115324)
Lepri Ruane Inc DBA The Md Shopp 0874,2239 Pittston Ave.,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,0,94,0,POINT (-75.681293 41.384806)
AHN St Vincent Fam Medic Ctr,311 West 24th Street,Erie,Pennsylvania,16502,Erie,0,0,0,0,2,0,POINT (-80.0814 42.111191)
Highlnds Hlth Laurel Highlnds Free Cha,"315 Locust St, 2nd Floor",Johnstown,Pennsylvania,15901,Cambria,0,0,0,0,464,0,POINT (-78.920587 40.327188)
Einstein Medical Center Montgomery,EMCM PHARMACY 559 W GERMANTOWN PIKE,East Norriton,Pennsylvania,19403,Montgomery,0,0,0,20,0,1469,
VDI-First National Pharmacy,143 N First Street,Lehighton,Pennsylvania,18235,Carbon,0,0,3,0,0,120,POINT (-75.708869 40.835262)
15toknow,250 Mall Blvd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,295,3466,POINT (-75.390941 40.090833)
Cornerstone Coordinated Health Care LLC,40 West Frack Street,Frackville,Pennsylvania,17931,Schuylkill,0,0,0,0,7,0,POINT (-76.232047 40.784801)
Drs Blum and Desai,545  N RIVER STREET,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,100,0,POINT (-75.868583 41.257462)
The Medicine Shoppe,100 Hazle Street,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,39,0,POINT (-75.891345 41.238396)
Lebanon Community Health Center,920 Church St,Lebanon,Pennsylvania,17046,Lebanon,0,0,0,0,4,0,POINT (-76.42776 40.344531)
Blueberry Pharmacy,1018 W View Park Dr,Pittsburgh,Pennsylvania,15229,Allegheny,0,0,0,0,31,0,POINT (-80.036184 40.516635)
WellSpan Occupational Health,2250 E Market Street,York,Pennsylvania,17402,York,0,0,0,0,5,0,POINT (-76.682678 39.973843)
Cornerstn Cre Prim Cre Ctr Mt Morris,120 Locust Ave Ext *,Mount Morris,Pennsylvania,15349,Greene,0,0,0,0,7,0,POINT (-80.060817 39.734055)
Anne Chen MD an Assoc McKees Rcks,6000 Steubenville Pike,Mc Kees Rocks,Pennsylvania,15136,Allegheny,0,0,0,0,10,0,POINT (-80.144354 40.445188)
Gerritys Pharmacy Hanover,2280 Sans Souci Parkway,Hanover Township,Pennsylvania,18706,Luzerne,0,0,0,12,9,0,POINT (-75.971341 41.209669)
PHN-Jacksonville Family Medical Center,29 Saltsburg Road,Clarksburg,Pennsylvania,15725,Indiana,0,0,0,9,0,0,POINT (-79.299222 40.540065)
Gerritys Pharmacy Keyser,1782 NORTH KEYSER AVE,Scranton,Pennsylvania,18508,Lackawanna,0,0,0,0,127,0,POINT (-75.667793 41.445253)
GoodHealth Medicine Shoppe 1549,1707 Wilmington Rd,New Castle,Pennsylvania,16105,Lawrence,0,0,0,0,0,1207,POINT (-80.354342 41.018631)
WAYNE MEMORIAL HOSPITAL,601 Park Street,Honesdale,Pennsylvania,18431,Wayne,1,0,0,514,1,227,POINT (-75.259796 41.576284)
Curative Medical Associates Inc,317 W Pike St,Canonsburg,Pennsylvania,15317,Washington,0,0,0,224,0,0,POINT (-80.195148 40.25802)
Temple Family Medicine-Fort Washington,515 Pennsylvania Avenue,Fort Washington,Pennsylvania,19034,Montgomery,0,0,0,0,23,0,POINT (-75.206327 40.134534)
Tower Health-Laureldale Fam Med,3212 Kutztown Road,Laureldale,Pennsylvania,19605,Berks,0,13,0,0,139,0,POINT (-75.920253 40.384945)
Advanced Lab Solutions LLC,3729 Easton Nazareth Hwy. LL2,Easton,Pennsylvania,18045,Northampton,0,0,0,0,875,1711,POINT (-75.281051 40.710904)
FPC Harisbrg commer St Fam Prac Ctr,2850 Commerce Drive,Harrisburg,Pennsylvania,17110,Dauphin,0,0,0,0,38,0,POINT (-76.836167 40.312139)
Plundo Medical Associates,518 Pellis Road,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,27,697,484,POINT (-79.522042 40.293931)
LGH Twin Rose Fam Med Wrightsville,6415 Lincoln Hwy,Wrightsville,Pennsylvania,17368,York,0,0,0,0,38,0,POINT (-76.544998 40.02244)
PHN-Lewistown Community Health Center,106 Derry Heights,Lewistown,Pennsylvania,17044,Mifflin,0,0,0,11,76,0,POINT (-77.577034 40.643141)
Torrance State Hospital,121 Longview Drive,Torrance,Pennsylvania,15779,Westmoreland,0,0,0,78,2,95,POINT (-79.238368 40.415289)
UPMC Jameson,1211 Wilmington Avenue Pharmacy Dept,New Castle,Pennsylvania,16105,Lawrence,10,0,0,45,142,185,POINT (-80.350989 41.013236)
EMHS Physician Office,100 Hospital Drive,Montrose,Pennsylvania,18801,Susquehanna,0,0,0,2,8,0,POINT (-75.836978 41.83573)
Central Bucks Fam Pract PC Doylestown,252 W Swamp Rd,Doylestown,Pennsylvania,18901,Bucks,0,0,0,0,1,0,POINT (-75.137894 40.333244)
MHEDS-PEACH ST,2928 Peach Street,Erie,Pennsylvania,16508,Erie,0,0,0,180,36,0,POINT (-80.076407 42.107191)
UPMC Passavant Cranberry,1 St Francis Way,Cranberry Twp,Pennsylvania,16066,Butler,1,1,0,116,45,304,
SLUHHN-Allentown,1736 HAMILTON BLVD Inpatient Pharmacy - 2nd Floor,Allentown,Pennsylvania,18104,Lehigh,0,100,0,197,5,0,
SLPG Community Hlth Fam Pract Bethleh,2830 Easton Avenue,Bethlehem (Part-Northampton),Pennsylvania,18017,Northampton,0,0,0,2,0,0,POINT (-75.342753 40.646673)
George Junior Republic in PA,233 George Junior Road,Grove City,Pennsylvania,16127,Mercer,0,0,0,0,1,0,POINT (-80.110636 41.171763)
Clarks Summit State Hospital,1451 Hillside Drive,Clarks Summit,Pennsylvania,18411,Lackawanna,0,0,0,18,219,0,POINT (-75.739461 41.481137)
Fresenius Kidney Care Uniontown,360 Walmart Drive,Uniontown,Pennsylvania,15401,Fayette,0,0,0,0,34,0,POINT (-79.757844 39.91536)
Old Forge Pharmacy,821 S. Main St.,Old Forge,Pennsylvania,18518,Lackawanna,1,0,0,1774,229,1343,POINT (-75.742459 41.362478)
The Burke Center Inc.,70 Hollow Crest Rd,Tunkhannock,Pennsylvania,18657,Wyoming,0,0,0,0,2,0,POINT (-75.97541 41.579973)
CMU Student Health Services,1060 Morewood Avenue,Pittsburgh,Pennsylvania,15213,Allegheny,0,6,0,181,45,104,POINT (-79.942899 40.44489)
VDI-Gateway Pharmacy,165 Nutt Road,Phoenixville,Pennsylvania,19460,Chester,0,0,0,22,2611,777,POINT (-75.525371 40.128268)
Pediatrics of Northeastern Pennsylvania,920 Viewmont Drive,Dickson City,Pennsylvania,18519,Lackawanna,0,0,0,0,57,0,POINT (-75.646449 41.454855)
Penn State Health Rehab Hospital,1135 Old West Chocolate Ave,Hershey,Pennsylvania,17033,Dauphin,1,0,0,0,0,0,POINT (-76.685233 40.272871)
THMG Vaccine Clinic-Muhlenberg,1000 Tuckerton Court,Reading,Pennsylvania,19605,Berks,0,0,0,0,2,0,POINT (-75.947992 40.400747)
Harrisburg Endoscopy Surgery Center,4760 Union Deposit Road,Harrisburg,Pennsylvania,17111,Dauphin,0,0,0,1,0,0,POINT (-76.803702 40.280227)
PPCP-Kotar Kolpo-Oxford Drive,2000 Oxford Drive,Bethel Park,Pennsylvania,15102,Allegheny,0,0,0,0,522,0,POINT (-80.051455 40.343814)
Neighborhood HCLV-Bethlehem,1210 East 4th Street,Bethlehem (Part-Northampton),Pennsylvania,18015,Northampton,2,0,0,5,30,0,POINT (-75.359751 40.611208)
Fam First Hlth Gettysburg Ctr,Peebles Plaza 1275-17 York Road,Gettysburg,Pennsylvania,17325,Adams,0,0,0,369,34,0,
FPC -Mt Pleasant Mills Fam Practice Cntr,9627 Route 35,Mount Pleasant Mills,Pennsylvania,17853,Snyder,0,0,0,4,2,0,POINT (-77.022271 40.721775)
FPC-Selinsgrove 2 Family Practice Center,21 Susquehanna Valley Mall Drive,Selinsgrove,Pennsylvania,17870,Snyder,0,0,0,0,13,0,POINT (-76.850738 40.821767)
Lincoln Pharmacy,232 North Avenue,Pittsburgh,Pennsylvania,15209,Allegheny,0,0,0,42,75,0,POINT (-79.974787 40.481161)
Valley Medical-Wilkes Barre,75 South Wyoming Avenue,Edwardsville,Pennsylvania,18704,Luzerne,0,0,0,0,344,410,POINT (-75.902085 41.257703)
Wellspan Surgical and Rehab Hosp,55 Monument Rd,York,Pennsylvania,17403,York,0,0,0,12,270,0,POINT (-76.716773 39.923331)
Allergy and Clinical Immunology Assoc,180 Fort Couch Rd,Pittsburgh,Pennsylvania,15241,Allegheny,0,0,0,0,7,0,POINT (-80.054138 40.34591)
DAVENSHIRE MEDICAL CENTER,3740 CARLISLE RD,Dover,Pennsylvania,17315,York,0,0,0,0,26,0,POINT (-76.837304 39.989381)
Graham Medical Clinic,100 South High Street,Newville,Pennsylvania,17241,Cumberland,0,0,0,2,0,0,POINT (-77.397268 40.169962)
Holy Redeemer Hospital and Med Center,1648 Huntingdon Pike Attn: Pharmacy Dept,Meadowbrook,Pennsylvania,19046,Montgomery,6,1,5,34,8,0,POINT (-75.081101 40.108944)
SLUHN-Northampton Community College,3835 Green Pond Road,Bethlehem (Part-Northampton),Pennsylvania,18020,Northampton,0,0,0,0,81,0,POINT (-75.32438 40.674823)
UPMC Magee Womens Hospital,300 Halket Street,Pittsburgh,Pennsylvania,15213,Allegheny,0,0,0,4,1533,0,POINT (-79.95959 40.437113)
VDI-Wileys Pharmacy of Quarryville,112 TownsEdge Drive,Quarryville,Pennsylvania,17566,Lancaster,0,0,0,0,649,0,POINT (-76.17555 39.895359)
PharMerica WB,153 Stewart Rd,Wilkes Barre,Pennsylvania,18706,Luzerne,0,0,0,0,4,0,POINT (-75.921518 41.21495)
Lebanon Valley Family Medicine-Palmyra,1400 South Forge Road,Palmyra,Pennsylvania,17078,Lebanon,0,0,0,0,1,0,POINT (-76.576423 40.296115)
Exeter Township Health Center,2795 Sullivans Trail,Falls,Pennsylvania,18615,Wyoming,3,0,0,14,152,819,POINT (-75.857332 41.445318)
WellSpan Internal Medicine-Lebanon,720 Norman Dr,Lebanon,Pennsylvania,17042,Lebanon,0,0,0,3,30,0,POINT (-76.417969 40.313575)
Peter E McNeil MD,240 S. hickory Street,Mount Carmel,Pennsylvania,17851,Northumberland,0,0,0,0,32,10,POINT (-76.41092 40.794217)
FPC-Sunbury Family Practice Center,409 N 4th Street,Sunbury,Pennsylvania,17801,Northumberland,0,0,0,3,1,0,POINT (-76.788614 40.865865)
EINSTEIN MEDICAL CENTER MONTGOMERY,EMCM PHARMACY 559 W GERMANTOWN PIKE,East Norriton,Pennsylvania,19403,Montgomery,1,1,0,46,3,580,
ccmh-Charles Cole Memorial Hospital,1001 East Second Street,Coudersport,Pennsylvania,16915,Potter,2,9,0,19,522,155,POINT (-77.979711 41.77065)
Cornerstone Care-Prim Care Ctr-Mt Morris,120 Locust Ave Ext *,Mount Morris,Pennsylvania,15349,Greene,0,0,0,10,13,0,POINT (-80.060817 39.734055)
Wellspan Fam Medicine-Roosevelt Avenue,1401 Roosevelt Avenue,York,Pennsylvania,17404,York,0,0,0,0,1,0,POINT (-76.758734 39.97938)
Morris Drug,15 East Centre St,Mahanoy City,Pennsylvania,17948,Schuylkill,0,0,0,2706,0,1320,POINT (-76.141312 40.812802)
AHN-AC IM PC BRENTWOOD,3720 Brownsville Road 3rd FL,PITTSBURGH,PA,152273520,Allegheny,0,0,0,25,59,0,POINT (-79.975384 40.372201)
AFC Urgent Care Havertown,115 W. Eagle Rd,Havertown,Pennsylvania,19083,Delaware,0,0,0,249,679,1744,POINT (-75.314413 39.985529)
All About Children Ped Partners,655 Walnut Street,West Reading,Pennsylvania,19611,Berks,0,0,0,182,0,0,POINT (-75.948225 40.338118)
North Penn Pediatrics PC,2031 North Broad St,Lansdale,Pennsylvania,19446,Montgomery,0,0,0,0,60,0,POINT (-75.262824 40.260455)
Latino Connection LLC,4211 Elmerton Avenue,Harrisburg,Pennsylvania,17109,Dauphin,0,0,0,0,1127,660,POINT (-76.824195 40.299011)
Refresh Dental New Castle,2616 WILMINGTON RD,New Castle,Pennsylvania,16105,Lawrence,0,0,0,422,19,500,POINT (-80.355257 41.033912)
Baker Family Medical Associates,3237 Bristol Rd,Bensalem,Pennsylvania,19020,Bucks,0,0,0,10,899,0,POINT (-74.940323 40.135064)
Select Specialty Hospital-McKeesport,6 CRAWFORD VLG 1500 FIFTH AVENUE,Mc Keesport,Pennsylvania,15132,Allegheny,0,0,0,2,2,0,
Cumberland County SHC,431 East North Street,Carlisle,Pennsylvania,17013,Cumberland,0,0,0,7,140,0,POINT (-77.179324 40.203811)
Fresenius Kidney Care-Lansdale,120 Medical Campus Drive,Lansdale,Pennsylvania,19446,Montgomery,0,0,0,2,0,0,POINT (-75.271313 40.251075)
Pharmacy Innovations,2936 W 17th Street,Erie,Pennsylvania,16505,Erie,0,0,0,0,21,0,POINT (-80.144485 42.095266)
Majeed Health,416 W Tilghman Street,Allentown,Pennsylvania,18102,Lehigh,0,0,0,0,580,100,POINT (-75.470697 40.613381)
Giant Eagle Pharmacy-2424,1300 Country Club Road,Monongahela,Pennsylvania,15063,Washington,0,0,0,0,6,0,POINT (-79.916074 40.171721)
Elco Family Health Center,6 Perri Avenue,Myerstown,Pennsylvania,17067,Lebanon,0,0,0,0,129,0,POINT (-76.273564 40.329002)
Altoona Arthritis and Osteoporosis Cntr,175 Meadowbrook Lane,Duncansville,Pennsylvania,16635,Blair,0,0,0,0,49,0,POINT (-78.417164 40.435193)
WellSpan Family Medicine- Waynesboro,601 East Main Street 1st Floor,Waynesboro,Pennsylvania,17268,Franklin,0,0,0,0,10,0,POINT (-77.56815 39.75089)
SLPG Star Community Hlth Fam Pract Si,450 Chew Street,Allentown,Pennsylvania,18102,Lehigh,0,0,0,0,6,0,POINT (-75.469421 40.607597)
FPC-Lewisberry Red Cedar Fam Prac Center,689 Yorktown Rd,Lewisberry,Pennsylvania,17339,York,0,0,0,0,6,0,POINT (-76.828775 40.164674)
PAM Specialty Hospital of Wilkes-Barre,575 North River Street 7th floor,Wilkes Barre,Pennsylvania,18764,Luzerne,0,0,0,10,0,0,POINT (-75.868165 41.258261)
Allegheny Cnty Hlth Dept-Immunization Cl,425 1st Avenue,Pittsburgh,Pennsylvania,15219,Allegheny,22,12,0,503,730,636,POINT (-79.9995 40.436835)
St. Lukes Uni  Hlth Network Lehigh,GNADEN HUETTEN HOSPITAL PHARMACY DEP 211 NORTH 12TH STREET,Lehighton,Pennsylvania,18235,Carbon,0,0,0,40,108,489,
Tyrone Hospital,187 Hospital Drive,Tyrone,Pennsylvania,16686,Blair,0,0,0,30,1,10,POINT (-78.252302 40.674843)
LVPG Family Medicine Trexlertown,6900 Hamilton Blvd PO Box 127,Trexlertown,Pennsylvania,18087,Lehigh,0,0,0,3,0,0,POINT (-75.594111 40.551734)
Tower Health-Phoenixville Hospital,140 Nutt Road,Phoenixville,Pennsylvania,19460,Chester,0,0,0,0,36,0,POINT (-75.538076 40.133396)
FPC Middleburg Fam Prac Cntr,1 Dock Hill Road,Middleburg,Pennsylvania,17842,Snyder,0,0,0,3,0,0,POINT (-77.031795 40.789558)
West Reading Drug Store,538 PENN AVE,West Reading,Pennsylvania,19611,Berks,0,0,0,676,2413,312,POINT (-75.949059 40.335732)
Penn State  Milton S Hershey Med Ctr,500 University Drive,Hershey,Pennsylvania,17033,Dauphin,11,0,0,56,123,12,POINT (-76.674557 40.265932)
Chambersburg Hospital (Wellspan Summit),112 N. 7th Street,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,0,11,0,POINT (-77.647451 39.934915)
Nurses United Against Covid,463 W Sproul Road,Springfield,Pennsylvania,19064,Delaware,0,0,0,0,109,185,POINT (-75.350329 39.927806)
Centre County SHC,246 West Hamilton Avenue,State College,Pennsylvania,16801,Centre,0,0,0,10,0,0,POINT (-77.857057 40.787572)
Anuva Health by Cerner,51 Valley Stream Pkwy 1st Fl,Malvern,Pennsylvania,19355,Chester,0,0,0,0,8,0,POINT (-75.523725 40.058302)
VDI-Millers Pharmacy,Rt 6 Farm and home plaza,Wyalusing,Pennsylvania,18853,Bradford,0,0,0,55,3,3,
Adagio Health-New Castle,200 South Jefferson Street,New Castle,Pennsylvania,16101,Lawrence,0,0,0,313,180,1630,POINT (-80.34712 40.997881)
Penn St Hlth St Joseph Med Ctr,2500 BERNVILLE RD PHARMACY,Reading,Pennsylvania,19605,Berks,1,1,0,57,39,0,POINT (-75.977661 40.376717)
Bryce Jordan Center,127 Bryce Jordan Center,University Park,Pennsylvania,16802,Centre,3,0,0,64,41,2999,POINT (-77.855606 40.808632)
Union Medical - Water Street,304 North Water Street,Lancaster,Pennsylvania,17603,Lancaster,0,0,0,0,4,0,POINT (-76.309347 40.042516)
LVPG Family Medicine-Laurys Station,5649 Wynnewood Drive,Laurys Station,Pennsylvania,18059,Lehigh,0,0,0,0,1,0,POINT (-75.535107 40.727653)
Wellspan Chambersburg Hospital,112 N. 7th Street,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,0,0,140,POINT (-77.647781 39.934359)
North Penn Comprehensive Hth Srvs,7 Water St,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,8,227,10,POINT (-77.301143 41.749471)
Brooks Medical Arts Inc-Clarion,180 Greenville Avenue,Clarion,Pennsylvania,16214,Clarion,0,0,0,51,98,10,POINT (-79.380086 41.204905)
WINDBER MEDICAL CENTER,600 SOMERSET AVENUE,Windber,Pennsylvania,15963,Somerset,0,10,0,376,35,686,POINT (-78.837917 40.242123)
Tioga County SHC,44 Plaza Lane,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,27,0,0,POINT (-77.282076 41.744872)
GVH Primary Care Harleysville,176 Main Street,Harleysville,Pennsylvania,19438,Montgomery,0,0,0,1,37,200,POINT (-75.368751 40.262499)
PHN-Greenville Community Health Center,348 Main Street,Greenville,Pennsylvania,16125,Mercer,0,0,0,6,23,0,POINT (-80.378736 41.408391)
LM JADE INC DBA THE MED SHOPPE #0077,1000 MARKET ST,Bloomsburg,Pennsylvania,17815,Columbia,0,0,0,0,51,0,POINT (-76.451584 40.994416)
Heritage Valley HS- Sewickley,720 Blackburn Road,Sewickley,Pennsylvania,15143,Allegheny,0,0,0,1,0,0,POINT (-80.178756 40.543523)
LGH-COMPREHENSIVE CARE MEDICINE,554 N Duke St Fl 3,Lancaster,Pennsylvania,17602,Lancaster,0,0,0,5,15,0,POINT (-76.30545 40.047623)
UPMC Pinnacle Hanover,300 HIGHLAND AVENUE,HANOVER,PENNSYLVANIA,17331,York,0,0,0,13,206,0,POINT (-76.983731 39.807981)
Twr Hth Urgent Cre Plymouth Meetng,580 W Germantown Pike,Plymouth Meeting,Pennsylvania,19462,Montgomery,0,0,0,24,46,0,POINT (-75.285893 40.117127)
Impact Health,1016 W 9th Ave,King of Prussia,Pennsylvania,19406,Montgomery,0,33,0,253,30,1488,POINT (-75.415045 40.100754)
Community Health and Dental Care- Pottstown,351 W Schuylkill Ave,Pottstown,Pennsylvania,19465,Chester,0,0,0,5,0,0,POINT (-75.662171 40.233362)
CCN America LP,333 Penn Center Blvd,Pittsburgh,Pennsylvania,15235,Allegheny,0,0,0,127,8,30,POINT (-79.811846 40.427651)
Curahealth Pittsburgh,7777 Steubenville Pike,Oakdale,Pennsylvania,15071,Allegheny,0,0,0,2,0,0,POINT (-80.209893 40.440138)
AK Steel Butler Works,1 Armco Drive Attn: Plant Medical,Lyndora,Pennsylvania,16045,Butler,0,0,0,7,211,0,POINT (-79.921488 40.84813)
FPC-Lykens Family Practice Center,517 South Street,Lykens,Pennsylvania,17048,Dauphin,0,0,0,13,159,0,POINT (-76.703073 40.565158)
FPC-Shamokin Dam Family Practice Center,3057 N Susquehanna Trail PO Box 310,Shamokin Dam,Pennsylvania,17876,Snyder,0,0,0,0,4,0,POINT (-76.821551 40.84706)
Bath Rx Inc,310 South Walnut St,Bath,Pennsylvania,18014,Northampton,0,0,0,0,35,0,POINT (-75.392723 40.723163)
SLUHN-Upper Bucks Campus,3000 St Lukes Dr,Quakertown,Pennsylvania,18951,Bucks,0,0,0,0,225,0,
VDI Moshannon Vlly Phar Philpsbrg,208 Medical Center Drive,Philipsburg,Pennsylvania,16866,Centre,0,0,0,65,0,0,POINT (-78.206865 40.90701)
Childrens Hospital of Philadelphia-Main,34th Street and Civic Center Boulevard,Philadelphia,Pennsylvania,19104,Philadelphia,0,0,0,14,0,108,POINT (-75.192906 39.948669)
FMC-Donora,470 Galiffa Drive,Donora,Pennsylvania,15033,Washington,0,0,0,1,1,0,POINT (-79.855468 40.174057)
Wellspan Family Medicine-Spring Grove,430 North Main Street,Spring Grove,Pennsylvania,17362,York,0,0,0,0,8,0,POINT (-76.862402 39.884143)
WVU Med Fayette Phy Netwrk Uniontwn,201 Mary Higginson Lane,Uniontown,Pennsylvania,15401,Fayette,0,0,0,870,299,1944,POINT (-79.755502 39.911017)
Wellspan York Hosp Comm Hlth Cntr,605 S George St,York,PA,17403,York,0,0,0,0,60,0,POINT (-76.72347 39.954412)
STATE COLLEGE DIALYSIS,500 SCIENCE PARK RD,State College,Pennsylvania,16803,Centre,0,0,0,1,1,0,POINT (-77.897885 40.780322)
Guthrie Clinic Mansfield,63 South Main Street,Mansfield,Pennsylvania,16933,Tioga,0,0,0,0,100,0,POINT (-77.077395 41.805331)
MLHC-Lankenau Medical Center,100 E LANCASTER AVE Inpatient Pharmacy,Wynnewood,Pennsylvania,19096,Montgomery,0,0,0,0,261,0,POINT (-75.265557 39.993575)
Clinton County SHC,215 East Church Street,Lock Haven,Pennsylvania,17745,Clinton,0,0,0,10,0,0,POINT (-77.443111 41.135807)
Fam Phys Assoc Inc New Cumberlnd,1900 Bridge Street,New Cumberland,Pennsylvania,17070,Cumberland,0,0,0,0,40,0,POINT (-76.88463 40.239575)
St. Lukes University Hlth Network-Lehigh,GNADEN HUETTEN HOSPITAL PHARMACY DEP 211 NORTH 12TH STREET,Lehighton,Pennsylvania,18235,Carbon,7,1,0,18,25,0,
Linesville Pharmacy,123 West Erie Street,Linesville,Pennsylvania,16424,Crawford,0,0,0,0,2,589,POINT (-80.422758 41.656236)
